Nacionalidad,Nombre,Especialidad,Lesiones ,Amonestaciones,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Límite,Máxima oferta,Ofrecer,
Italia,Giuseppe Rosettani,Imprevisible,,,33,94,60280,15520,72,12,1,6,7,1,2,13,4,12,15,13,29-09-2022 02:45,,3900000,
España,Marco Maggio,Rápido,,,28,27,37040,14690,119,7,1,6,7,1,3,3,1,6,14,4,29-09-2022 02:54,,2500000,
England,Lucas Surtees,Imprevisible,,3,37,105,3770,2810,1,11,4,7,4,1,1,3,2,1,14,5,29-09-2022 02:55,,250000,
Bulgaria,Nikola Vasilev,,,,28,23,226700,18690,34,6,6,7,7,1,5,9,11,14,14,1,29-09-2022 02:59,,6500000,
Danmark,Louis Nyberg,Cabeceador,,,29,80,141730,17370,75,10,4,6,7,1,2,6,15,10,13,6,29-09-2022 03:04,,4500000,
Deutschland,Petr Medvedkov,,,,29,58,83500,23430,126,9,2,6,7,1,5,6,5,8,16,1,29-09-2022 03:06,,3470000,
Sverige,Bengt Stjernkvist,Rápido,,1,27,40,135740,22370,51,6,4,6,7,1,4,9,9,10,15,21,29-09-2022 03:09,,9700000,
Canada,Wally Kibbe,,,,29,102,108280,38340,80,8,3,6,6,1,4,9,4,6,16,2,29-09-2022 03:10,,3000000,
Slovensko,Gabriel Ryška,,,2,31,25,73440,30260,1,9,3,7,6,1,4,8,5,7,16,4,29-09-2022 03:10,,2100000,
Saint Vincent and the Grenadines,Darren Panton,Potente,,1,27,53,110040,19950,34,7,6,5,7,1,5,11,3,10,14,6,29-09-2022 03:29,,5999500,
Colombia,Isaac Jarro,Cabeceador,,,36,53,3580,2410,127,10,4,7,4,0,2,7,2,7,13,7,29-09-2022 03:30,,400000,
Italia,Pierluigi Muscas,Potente,,1,27,64,110920,15130,27,7,5,5,8,1,5,12,6,8,13,8,29-09-2022 03:31,,4990000,
Brasil,Luís Inácio Moreira,Imprevisible,,,33,81,38590,11250,152,13,3,6,8,1,4,11,2,10,14,3,29-09-2022 03:37,,3100000,
Magyarország,Ferenc Hegedűs,Rápido,,,33,89,36060,12970,64,12,6,3,6,1,9,14,5,8,14,4,29-09-2022 03:40,,2000000,
Belgium,Domenico Macquet,,,,30,32,103120,20300,146,8,4,4,6,1,2,5,5,15,14,1,29-09-2022 03:48,,2900000,
United Arab Emirates,Turk Jabir Ramahy,Técnico,,,30,105,259720,28220,0,12,3,5,6,2,5,14,4,16,14,3,29-09-2022 03:56,Accra Blackhawks,5800000,
Česká republika,Dušan Šilar,,,,34,36,5870,9240,139,8,5,3,5,1,6,2,5,9,14,15,29-09-2022 03:57,,500000,
Türkiye,Memati Kayhan,,,,29,102,121830,17600,118,8,6,6,7,1,5,5,3,14,14,4,29-09-2022 04:02,,2900000,
Sverige,Tommy Liljedahl,Técnico,,,34,29,10810,9440,5,7,5,6,5,1,3,2,5,11,14,13,29-09-2022 04:04,,999999,
Belgium,Marijn Commers,,,,27,111,326710,27320,73,6,4,6,7,1,5,2,13,16,14,1,29-09-2022 04:10,,7000000,
Hayastan,Nazar Adoyan,,,,27,24,170920,18190,84,6,5,5,7,2,3,2,14,12,14,1,29-09-2022 04:11,,7000000,
Suomi,Mika-Pekka Juselius,,,,31,19,143900,16620,187,9,5,8,7,1,5,8,9,15,14,15,29-09-2022 04:13,Presidiarios,2627000,
Danmark,Hans Grønhøj,Potente,,2,35,25,15170,5610,23,9,4,8,5,1,5,2,3,14,13,2,29-09-2022 04:17,Smile more,1240000,
Prathet Thai,Sudjai Jamnunviriya,Rápido,,1,32,37,20270,5640,224,7,5,7,6,1,4,7,7,7,13,6,29-09-2022 04:18,Chaka's Warriors,781000,
Deutschland,Torsten Hackstock,,,1,29,36,217890,42120,56,8,5,7,7,1,5,5,4,14,16,8,29-09-2022 04:32,,4500000,
