Nacionalidad,Nombre,Especialidad,Lesiones ,Amonestaciones,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Límite,Máxima oferta,Ofrecer,
República Checa,Bořek Ličartovský,Potente,,1,25,63,319270,33680,60,8,5,7,7,1,6,14,6,10,16,3,02-10-2022 13:40,Shoebill AFC,13725000,
Finlandia,Erkka Koskinen,Rápido,,,24,46,208410,30510,103,5,1,6,7,1,4,12,5,10,16,3,02-10-2022 13:41,,11000000,
Irán,Erfan Dariani,,,1,25,107,47000,14270,84,6,5,5,7,1,5,5,5,7,14,3,02-10-2022 13:44,,2950000,
Polonia,Zenon Konarkowski,Cabeceador,,1,26,107,97000,10610,29,8,2,5,8,1,5,7,6,13,13,3,02-10-2022 13:51,HMTUR,3900000,
Alemania,Görd Kastenberger,Potente,,,22,89,71750,13430,65,4,4,8,8,1,3,2,6,6,15,4,02-10-2022 13:52,DJK Celtic Quickborn,4478820,
Finlandia,Jari Kauppila,Rápido,,1,24,62,73240,8830,8,5,4,8,8,1,4,6,4,10,13,2,02-10-2022 13:54,,4215748,
Chile,Aliwén Fenner,,,1,22,39,80850,20850,74,2,2,7,8,1,4,4,3,8,15,5,02-10-2022 13:54,Deget FF,3800000,
Grecia,Ntinos Papachristos,Imprevisible,,1,24,107,232670,15630,126,6,1,8,7,1,2,13,8,10,15,4,02-10-2022 13:55,,12500000,
Bélgica,Elmar Calis,,,,23,3,72540,23940,73,3,4,6,8,1,4,2,3,7,15,5,02-10-2022 13:55,Joerinho's,2100000,
Jordania,Hadad Dawoud,Rápido,,2,25,105,83150,10270,38,4,2,6,8,1,3,4,3,13,13,4,02-10-2022 13:56,KS Jack Daniels Piła,2983500,
Marruecos,Abdelbatine Darif,,,,22,96,96410,29060,19,4,3,5,8,1,3,7,7,5,15,2,02-10-2022 13:57,,5778000,
Holanda,Addy Ooijer,Cabeceador,,,25,56,132620,13110,11,6,4,8,7,1,3,2,4,13,13,1,02-10-2022 13:57,villevocance,3500000,
Argentina,Santiago D'oro,Rápido,,,24,103,81940,20930,62,5,6,6,7,1,2,6,2,9,15,1,02-10-2022 13:57,,4498000,
Italia,Manuele Pinot,,,1,24,101,177920,27740,117,5,4,7,8,1,4,3,2,11,16,8,02-10-2022 14:00,Ossi Stars,5000000,
Italia,Benito Ballotta,Potente,,1,22,46,51920,15330,73,3,5,7,7,1,4,4,3,2,14,2,02-10-2022 14:07,Songokus Samurajer,3000000,
Moldavia,Daniel Lătescu,Rápido,,,22,60,86590,17190,8,5,5,6,8,1,4,5,9,8,14,2,02-10-2022 14:09,,6990000,
Turquía,Ali İsmail Sabih,,,,21,62,46560,15370,25,3,4,7,7,1,3,5,4,6,14,4,02-10-2022 14:11,,5500000,
Polonia,Stanisław Basiński,,,1,25,55,180550,24190,51,7,2,5,8,1,5,13,3,9,15,9,02-10-2022 14:12,,7777777,
Rumanía,Alexandru Sabadâş,,,,22,92,62940,9670,18,4,5,7,7,1,3,5,4,11,13,2,02-10-2022 14:14,,3400000,
Alemania,Alfred Ollinger,,,,26,61,153550,19910,149,4,7,7,7,1,3,9,8,10,15,5,02-10-2022 14:14,,7000000,
Bélgica,Jersey Imbo,Imprevisible,,,25,107,233290,19290,143,6,4,7,7,2,3,10,9,12,15,4,02-10-2022 14:16,'t paars-witte legioen,8500000,
Camboya,Heng Khoun,,,2,21,64,88170,18770,72,4,3,7,7,1,4,3,5,8,15,2,02-10-2022 14:21,,5500000,
Francia,Jonathan Monteil,,,2,22,16,82750,12530,66,3,4,8,9,1,4,10,5,6,14,2,02-10-2022 14:22,,6500000,
Suecia,Jonte Ekensjö,,,1,25,105,158070,16430,11,5,6,6,7,1,5,3,2,13,15,8,02-10-2022 14:22,,5000000,
Oceanía,Euan Skoko,Potente,,,26,97,77030,13690,21,6,1,6,8,1,4,6,4,10,14,1,02-10-2022 14:23,,3630000,
