Nacionalidad,Nombre,Especialidad,Lesiones ,Amonestaciones,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Límite,Máxima oferta,Ofrecer,
Al Yaman,Ramzi Bahubeishi,Técnico,,,27,63,207310,22120,52,6,6,7,7,1,11,15,4,13,3,3,30-08-2022 05:15,Csúnyántevők,5610000,
Sverige,David Karlsson,Estoico,,,28,108,110000,11650,5,6,4,7,6,1,11,13,3,12,3,6,30-08-2022 05:28,,4500000,
England,Martin Brush,,,,27,100,233150,29570,49,8,7,7,7,1,15,13,2,8,3,4,30-08-2022 05:29,,6000000,
Portugal,Samuel Lapa,,,,28,109,147020,13610,45,8,5,6,7,1,6,14,13,11,4,2,30-08-2022 05:30,,4750000,
Suomi,Manu Laakso,Rápido,,,28,10,172070,15090,100,9,4,6,7,1,13,12,13,5,9,2,30-08-2022 05:47,,8000000,
Nederland,Dolbert van Heel,,,,27,5,38730,16150,28,4,2,6,7,1,4,14,3,3,5,3,30-08-2022 05:57,,1250000,
Danmark,Erling Rønde,Influyente,,,28,24,79880,23360,60,7,3,5,9,1,4,15,7,10,2,2,30-08-2022 05:59,,4567898,
Portugal,Carlos Henrique Fórneas,,,,27,102,70600,7030,69,6,7,6,7,2,6,12,4,7,12,1,30-08-2022 06:11,,3600000,
Deutschland,Alexander Grebner,,,,27,89,55220,7910,32,5,5,3,7,1,8,12,13,8,3,3,30-08-2022 06:24,,4700000,
Lubnan,Anwar Hanouf,,,,28,32,71690,7210,81,6,7,8,6,1,10,12,12,5,4,4,30-08-2022 06:34,,6000000,
Srbija,Lazar Balšić,Rápido,,,27,26,88940,24330,9,6,2,7,7,1,3,15,4,9,5,3,30-08-2022 06:35,,2450000,
Hellas,Yiannis Andresakis,Cabeceador,,1,28,37,154690,27390,44,9,3,8,7,1,4,15,14,7,9,1,30-08-2022 06:36,,7300000,
Venezuela,Vladimir Rendiles,,,,28,73,38840,8390,139,5,2,5,7,1,9,12,4,4,7,9,30-08-2022 06:48,Artaud,267000,
España,Pablo Montero Peña,Rápido,,1,27,59,24440,8610,157,4,5,5,7,1,3,13,4,5,3,3,30-08-2022 06:48,,1500000,
Srbija,Marko Jeftić,,,,27,63,234920,27800,39,6,2,7,7,1,11,15,5,13,5,7,30-08-2022 06:49,,5900000,
España,José Pérez Espinosa,,,,27,102,195720,17210,36,8,5,6,6,1,9,13,13,11,8,4,30-08-2022 07:03,,5900000,
Suomi,Lenne Paasilinna,Técnico,,,27,3,86760,27800,3,6,1,7,7,2,4,15,3,8,4,1,30-08-2022 07:09,,2690000,
Italia,Rocco Calidoni,Técnico,,,28,9,63470,18690,163,8,4,6,7,1,6,14,3,9,4,5,30-08-2022 07:19,hapoel_yonatan_tel_aviv,1500000,
USA,Bryce Magner,Técnico,,,27,53,100180,19310,30,7,3,6,7,1,5,14,5,11,7,12,30-08-2022 07:29,Kickers Jamaica,2500000,
Chinese Taipei,楊 (Yang) 嘉興 (Jiaxing),Imprevisible,,1,27,30,164270,14910,88,6,4,7,7,1,2,13,3,11,13,4,30-08-2022 07:32,,4999000,
Scotland,Ross Gowan,Rápido,,,28,108,27350,8950,107,5,4,7,7,1,4,13,5,7,4,3,30-08-2022 07:33,Gusterii,750000,
Trinidad & Tobago,Will Yan,,,1,27,97,225520,26680,139,8,3,6,7,1,3,15,14,11,4,5,30-08-2022 07:39,,5600000,
Madagasikara,Mamisoa Rakoto,Imprevisible,,,27,7,18280,7050,99,5,5,2,7,1,8,12,4,7,4,6,30-08-2022 07:52,,800000,
Belgium,Riccardo Bruneel,Rápido,,,27,28,170520,22860,35,8,7,6,7,1,14,14,3,8,3,1,30-08-2022 08:01,,7500000,
Deutschland,Carlos Fleutjepiepen,Potente,,,27,13,36120,5810,6,5,3,6,7,1,6,12,5,9,5,2,30-08-2022 08:10,,1000000,
