Nacionalidad,Nombre,Especialidad,Lesiones ,Amonestaciones,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Límite,Máxima oferta,Ofrecer,
Suiza,Franziskus Stoller,,,,21,46,48650,9510,44,4,5,7,7,1,4,5,3,8,13,1,02-10-2022 03:10,,4000000,
Holanda,Jorn Verhaegh,Influyente,,1,22,27,30950,9690,5,2,4,6,9,1,5,4,3,4,13,8,02-10-2022 03:52,,3325000,
Grecia,Alexis Tripiocheridis,,,1,21,20,33010,9590,4,3,3,7,9,1,2,5,2,5,13,3,02-10-2022 03:52,,3212500,
Chile,Martin Malsch,,,2,25,1,46310,12330,5,5,3,6,9,1,3,7,3,4,13,4,02-10-2022 03:53,,3362500,
Francia,Axel Bocage,Imprevisible,,,22,63,32140,6910,65,4,1,6,8,1,3,4,6,5,13,6,02-10-2022 04:05,,2500000,
Brasil,Prudente Porto,,,,25,80,102010,34850,19,6,3,7,7,1,3,5,5,3,16,2,02-10-2022 04:12,,4400000,
Polonia,Józef Łabędzki,,,2,23,32,100450,28360,57,3,6,6,8,1,2,3,7,8,16,7,02-10-2022 04:18,FC Lendersdorf 06,6100000,
Japón,将太 (Shota) 塚田 (Tsukada),Rápido,,,25,6,126330,35110,24,6,1,4,7,1,3,4,5,12,16,5,02-10-2022 04:20,Endor Inc.,6750000,
España,Pol Ricomà,Imprevisible,,,23,59,30630,8350,34,4,4,6,8,1,3,2,3,8,13,19,02-10-2022 04:36,,3731000,
Angola,Roberto Anjos Oliveira,,,2,24,53,114620,20170,74,5,3,7,8,1,6,8,4,8,15,4,02-10-2022 04:41,,4999999,
Finlandia,Juha Johansson,,,,21,64,110810,20250,72,3,5,7,8,1,3,3,7,10,15,4,02-10-2022 04:46,Perspolise United,6500000,
Portugal,Valdemar Gomes,,,,21,110,71250,15710,22,3,4,7,7,1,2,5,3,10,14,1,02-10-2022 04:47,,4700000,
Alemania,Levin Wedenberg,Cabeceador,,,25,51,62790,22240,21,5,2,7,8,1,4,3,2,4,15,12,02-10-2022 04:57,All goris f.c,2992000,
Israel,Ezer Eisen,,,1,24,92,88070,21540,32,5,3,7,9,1,3,3,6,8,15,12,02-10-2022 05:10,,5399000,
Italia,Alfredo Losito,,,2,21,74,72900,17590,5,4,6,7,7,1,4,5,3,7,15,2,02-10-2022 05:34,,4800000,
Bielorrusia,Jan Praharevich,,,,23,69,43760,11150,48,5,3,7,9,1,5,4,4,6,13,8,02-10-2022 05:34,,2500000,
Inglaterra,Denny Cranman,,,,22,85,119850,27660,73,5,5,7,8,1,3,3,6,7,16,1,02-10-2022 05:35,Lozzy's Losers,3920880,
Irán,Pashoutan Feili,,,,24,64,144380,22970,39,5,6,6,7,1,3,3,6,12,15,2,02-10-2022 05:42,,6500000,
Grecia,Christos Evaggelatos,,,3,26,12,77550,21610,12,3,6,7,8,1,5,5,6,4,15,2,02-10-2022 05:43,Clube Real Football,2071000,
Dinamarca,Erling Klein,,,,22,30,105570,21680,21,5,4,5,7,1,3,6,6,11,15,4,02-10-2022 05:43,,7250000,
Italia,Gianfranco Di Luca,,,,23,17,67380,20760,14,3,6,6,7,1,2,3,2,8,15,3,02-10-2022 05:44,,4750000,
Dinamarca,George Håkansson,,,1,24,61,99900,24400,24,5,3,6,8,1,4,4,5,10,15,2,02-10-2022 05:57,,4400000,
Rumanía,Andrei Usturoi,Potente,,,25,92,43050,8210,3,5,3,7,7,1,5,5,5,7,13,4,02-10-2022 06:00,,2758463,
Grecia,Nakis Pergaminos,Técnico,,2,25,40,35590,9450,4,5,2,4,7,1,4,5,5,8,13,1,02-10-2022 06:04,,3296251,
Singapur,Wee Ping Fu,Potente,,1,23,109,110000,13890,30,4,3,5,7,1,5,9,6,10,14,5,02-10-2022 06:05,,6499999,
