Nacionalidad,Nombre,Especialidad,Lesiones ,Amonestaciones,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Límite,Máxima oferta,Ofrecer,
Francia,Paul-Louis Trottier,,,,33,32,39850,9670,161,8,5,7,6,1,5,4,6,15,13,3,04-10-2022 04:00,,1000000,
Polonia,Gustaw Klimek,Técnico,,,29,84,88190,14150,74,8,3,7,8,1,3,8,3,11,14,5,04-10-2022 04:17,,3000000,
Lituania,Klausutis Putris,,,1,34,69,14460,14810,74,13,3,4,5,1,6,3,3,12,16,8,04-10-2022 04:17,,1500000,
Holanda,Khaldoun Haddou,,,2,30,33,56460,16730,140,9,3,5,6,2,4,8,2,10,14,4,04-10-2022 04:18,,2000000,
Omán,Ismail Majid Al-Saleh,,,,29,0,40830,19590,128,9,5,3,7,1,3,8,6,6,15,1,04-10-2022 04:19,,2500000,
Croacia,Juraj Radonić,,,1,37,18,7090,4070,318,12,4,5,4,1,1,2,1,2,16,2,04-10-2022 04:32,Severinocicerchia? chi lo...,52020,
Suiza,Maurus Chapuisat,,,,29,61,76210,11820,42,8,2,5,7,1,4,7,5,13,13,5,04-10-2022 04:53,,2500000,
Finlandia,Pekka Koskinen,Rápido,,1,33,33,107850,17880,97,13,3,7,7,1,3,14,3,15,15,3,04-10-2022 04:54,,6500000,
Italia,Manuele D'Elia,Técnico,,,30,65,166980,19060,8,5,6,6,7,1,4,13,5,13,14,4,04-10-2022 04:55,,5850000,
Inglaterra,Hal Claridge,Rápido,,,32,55,49720,15790,1,11,3,7,6,1,5,5,4,11,15,18,04-10-2022 04:56,,2589000,
Escocia,Frazer Twigg,Técnico,,,29,71,55630,10290,201,7,2,7,6,1,4,12,4,4,13,13,04-10-2022 04:58,,5625000,
Suecia,Alf Pettersson,Imprevisible,,1,34,11,15650,14910,108,12,1,7,5,1,2,5,5,9,16,6,04-10-2022 05:03,,1100000,
Turquía,Toprak Yamık,,,2,30,46,100020,30780,196,7,5,5,6,1,5,2,3,12,16,9,04-10-2022 05:08,,3100000,
Italia,Fausto Braia,Rápido,,1,29,91,110330,30270,203,8,3,7,6,1,4,2,12,4,16,3,04-10-2022 05:08,,4960000,
Inglaterra,Goral Muduli,Rápido,,,36,26,6200,5970,275,9,6,6,4,1,4,1,2,3,15,2,04-10-2022 05:11,,375000,
Inglaterra,Doug Barber,Rápido,,,30,44,45590,20590,199,5,3,7,6,1,4,2,4,3,15,1,04-10-2022 05:12,pavyon spor,1012000,
Suiza,Frédéric Seibert,,,,28,105,233840,47850,85,8,3,4,7,1,3,14,2,11,16,3,04-10-2022 05:13,,8200000,
Finlandia,Toni Suonsyrjä,Técnico,,,28,19,54910,16650,68,8,5,8,7,1,4,4,4,8,14,8,04-10-2022 05:13,HMTUR,2750000,
Portugal,José Valério Cardoso,,,,32,43,146060,26380,136,10,4,7,6,1,6,10,3,15,16,1,04-10-2022 05:14,,5500000,
Holanda,Noud Schilderman,Rápido,,,34,38,3410,5000,46,8,4,4,5,1,5,7,5,5,13,6,04-10-2022 05:20,,500000,
Oceanía,Gregg Huang,,,,28,37,57130,21910,124,7,1,3,6,1,5,9,6,7,15,10,04-10-2022 05:24,,2987988,
Croacia,Boris Arbutina,Imprevisible,,,27,50,57210,9090,38,6,2,7,7,2,5,3,3,10,13,2,04-10-2022 05:26,,3000000,
Austria,Wilfried Ofner,Técnico,,,34,102,51190,20380,286,12,2,5,5,1,2,15,7,16,14,9,04-10-2022 05:37,,4000000,
Austria,Florian Schneider,Técnico,,1,34,66,55030,17780,280,13,3,6,5,1,4,15,6,15,14,10,04-10-2022 05:38,,3700000,
Suecia,Henrik Ahl,Técnico,,2,34,2,3090,3830,11,12,3,5,6,1,4,2,5,6,13,8,04-10-2022 05:43,,990000,
