Nacionalidad,Nombre,Especialidad,Lesiones ,Amonestaciones,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Límite,Máxima oferta,Ofrecer,
Schweiz,Michele Körtig,,,,26,55,116280,31100,148,5,4,7,8,1,6,4,3,4,16,7,28-09-2022 04:11,,3750000,
Italia,Giuseppe Lenzini,Rápido,,,24,89,64340,9230,75,4,3,7,8,1,3,5,10,7,13,2,28-09-2022 04:19,Borussia Mortsel,3500000,
Belgium,Anas Berrada,Técnico,,,26,48,76640,28620,126,5,3,2,7,1,4,10,6,9,15,3,28-09-2022 04:22,Scorethorpe FC,6000000,
Česká republika,Augustin Bartoš,,,,23,43,69580,21460,15,3,1,7,8,1,5,4,6,3,15,6,28-09-2022 04:24,,4550000,
Suomi,Riku Prosi,Técnico,,,21,25,31070,8570,11,3,3,7,8,1,3,5,4,6,13,4,28-09-2022 04:31,,2600000,
Deutschland,Sven Sauerwinkel,Potente,,2,21,51,41260,8190,15,2,3,7,8,1,4,9,3,4,13,6,28-09-2022 04:50,Opex,4600000,
Italia,Mario Broggi,,,,23,51,31230,8550,26,4,5,6,7,1,4,4,4,8,13,17,28-09-2022 04:56,,4000000,
România,Ciprian Ioaniţescu,,,,23,30,27030,8550,40,3,3,6,7,1,4,4,3,7,13,18,28-09-2022 04:56,,4350000,
Hrvatska,Igor Požgaj,,,,24,10,39930,11510,37,3,3,7,7,1,3,6,3,6,13,18,28-09-2022 04:59,,4500000,
Danmark,Kåre Miller,,,,23,10,38000,8790,25,4,4,7,7,1,4,3,3,9,13,16,28-09-2022 05:00,,4800000,
Danmark,Tom Hindsberg,Potente,,,22,47,67870,12370,10,4,3,6,7,1,3,10,4,6,13,9,28-09-2022 05:02,Fivest@rs,4500000,
Cyprus,Turan Tağar,,,,21,43,25800,8570,24,3,2,5,7,1,4,3,5,7,13,15,28-09-2022 05:03,,5450000,
Sverige,Egil Andersson,Técnico,,1,25,86,95960,13670,58,6,4,8,7,1,4,9,4,10,14,1,28-09-2022 05:06,,8450000,
România,Florin Corneschi,,,,23,96,78390,20950,23,4,2,7,8,1,4,3,5,8,15,6,28-09-2022 05:06,,4900000,
Italia,Giggino Soldaini,Rápido,,,24,95,92420,20230,3,4,3,6,8,1,4,4,4,9,15,1,28-09-2022 05:07,,5000000,
Hrvatska,Nikola Apro,,,,24,72,83970,21010,58,5,5,5,8,1,6,6,3,9,15,6,28-09-2022 05:09,,6500000,
Uganda,Bilashi Barenzi,Técnico,,2,22,106,131430,20860,94,6,3,7,7,1,4,8,2,8,16,2,28-09-2022 05:12,,7450000,
Türkiye,Onur Yıldız,Técnico,,,23,35,152350,40600,97,5,4,8,8,1,4,4,4,8,16,2,28-09-2022 05:12,,6152866,
Comoros,Azdine M'Dahoma,Potente,,,22,7,114650,15110,40,4,4,7,7,1,5,5,3,13,13,2,28-09-2022 05:15,Real Verdimar,4590000,
Schweiz,Dani Winzeler,Rápido,,,21,109,88080,17790,79,4,4,6,8,1,2,3,4,7,15,5,28-09-2022 05:18,Grasshopper Club ZH,5463000,
Schweiz,Reinhard Bovard,,,1,22,78,73640,19910,81,3,4,6,8,1,4,2,3,6,15,10,28-09-2022 05:19,Palencia Club de Fútbol,3750000,
Österreich,Simon Wodraschka,,,1,21,8,44510,15750,36,3,5,6,7,1,2,5,3,4,14,3,28-09-2022 05:29,,3250000,
Ukraina,Denys Molokutsko,,,,26,72,227550,18830,7,6,2,6,7,1,4,4,14,12,13,1,28-09-2022 05:36,,6900000,
Italia,Vincenzo Ciappi,,,1,26,37,37320,10430,55,7,4,6,7,2,5,3,3,6,13,15,28-09-2022 05:41,,3375000,
Ukraina,Mstyslav Kamenyuka,Potente,,1,25,3,93560,22760,8,4,2,6,8,1,2,7,5,9,15,2,28-09-2022 05:53,,5700000,
