Nacionalidad,Nombre,Especialidad,Lesiones ,Amonestaciones,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Límite,Máxima oferta,Ofrecer,
Italia,Roberto Rivelloni,Técnico,,2,27,44,70430,25080,74,6,5,5,7,1,5,6,4,6,15,3,24-09-2022 05:46,,2753500,
Türkiye,Zafer Tavus,Rápido,,,27,10,65950,21710,73,6,6,5,7,1,5,6,4,6,15,5,24-09-2022 05:49,Raptor*,3189750,
Ireland,Daniel Flynn,Cabeceador,,,38,43,2740,1380,13,17,4,6,3,0,1,3,0,8,13,2,24-09-2022 05:51,Royal Pains International,75000,
Türkiye,İnayet Özçınar,Técnico,,2,34,97,16270,7410,18,12,5,6,5,1,2,12,7,12,13,10,24-09-2022 05:55,,1750000,
Nederland,Giel Hooiveld,Técnico,,,34,111,27480,15890,27,10,5,7,5,1,4,11,4,12,15,13,24-09-2022 05:59,,3000000,
Sverige,Kjell-Göran Sellström,Técnico,,,30,10,181240,22800,72,8,5,7,7,1,5,13,3,13,15,14,24-09-2022 06:05,,8987654,
España,Renat Monné,,,,34,24,16750,14070,51,11,4,6,5,1,4,6,5,12,16,16,24-09-2022 06:09,,1980000,
USA,Scotty 'O Rei' Saucier,,,,35,86,4170,3690,48,12,3,6,5,0,5,2,1,10,13,7,24-09-2022 06:14,,527000,
Schweiz,Vito Pavoni,Rápido,,2,30,97,84270,28840,106,8,6,6,6,1,6,5,5,9,16,1,24-09-2022 06:15,Fc Somuzul Falticeni,2805000,
España,Enrique Osca,,,1,28,3,151360,17850,100,7,3,6,8,1,5,11,2,12,14,2,24-09-2022 06:19,,6000000,
España,Juanjo Corn,,,,31,12,59010,25390,50,10,5,3,6,1,4,5,12,9,16,1,24-09-2022 06:20,,10000000,
Polska,Jerzy Samól,Técnico,,,31,104,175030,24600,53,11,3,8,6,1,6,15,5,12,14,7,24-09-2022 06:24,,3800000,
España,Carlos García,Cabeceador,,1,36,109,3550,3080,34,13,2,6,3,0,3,4,7,10,13,12,24-09-2022 06:25,,510000,
România,Paul-Constantin Uţiu,,,2,31,41,89580,26710,84,9,7,6,6,1,5,3,4,13,16,16,24-09-2022 06:27,,5000000,
Polska,Augustyn Androsiuk,,,,30,2,100390,22640,129,9,4,5,6,1,8,6,6,9,15,4,24-09-2022 06:36,,3250000,
Italia,Diego Masina,,,,29,110,220690,25740,133,10,4,8,6,1,10,14,6,6,14,5,24-09-2022 06:36,,5000000,
Sverige,Carl Askenstedt,Imprevisible,,,27,26,187170,16870,50,8,3,6,7,1,7,4,12,13,14,5,24-09-2022 06:37,,9000000,
Italia,Florens Sila,,,,28,99,100550,25930,1,7,3,5,7,1,4,6,10,8,15,2,24-09-2022 06:38,,4300000,
Schweiz,Granit Bärtsch,Técnico,,,31,110,261750,32670,72,12,5,6,7,1,4,13,2,15,16,3,24-09-2022 06:45,,7250000,
Italia,Mario Amorosi,Rápido,,,33,80,27220,6520,10,12,3,6,5,1,7,11,8,10,13,9,24-09-2022 06:46,,1999000,
Suomi,Sampsa Shnoro,Rápido,,,36,81,29580,8470,6,14,3,6,4,0,3,11,9,14,15,9,24-09-2022 06:46,,2350000,
República Dominicana,Roberto Briceño,Potente,,1,30,89,81690,18240,126,10,4,5,6,1,5,7,5,12,15,10,24-09-2022 06:49,,2900000,
Brasil,Naldo Calvo,Técnico,,,34,77,59100,16090,2,14,4,6,7,1,3,14,7,16,13,9,24-09-2022 06:51,,3225000,
Severna Makedonija,Naum Kitanov,Cabeceador,,,33,38,43850,18590,8,13,6,6,6,0,6,13,5,9,15,11,24-09-2022 06:52,,2600000,
Brasil,Sílvio Manteiga,,,,33,19,104450,20640,9,12,6,5,7,1,4,14,1,15,15,9,24-09-2022 06:52,,4650000,
