Nacionalidad,Nombre,Especialidad,Lesiones ,Amonestaciones,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Límite,Máxima oferta,Ofrecer,
Nederland,Gert-Marijn Notten,Rápido,,1,23,20,132700,38050,86,4,6,7,8,1,3,3,5,6,16,3,27-09-2022 21:50,DIZEL.United,5183640,
England,Butch Beagrie,,,,23,1,27350,11250,6,3,5,3,7,1,3,3,6,6,13,6,27-09-2022 22:16,Duskland,2007000,
Norge,Tristan Åkre,Técnico,,,25,1,89640,32920,107,3,2,6,8,1,3,3,4,5,16,4,27-09-2022 22:22,,4000000,
Argentina,Angelo Palamara,Imprevisible,,1,24,72,207980,18930,28,5,3,7,7,1,3,10,5,13,14,5,27-09-2022 22:23,Beo_Rangers,7751000,
Nippon,智裕 (Tomohiro) 広部 (Hirobe),Rápido,,2,25,69,80220,13690,52,6,1,7,7,1,5,7,2,10,14,8,27-09-2022 23:03,,4500000,
Brasil,Rikelmi Corumbá,,,,22,72,48660,9550,67,3,6,8,8,1,3,3,3,6,14,3,27-09-2022 23:45,Westside City,2500000,
Chile,Tomás Huircalaf,,,,23,103,29400,6170,91,3,5,6,8,1,3,4,4,5,13,1,28-09-2022 00:46,,1750000,
Nicaragua,Javier Ortega,Técnico,,,21,0,41480,21100,57,2,4,4,7,1,3,3,4,2,15,4,28-09-2022 02:11,,5000000,
Schweiz,Frederik Steedmann,Rápido,,,25,33,83190,19210,122,3,2,6,7,1,4,5,3,10,14,3,28-09-2022 02:39,,5000000,
Česká republika,Karel Korch,Cabeceador,,1,24,97,65280,19190,119,4,4,4,7,1,3,3,4,9,15,1,28-09-2022 02:46,,5000000,
Sverige,Bengt Almbeck,Técnico,,,23,54,63420,22170,15,4,3,6,8,1,3,5,3,4,15,2,28-09-2022 02:59,,3850000,
Oceania,Mervyn Duff,,,,26,104,202950,39670,112,8,6,8,7,1,4,8,5,10,16,3,28-09-2022 03:02,Dejan Savićević,3422000,
Polska,Dariusz Trzcina,,,,25,13,88150,30130,109,3,5,5,8,1,1,3,2,8,16,1,28-09-2022 03:06,,4000000,
Andorra,Josep Maria Gomar,,,,23,4,135020,23310,9,4,6,5,8,1,4,8,5,12,15,5,28-09-2022 03:07,,8000000,
Polska,Adam Bardzik,,,2,25,14,120860,13530,129,5,4,7,9,1,6,10,6,9,14,4,28-09-2022 03:13,,6625000,
Polska,Gustaw Ozga,,,1,24,75,121440,21730,43,5,5,7,8,1,3,4,9,10,15,9,28-09-2022 03:16,,6750000,
Belgium,Alberto Pipitone,,,,22,51,63210,18470,30,3,3,4,8,1,4,6,5,9,15,3,28-09-2022 03:20,,6250000,
España,Benjamín Lastra,Cabeceador,,1,23,21,68720,14150,18,4,4,6,7,1,3,4,5,10,14,1,28-09-2022 03:25,Leões Lusitanos FC,4126000,
Ukraina,Nikolay Lamkin,,,1,23,36,116180,23810,14,3,2,7,8,1,4,10,3,7,15,2,28-09-2022 03:30,,8500000,
Portugal,Fábio Manuel 'Deli' Queimadela,Potente,,,23,62,112710,35720,10,5,4,5,8,1,5,3,6,8,16,1,28-09-2022 03:36,,6222222,
Mongol Uls,Nevniz 'Nevi' Tuvshinsaihan,Influyente,,,24,57,119120,39940,9,3,4,6,8,1,3,3,6,3,16,1,28-09-2022 03:37,,4900000,
Sverige,Jens Widerner,,,,22,22,36880,7970,24,3,1,5,8,1,3,5,3,9,13,2,28-09-2022 03:52,,3300000,
Polska,Romuald Kuśmierzak,,,,22,2,70360,20930,22,3,1,7,8,1,5,3,3,7,15,2,28-09-2022 03:54,,4500000,
Sverige,Aron Tobiasson,,,1,22,25,60760,12510,60,2,4,7,8,1,4,7,7,6,14,7,28-09-2022 03:55,Viola FF,5502000,
Polska,Patryk Leśniewicz,,,,24,65,201250,30810,114,5,3,8,7,1,5,4,9,9,16,3,28-09-2022 04:09,FC Oberbaum,6221000,
