Nacionalidad,Nombre,Especialidad,Lesiones ,Amonestaciones,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Límite,Máxima oferta,Ofrecer,
Suomi,Viktor Ryzhankov,,,1,31,56,48690,20030,106,8,5,7,6,1,6,9,3,2,15,3,22-09-2022 06:31,,1999000,
Italia,Riccardo Maria Cammisa,Potente,,,27,59,194240,22190,127,5,3,4,7,1,2,11,3,14,15,3,22-09-2022 06:34,Return Of Darkness,8290000,
Hellas,Erotas Andriopoulos,,,1,33,33,33990,12590,9,12,1,6,6,0,2,10,6,10,15,1,22-09-2022 06:35,,2500000,
Deutschland,Klement Blachnitzky,,,1,28,63,194270,23280,9,8,3,7,7,2,15,2,10,8,13,9,22-09-2022 06:39,,4500000,
Eesti,Karl Laanjärv,,,,28,10,40640,14950,7,6,1,3,7,1,6,6,6,8,14,7,22-09-2022 06:47,Fraction Team,1137000,
El Salvador,Patricio Gonzales,,,1,29,70,275900,26770,40,12,2,6,7,1,3,13,14,11,14,3,22-09-2022 06:50,,9750000,
Polska,Włodzimierz Synówka,,,1,30,26,188660,36680,63,9,4,5,6,1,7,4,6,16,16,4,22-09-2022 06:51,,5247167,
Lietuva,Galius Krošilovas,,,,27,95,173680,29350,102,7,2,5,7,1,3,8,11,10,16,4,22-09-2022 06:58,,5750000,
Slovensko,Sebastian Karaś,,,,28,15,87480,30620,67,6,2,6,7,1,7,6,2,6,16,3,22-09-2022 06:58,,3200000,
Italia,Alessandro Jabrane,,,,34,53,2570,8020,271,7,4,4,5,1,3,5,6,1,14,3,22-09-2022 06:58,TCTravel,30000,
Italia,Giampaolo Rada,,,,27,92,51240,20540,169,5,4,4,7,1,1,3,4,3,15,1,22-09-2022 06:58,Gardolo,503000,
Sverige,Thilo Walpen,,,1,30,7,134500,25180,60,7,3,5,6,1,3,12,3,12,15,6,22-09-2022 07:00,,4000000,
Bulgaria,Valeri Mihaylov,Imprevisible,,,36,44,14630,5570,14,13,2,5,4,1,4,8,2,13,14,3,22-09-2022 07:01,RC SAN ANTONIO,266000,
USA,Guadalupe Loyola,Imprevisible,,,36,87,5590,5940,235,12,4,5,4,0,5,2,3,5,15,2,22-09-2022 07:04,Gonusso C.F,350000,
România,Mircea Gugoaşă,,,,32,3,64290,10210,42,10,4,8,6,1,3,3,12,12,13,9,22-09-2022 07:13,,1500000,
Deutschland,Gabriel Bastian,,,,29,47,161070,29060,24,8,4,2,7,1,5,11,5,16,15,13,22-09-2022 07:15,,7500000,
France,Azzedine Liani,Influyente,,,30,65,108910,19050,213,8,6,6,7,1,6,9,7,11,15,7,22-09-2022 07:19,Twilight Bird,4080000,
France,Jean Dahmani,,,1,30,91,108050,14520,217,9,3,7,7,1,9,8,7,11,14,4,22-09-2022 07:21,,3500000,
Brasil,Joel Fidelo,Imprevisible,,,27,92,300370,28120,20,7,1,7,7,1,4,5,13,13,15,1,22-09-2022 07:24,,9999000,
Deutschland,Roland Wolfram,Rápido,,,30,79,260880,23440,59,10,3,7,7,1,5,4,16,14,14,1,22-09-2022 07:25,,12999000,
Italia,Danilo Moraglio,Rápido,,,33,45,28860,10650,1,10,2,6,5,1,5,11,1,11,14,18,22-09-2022 07:31,,3250000,
Polska,Paweł Caba,Potente,,1,27,25,180750,33490,100,7,2,5,7,1,3,13,3,5,16,3,22-09-2022 07:31,,7500000,
España,Luis Buenafuente,Rápido,,,33,19,19080,7320,116,8,4,6,4,1,5,6,3,12,13,4,22-09-2022 07:32,,2950000,
Ukraina,Andrii Sergeev,,,,27,9,56490,13390,100,6,4,6,7,1,7,4,3,8,14,1,22-09-2022 07:37,,3750000,
Chile,Achank’aray Vargas,,,,28,10,90020,34740,49,9,5,6,7,1,4,4,4,7,16,16,22-09-2022 07:37,,4000000,
