Nacionalidad,Nombre,Especialidad,Lesiones ,Amonestaciones,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Límite,Máxima oferta,Ofrecer,
Puerto Rico,Fernando Arroyo,,,1,21,92,72570,13370,29,3,5,5,7,1,4,5,3,11,14,2,26-09-2022 15:17,,5499000,
Bélgica,Juul Landrain,,,1,22,24,68790,18610,26,4,5,4,7,1,3,3,5,11,14,2,26-09-2022 15:17,,4990000,
Polonia,Konrad Malaga,,,,21,61,43020,10550,1,3,6,7,8,1,4,2,4,6,14,2,26-09-2022 15:18,,3000000,
Eslovaquia,Radovan Kereň,,,,25,26,195490,25930,58,6,5,5,7,1,4,3,4,15,15,3,26-09-2022 15:22,,5995000,
Italia,Osvaldo Ciccillo,,,1,23,34,129470,29910,78,3,3,6,7,1,3,5,3,10,16,3,26-09-2022 15:22,,6750000,
China,刘 (Liu)  文鹏 (Wenpeng),Rápido,,,25,32,237070,23670,7,6,5,5,7,1,2,11,4,16,13,3,26-09-2022 15:23,,9300000,
Irán,Parham Nikzamir,Potente,,,24,97,170440,14810,43,4,5,7,8,1,3,10,5,13,14,3,26-09-2022 15:23,,7600000,
Senegal,Ifra M'pamy,Técnico,,2,23,25,94660,12690,47,3,4,8,7,1,2,13,3,2,13,1,26-09-2022 15:24,Seven Lives,5500000,
Costa Rica,Dennis Alvarado,Imprevisible,,,24,58,93640,30000,24,6,6,6,7,1,5,5,6,5,16,4,26-09-2022 15:31,,5300000,
Suiza,Ludwig Stram,Cabeceador,,1,24,21,104570,20190,66,5,3,5,8,1,4,11,3,8,15,2,26-09-2022 15:31,,7900000,
Grecia,Nikos Nakos,,,,24,28,152770,21310,37,5,3,6,9,1,3,4,5,13,14,6,26-09-2022 15:33,,6350000,
Bélgica,Jersey Imbo,Imprevisible,,,25,101,233290,19290,142,6,4,8,7,2,3,10,9,12,15,4,26-09-2022 15:33,,8750000,
Hungría,Bence Varga,,,,26,25,92530,14170,28,6,2,8,7,1,4,6,9,9,14,1,26-09-2022 15:34,,5000000,
Uruguay,Edgar Fraga,Potente,,1,26,43,236970,33480,66,7,2,7,7,1,3,15,3,8,14,1,26-09-2022 15:36,,7500000,
Irán,Hourad Helali,Potente,,,24,71,181050,22010,70,6,1,7,8,1,3,12,4,8,15,2,26-09-2022 15:38,,8800000,
Francia,Raphaël Chiquet,Potente,,1,26,0,178610,23830,18,6,7,7,7,1,5,11,5,10,15,5,26-09-2022 15:41,,12500000,
España,Gaietà Garrós,Influyente,,1,21,90,86660,22050,48,3,5,5,8,1,2,5,4,7,16,6,26-09-2022 15:41,FC Lendersdorf 06,6155000,
Italia,Giulio Marega,Cabeceador,,,23,10,32590,12570,10,2,2,5,7,1,3,3,2,4,14,3,26-09-2022 15:42,Bayer 04 Leverkusen,2750000,
España,Óscar Espasens,,,,21,24,57750,17990,61,2,4,7,7,1,4,3,3,5,15,2,26-09-2022 15:44,,4497500,
España,Jesús Heles,Imprevisible,,,22,54,62450,6770,44,4,2,7,7,1,5,3,11,7,13,1,26-09-2022 15:45,,4999999,
Italia,Claudio Zipoli,,,,21,92,25260,10830,72,3,1,3,6,2,4,2,7,4,14,6,26-09-2022 15:45,,4000000,
Bielorrusia,Piatrok Pavinich,Cabeceador,,1,26,74,151760,21110,34,7,4,6,7,1,3,12,5,9,15,8,26-09-2022 15:48,,7499000,
Islas Feroe,Ólavur Skaalum,Rápido,,,22,31,28460,8950,7,3,5,4,8,1,3,3,4,7,13,7,26-09-2022 15:50,,4350000,
Andorra,Xavier Gumila,,,1,23,79,99340,19730,35,4,3,5,8,1,2,5,11,8,14,3,26-09-2022 15:52,,7200000,
Grecia,Nikolakis Agrotis,,,,24,82,37430,6910,110,5,2,7,8,1,3,4,5,5,13,3,26-09-2022 15:55,,2500000,
