Nacionalidad,Nombre,Especialidad,Lesiones ,Amonestaciones,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Límite,Máxima oferta,Ofrecer,
Suecia,Hilmer Pettersson,,,,22,64,32350,5010,0,4,1,6,7,1,2,3,4,8,13,3,30-09-2022 17:54,fc i cugini di zampagna,2468000,
Finlandia,Eero Kaalikoski,,,1,25,9,160230,23000,41,5,2,7,8,1,5,8,5,11,15,2,30-09-2022 17:57,,6399000,
Italia,Michele Maranzoni,,,2,26,24,146650,25480,1,6,4,5,7,2,4,15,3,3,13,1,30-09-2022 17:58,,5497219,
España,Rubén Matute,Potente,,3,26,84,95570,31580,45,7,6,4,7,1,6,6,6,8,16,8,30-09-2022 18:00,,4725000,
Armenia,Nver Sevanyan,Rápido,,,21,73,50610,5310,40,3,1,7,8,1,4,5,4,9,13,3,30-09-2022 18:04,Knegas Revival,3849000,
España,Xavi Ferrís,Imprevisible,,1,23,54,34140,6570,82,4,3,4,8,1,4,6,8,7,13,12,30-09-2022 18:12,,3750000,
Suecia,Peter Stridman,Técnico,,,26,52,121970,30390,25,5,4,7,7,1,7,4,6,8,16,4,30-09-2022 18:16,,6000000,
Siria,Omar Al Saman,Potente,,2,24,1,70800,20370,40,5,5,6,7,1,3,8,5,6,14,9,30-09-2022 18:24,,6000000,
España,Filemón Alborés,Cabeceador,,,23,67,92750,27280,40,5,1,6,7,1,4,8,5,5,15,4,30-09-2022 18:24,,7000000,
Argentina,Gustavo Ferro,Técnico,,,26,20,51180,15450,138,4,5,5,7,1,4,5,5,7,14,3,30-09-2022 18:30,,2800000,
Israel,Mohammed Negm Eddin,Cabeceador,,,22,51,53630,13290,82,4,4,5,7,1,4,6,7,7,14,3,30-09-2022 18:39,bruges army,4034000,
Austria,Vittorio Ligios,,,3,26,69,60180,15310,96,6,3,7,8,1,4,4,3,7,14,8,30-09-2022 18:40,,4500000,
Italia,Alcide Roscini,,,1,26,60,68310,29020,124,6,4,5,7,1,3,3,3,3,16,2,30-09-2022 18:45,,3000000,
Chile,Santiago Marull,,,,24,62,82090,16310,24,6,4,7,7,1,4,5,10,7,14,9,30-09-2022 18:45,,5499000,
Bélgica,Constantin Robert,Cabeceador,,2,21,66,50790,13430,2,4,6,7,7,1,3,4,4,5,14,3,30-09-2022 18:55,,4622002,
Holanda,Marco Coppens,Rápido,,,21,85,39270,14450,2,3,4,3,7,1,3,4,5,5,14,2,30-09-2022 18:56,,4440004,
Finlandia,Elliot Nordgren,,,,22,61,123770,15250,23,4,2,7,7,2,4,3,4,13,14,1,30-09-2022 18:56,,6722002,
Argentina,Raúl Unzueta,,,,22,70,86700,26940,8,4,4,5,7,1,4,4,3,7,15,2,30-09-2022 18:56,,5290002,
España,Valentín Henestrosa,Rápido,,,26,52,59550,6890,72,3,3,4,7,1,4,10,2,10,13,3,30-09-2022 19:00,,4250000,
Polonia,Stanisław Krot,Potente,,,24,70,181420,21150,74,5,2,5,8,1,4,13,3,9,15,2,30-09-2022 19:08,Zgrani,6368000,
Polonia,Tomasz Gruda,,,,23,9,106910,29020,90,5,4,8,8,1,2,4,3,7,16,3,30-09-2022 19:34,,5000000,
Taiwán,陳 (Chen) 寶健 (Baojian),,,1,26,48,60600,29670,142,4,5,4,6,1,5,5,6,3,16,1,30-09-2022 19:36,,2999000,
Hungría,Boleszláv Bogyay,,,,26,9,42510,8370,125,6,4,6,7,1,3,7,7,8,13,13,30-09-2022 20:04,,3750000,
Bulgaria,Ivaylo Kotarov,Técnico,,2,24,104,196000,26010,33,6,4,7,7,1,4,4,2,12,16,6,30-09-2022 20:23,Smurfmasters Utd,6300000,
España,Baltz Kapagindegi,,,1,25,20,190530,24980,41,5,4,6,7,1,2,5,4,14,15,4,30-09-2022 20:25,,5950000,
