Nacionalidad,Nombre,Especialidad,Lesiones ,Amonestaciones,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Límite,Máxima oferta,Ofrecer,
Sverige,Leo Holmquist,Técnico,,2,32,28,42520,8940,24,6,4,7,6,1,4,3,3,13,13,1,21-09-2022 19:38,,1373666,
Hrvatska,Fabijan Vasilj,,,,35,7,3320,3420,3,10,6,5,5,1,7,5,2,4,13,5,21-09-2022 19:39,F.C. Dragon-Ball,308000,
Italia,Alessandro Bellini,,,,35,104,20250,12040,84,13,3,6,6,1,1,3,1,13,15,3,21-09-2022 19:51,,1950000,
Deutschland,Giangiacomo Oliati,Influyente,,,29,100,200630,31190,89,8,4,7,7,1,6,2,3,14,15,15,21-09-2022 19:57,Flashing Blades,4000001,
Schweiz,Noldi Walthert,,,,34,36,10260,6190,61,9,3,7,6,1,4,4,2,13,13,3,21-09-2022 19:59,,1300000,
Italia,Paolo Oddo,Cabeceador,,,31,35,95690,30950,57,8,2,7,7,1,3,5,5,10,16,3,21-09-2022 20:09,,3495000,
Al Kuwayt,Dawud Aseery,Imprevisible,,,29,100,34790,19090,11,10,6,4,7,1,4,8,4,9,15,13,21-09-2022 20:21,,3900000,
Argentina,Benito Bohl,,,,28,43,66900,25720,67,6,5,7,7,1,3,4,3,6,15,16,21-09-2022 20:25,,3456789,
Argentina,Antonio Buonomo,Rápido,,,35,15,51870,11820,67,15,5,8,7,1,4,15,6,12,15,9,21-09-2022 20:38,,4899000,
Nederland,Radboud Rawie,Cabeceador,,1,27,100,216110,20960,56,8,6,6,7,1,4,9,4,14,14,1,21-09-2022 20:42,FC.Nock,4458000,
Ghana,Kpodo Oteng,Potente,,1,32,16,165910,27780,25,15,2,7,6,1,5,13,9,12,16,11,21-09-2022 20:52,,9000000,
România,Ioan Roman,Rápido,,,28,23,53870,24610,8,6,4,6,7,1,2,5,4,3,15,5,21-09-2022 21:01,,2500000,
Colombia,Carlos Hernán Dimaté,Cabeceador,,1,32,94,45090,10140,7,10,5,5,6,1,3,12,5,11,13,9,21-09-2022 21:01,,2999000,
Colombia,Nelson Chaparro,,,1,33,108,34490,17400,7,12,2,7,5,1,4,3,8,14,15,12,21-09-2022 21:06,,25000000,
Chile,Arnoldo Rosa,Técnico,,,28,48,160440,18890,80,7,5,8,7,1,6,3,6,14,14,3,21-09-2022 21:21,Casalamica FC,4250000,
Italia,Angelomaria Cazzulani,Rápido,,,32,27,86060,23020,57,11,5,6,7,1,4,14,4,12,15,7,21-09-2022 21:28,,5500000,
Italia,Luigi Martijn,,,,31,11,52990,29040,90,7,4,5,6,1,5,6,3,6,16,4,21-09-2022 22:15,Estrella Roja de Galicia,1411000,
Oceania,Ngake Wale,Imprevisible,,,27,77,468320,26250,16,10,3,8,7,1,4,14,9,14,15,1,21-09-2022 23:08,,14500000,
Rossiya,Dmitriy Danilov,,,3,27,22,58470,20760,103,7,3,5,7,1,7,4,3,5,15,3,21-09-2022 23:09,,2625000,
Polska,Hubert Klosa,,,1,28,76,60840,18290,164,6,4,8,7,1,5,5,6,5,15,6,22-09-2022 00:51,Chrzanów C.F.,2750000,
France,Christopher Dailly,Potente,,2,32,37,70480,12260,45,10,6,7,6,1,3,13,6,11,13,13,22-09-2022 01:13,,2250000,
Italia,Angelo Giorgio Altarocca,Rápido,,,33,17,88090,19500,21,11,6,4,6,1,4,14,4,16,13,4,22-09-2022 01:14,F.C. Bari Calcio,2594000,
Slovensko,Svetozár Švabčík,Técnico,,1,33,69,118440,20900,39,14,4,8,6,1,4,15,6,16,13,16,22-09-2022 01:16,Odinfs F.C,3225000,
España,Reynaldo Sánchez,Potente,,1,31,51,56050,9980,68,7,3,8,6,1,3,7,4,13,13,12,22-09-2022 01:58,Fc Somuzul Falticeni,1821000,
Sverige,Anders Svensson,,,1,28,29,109340,28630,85,8,6,8,7,1,4,3,5,10,15,7,22-09-2022 02:10,,3899000,
