Nacionalidad,Nombre,Especialidad,Lesiones ,Amonestaciones,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Límite,Máxima oferta,Ofrecer,
Brasil,Théo de Jesus,,,,24,46,104880,38310,25,4,3,6,8,1,3,4,3,5,16,3,24-09-2022 16:26,,5499000,
Irán,Khosro Arastehpour,Potente,,2,23,19,117950,28680,23,4,4,8,8,1,2,3,3,9,16,5,24-09-2022 16:27,Eibergen FC,3203000,
España,Ghali Amrani,,,,22,78,65930,20560,8,3,1,7,8,1,3,6,4,3,15,1,24-09-2022 16:28,,4499000,
Finlandia,Atte Huhtakallio,Potente,,,24,108,92630,9730,5,4,4,5,7,1,4,7,3,11,14,4,24-09-2022 16:30,,5825000,
Estados Unidos,tMarco Slaughter,Rápido,,2,26,59,63830,13550,87,8,2,4,7,1,4,7,7,9,14,1,24-09-2022 16:32,,5000000,
Colombia,Rafael Uzquiano,,,,25,44,68770,23280,29,3,4,6,7,1,5,6,4,3,15,4,24-09-2022 16:33,,2790000,
Singapur,Vinay Balan,,,,25,10,131160,30850,36,6,6,8,8,2,6,7,4,7,16,2,24-09-2022 16:49,,5000000,
España,Xisco Pellissa,Técnico,,,26,101,250970,37000,1,7,4,7,7,1,5,16,4,4,14,1,24-09-2022 16:53,,8850000,
Alemania,Oliver Liebmann,,,,23,83,34590,9950,1,3,3,5,8,1,3,6,5,5,14,2,24-09-2022 16:54,,3190000,
Singapur,Ang Yong Teck,Potente,,2,24,105,192400,17190,92,4,5,8,8,1,3,11,6,10,15,1,24-09-2022 17:02,,9485000,
Irán,Pashoutan Feili,,,,24,56,128300,22970,38,5,6,6,7,1,3,3,6,12,15,2,24-09-2022 17:03,,6250000,
Turquía,Hasan Tahsin Arslan,Técnico,,,21,73,79360,8230,18,3,4,7,8,1,3,3,11,6,14,5,24-09-2022 17:05,,7225000,
Dinamarca,Erling Klein,,,,22,22,92080,21680,20,5,4,5,7,1,3,6,6,10,15,4,24-09-2022 17:05,,7150000,
Alemania,Dirk Hugo,,,,24,75,77430,20930,1,5,6,3,7,1,3,3,9,10,14,15,24-09-2022 17:15,Legioniści Gliwice,5290000,
Yemen,Hemyar Hajar,,,1,25,43,160670,20780,45,5,3,6,8,1,4,11,3,11,15,6,24-09-2022 17:18,Joe Cool,5900000,
Santo Tomé y Príncipe,Vítor Torrado,,,,25,48,127190,19270,62,4,6,6,8,1,2,10,3,10,15,8,24-09-2022 17:19,KKK Kapi,3790000,
Alemania,Florian Sparrnschied,,,,21,24,36630,12590,2,4,5,5,7,1,3,4,7,3,14,5,24-09-2022 17:23,,4300000,
Italia,Gianluca Nigri,,,,21,106,41720,8710,4,3,2,7,8,2,5,2,4,5,14,3,24-09-2022 17:25,,4022000,
Indonesia,Amran Makhyarilhuda,,,,22,25,75090,21710,9,3,6,5,8,1,3,6,7,7,15,1,24-09-2022 17:31,,5975000,
Bélgica,Alberto Pipitone,,,,22,47,74430,18470,29,3,3,4,8,1,4,6,5,9,15,3,24-09-2022 17:42,,6300000,
Italia,Vincenzo Porcella,,,1,25,89,256490,26540,94,7,4,7,7,1,2,12,4,11,16,1,24-09-2022 17:50,FC Temburong,8650000,
China,孔 (Kong)  信隆 (Xinlong),Técnico,,2,25,0,127370,21380,61,5,7,5,8,1,5,10,8,8,15,1,24-09-2022 17:59,,8350000,
Brasil,Noah Cestaro,,,,25,90,61250,22660,16,5,2,4,8,1,4,3,4,4,15,2,24-09-2022 18:03,,3333333,
España,Antonio Verdeces,,,,21,22,40700,12190,41,2,2,6,7,1,4,3,3,7,14,2,24-09-2022 18:09,,4250000,
Polonia,Otto Jaracz,Rápido,,,22,74,68400,10230,3,4,4,7,8,1,2,7,5,9,14,3,24-09-2022 18:12,,6700000,
