Nacionalidad,Nombre,Especialidad,Lesiones ,Amonestaciones,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Límite,Máxima oferta,Ofrecer,
San Vicente y Granadinas,Gary Gairy,,,,22,77,90220,33890,52,4,5,4,8,1,5,2,7,6,16,1,02-10-2022 11:31,,5999999,
Portugal,Anastácio Correia Mota,,,1,24,42,108200,22890,19,5,4,4,7,1,5,4,5,12,15,1,02-10-2022 11:36,,6500000,
Portugal,Miguel Sassetti,Potente,,,21,104,54980,9390,7,3,3,7,7,1,2,2,4,9,14,3,02-10-2022 11:37,,4350000,
España,Rubén Lovaina,Rápido,,,26,73,102240,31120,1,7,3,8,7,1,4,5,7,5,16,2,02-10-2022 11:44,,4700000,
Rusia,Denis Brusilovskiy,,,1,21,71,50360,11290,73,4,5,7,6,1,4,6,3,7,14,1,02-10-2022 11:45,,5000000,
Rumanía,Filip Eremia,Imprevisible,,,24,98,51260,6870,73,4,5,6,9,1,4,6,4,7,13,4,02-10-2022 11:48,,3500000,
Chile,Phaksiphat’i Amengual,Imprevisible,,,24,16,31290,9490,90,5,5,6,8,1,2,3,5,4,13,6,02-10-2022 11:49,,6500000,
Francia,Wissam Kefi,Potente,,,22,51,74480,17590,41,4,4,8,8,1,2,3,8,3,15,1,02-10-2022 11:51,,5400000,
Hungría,Zalán Topai,,,,24,97,159560,21780,35,6,6,8,7,1,4,10,4,11,15,3,02-10-2022 12:04,,9000000,
Bulgaria,Viktor Genchev,,,,22,9,71590,12150,22,3,6,5,8,1,3,3,4,12,13,1,02-10-2022 12:05,,4440000,
Santo Tomé y Príncipe,Luís Nuno Rocha Rodrigues,Estoico,,,21,77,85750,22660,72,3,5,6,8,1,4,3,4,6,16,5,02-10-2022 12:10,,6749000,
Italia,Nicholas D'Angelo,Rápido,,1,21,108,57090,11810,78,3,2,8,7,1,4,2,4,2,15,2,02-10-2022 12:10,drughi,5000000,
Italia,Achille Macor,,,,26,108,198140,32510,25,6,3,7,7,1,6,3,6,13,16,4,02-10-2022 12:12,,6999999,
Holanda,Engelbert Bloem,,,,24,96,176410,31260,31,5,4,8,8,1,3,8,4,11,16,11,02-10-2022 12:13,Ballguttene,7400000,
Grecia,Thodoras Gourgouras,Rápido,,,22,78,89610,23730,91,4,6,6,8,1,4,4,3,5,16,1,02-10-2022 12:21,MKS Pitt Bull Szczecin,4708320,
Chile,Daniel Alemparte,Cabeceador,,1,24,68,149140,27930,105,3,2,7,7,1,3,7,7,9,16,3,02-10-2022 12:22,,8149000,
Italia,Francesco Pavano,,,1,23,11,81560,28010,9,4,5,6,7,1,3,2,2,7,15,5,02-10-2022 12:22,,4450000,
Holanda,Midas Zwaanswijk,,,1,22,89,78920,19790,19,4,6,6,7,1,5,2,2,9,15,2,02-10-2022 12:22,,5390000,
Italia,Giovanni Capece,Imprevisible,,1,23,63,55820,11550,26,5,6,6,9,1,2,4,3,9,13,4,02-10-2022 12:23,,3500000,
Kenia,Amos Machuka,Potente,,1,22,0,72670,21030,76,3,1,7,8,1,4,2,4,7,15,1,02-10-2022 12:26,,4549000,
Kenia,Wilson Okello,,,1,22,18,81420,21530,69,3,5,6,7,1,4,6,6,7,15,2,02-10-2022 12:27,,5649000,
Alemania,Frederik Haug,Potente,,2,21,83,93830,13050,75,4,4,8,7,1,3,5,6,9,15,4,02-10-2022 12:35,SV Waldhof 07 Mannheim,7200000,
Dinamarca,Vagn Lange,,,,21,3,104220,29560,21,4,4,8,7,1,5,6,5,5,16,2,02-10-2022 12:36,,7300000,
Singapur,Tang Ying Siong,,,,21,27,43750,17750,20,3,4,4,7,1,2,3,5,5,15,1,02-10-2022 12:38,,4250000,
Siria,Mohamed Matouk,Rápido,,1,26,81,103740,30530,27,6,4,8,7,1,3,5,8,3,16,11,02-10-2022 12:38,,5250000,
