Nacionalidad,Nombre,Especialidad,Lesiones ,Amonestaciones,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Límite,Máxima oferta,Ofrecer,
Ucrania,Yukhym Golovatsky,,,,24,106,143170,23150,10,5,4,4,7,1,6,3,3,14,14,2,26-09-2022 13:28,,5500000,
Irlanda,James Mac Aodhagáin,,,1,23,62,52860,8910,88,4,6,7,8,1,3,5,5,7,14,6,26-09-2022 13:29,,3499000,
Bulgaria,Svetlin Chebishev,Potente,,,26,44,66830,10270,10,5,3,7,7,1,4,5,5,10,14,2,26-09-2022 13:33,,3480000,
Bosnia y Herzegovina,Vedad Gogalić,,,,24,103,63630,23330,13,5,2,6,7,1,4,4,3,4,15,3,26-09-2022 13:34,SDLOG 2018,3122000,
Eslovaquia,László Samu,Técnico,,,26,64,205970,28700,52,5,5,6,7,1,3,9,3,12,16,5,26-09-2022 13:34,,8500000,
Lituania,Silvestras Zapuščinskas,Potente,,1,25,1,85160,13970,78,6,4,8,8,1,4,8,10,5,14,1,26-09-2022 13:35,,5750000,
Omán,Fuad Adam Al-Abady,Potente,,,23,107,107950,9790,27,5,3,6,7,1,4,3,12,11,13,2,26-09-2022 13:35,,6500000,
Finlandia,Valtteri Lähdemaa,Cabeceador,,1,26,41,172770,20410,75,5,3,6,8,1,3,12,3,11,15,2,26-09-2022 13:36,Amateri,7292000,
Alemania,Felix Haggennmüller,,,,24,38,74340,16470,116,2,4,7,8,1,3,4,3,7,15,3,26-09-2022 13:36,,4000000,
Italia,Ivan Manniello,,,1,21,49,50920,10850,70,2,4,6,8,1,6,5,6,6,14,2,26-09-2022 13:42,Olot Promesas,3122000,
España,Alberto Gabirondo,Imprevisible,,,24,37,171940,35030,26,6,2,5,7,1,3,4,12,8,16,2,26-09-2022 13:42,Benfica C.B,8575140,
Portugal,Apolinário Mendes,Cabeceador,,,21,5,32280,10110,52,3,4,7,6,1,2,5,5,5,13,4,26-09-2022 13:47,SGE Frankfurt 99,3060000,
Brasil,Severino Rossi Silva,,,,21,93,61550,20850,76,4,5,6,8,1,2,6,4,5,15,4,26-09-2022 13:49,,5990000,
Suecia,Mats-Ove Yngvesson,Imprevisible,,1,21,72,89110,13790,59,3,5,7,7,1,4,2,4,9,15,1,26-09-2022 13:50,Genç Çotanaklar,5000000,
Noruega,Edin Fagerlirøen,,,,24,2,26100,7930,21,3,5,5,7,1,5,5,2,6,13,4,26-09-2022 13:50,,2700000,
Alemania,Otto Schirmer,,,,26,0,59980,13650,84,6,3,5,8,1,3,4,9,8,14,7,26-09-2022 13:51,Rot-Weißer Stern Mainz 05,4600000,
Inglaterra,Ross Hastings,Potente,,1,22,7,39390,12750,80,3,4,5,8,1,3,3,3,7,14,2,26-09-2022 13:53,P&P Team,3888889,
Suiza,Richi Stuber,,,2,22,27,118980,24150,81,3,5,7,7,1,4,7,7,8,15,3,26-09-2022 13:54,Flaach United,5500000,
Suiza,Ortlieb Knoblauch,,,1,23,14,49150,8570,61,4,6,7,8,1,5,3,7,9,13,8,26-09-2022 13:59,FC Zollerstrasse,3030303,
Italia,Vittorio Lavecchia,,,,25,44,142980,32240,52,6,2,5,7,1,4,6,7,11,16,2,26-09-2022 14:00,,6500000,
Bélgica,Luc Preud'Homme,Imprevisible,,,24,88,155050,23910,123,5,5,6,8,1,2,2,2,13,15,1,26-09-2022 14:07,,6000000,
Zambia,Mukumbuta Tembo,,,,21,75,98910,17210,74,3,2,7,7,2,6,2,4,11,14,2,26-09-2022 14:13,Bruneano desde chiquitito,3944000,
Italia,Elia Armaroli,,,,21,19,41870,13630,10,3,6,7,7,2,3,6,3,6,14,1,26-09-2022 14:20,TSV Obasi,3250000,
Suiza,Patrik Beller,,,1,23,55,65990,19590,99,5,4,5,8,1,3,4,3,8,15,2,26-09-2022 14:22,,4650000,
Alemania,Şenol Mümin,Imprevisible,,2,23,0,91640,14410,37,4,4,6,8,1,3,2,6,12,14,2,26-09-2022 14:31,,5000000,
