Nacionalidad,Nombre,Especialidad,Lesiones ,Amonestaciones,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Límite,Máxima oferta,Ofrecer,
Malta,Eric Dunkerley,,,,26,45,72840,17730,15,6,6,4,7,1,4,2,12,6,14,4,28-09-2022 07:23,,5500000,
France,Jérémie Collin,,,1,22,64,44380,9970,25,3,3,6,8,1,6,5,4,3,14,4,28-09-2022 07:28,,2700000,
España,Mauro Nájera,,,,21,48,37900,8930,28,4,5,7,8,1,8,4,3,5,13,1,28-09-2022 07:28,,3750000,
España,Carles Maria Prunes,,,,21,106,35690,7990,31,4,2,7,8,1,3,6,6,7,13,5,28-09-2022 07:29,,4500000,
Schweiz,Stéphane Richard,Imprevisible,,,21,10,96570,28980,64,2,5,7,8,1,3,5,7,3,16,1,28-09-2022 07:32,FC Miserabel,8500000,
România,Cătălin Forna,,,2,24,74,118910,15110,8,5,7,8,8,1,3,3,5,12,14,4,28-09-2022 07:36,Aris Lemesou,2416380,
España,Julio César Recuero,Técnico,,,24,42,33020,8170,31,4,4,6,8,1,5,4,3,7,13,5,28-09-2022 07:38,,2500000,
Polska,Alojzy Wilner,,,,25,83,240760,21330,139,6,2,8,8,1,5,9,5,13,15,1,28-09-2022 07:50,,7500000,
Türkiye,Fikri Yorgan,Técnico,,,21,17,78790,26810,66,4,5,8,7,1,2,3,4,3,15,1,28-09-2022 07:51,The W@rners,2530000,
Türkiye,Selman Öncel,,,1,21,65,56890,10890,72,3,3,6,7,1,6,5,7,4,14,1,28-09-2022 07:52,kejvaři,2641800,
Italia,Carmine Del Borrello,Técnico,,,26,75,285240,22330,61,6,7,8,7,1,5,9,7,14,15,5,28-09-2022 07:58,,10050000,
România,Ioan Ştefan,Potente,,,26,60,114820,11070,56,6,5,5,7,1,4,4,12,11,13,5,28-09-2022 07:59,,7250000,
Türkiye,Murat Göktan,,,,21,101,21630,7730,77,5,5,4,6,1,4,3,2,6,13,4,28-09-2022 08:05,,25000000,
Sverige,Leon Eckstedt,,,,26,19,86530,21500,59,6,4,4,7,2,4,6,6,10,15,5,28-09-2022 08:14,,4500000,
Česká republika,Radek Faltys,Cabeceador,,,21,79,88930,23490,62,4,3,7,8,1,3,2,3,2,16,2,28-09-2022 08:16,,5100000,
Portugal,Carlos da Cruz,,,2,26,8,130740,35610,122,4,3,7,8,1,3,7,5,2,16,3,28-09-2022 08:19,,4500000,
España,Manel Sánchez Zarzosa,,,,22,58,124870,18210,87,4,4,7,8,1,4,4,3,11,15,2,28-09-2022 08:20,,5800000,
Italia,Evaristo Giulianelli,,,1,25,69,152720,29370,115,4,5,6,7,1,3,3,11,8,16,1,28-09-2022 08:22,,7670000,
Polska,Ludwik Kujawski,,,3,22,67,28110,8390,89,5,3,8,8,1,3,2,5,4,13,6,28-09-2022 08:28,,1875000,
Deutschland,Tim Brennemühlen,,,,24,13,79730,21160,88,4,5,8,8,1,4,6,6,5,15,4,28-09-2022 08:35,,4162500,
Nederland,Driekus Eilert,,,,22,107,51710,10250,18,3,4,6,8,1,4,3,2,7,14,2,28-09-2022 08:36,,3375000,
Schweiz,Heinrich Artelt,Potente,,2,22,75,71570,13930,90,5,4,5,7,1,4,3,3,11,14,10,28-09-2022 08:38,,5500000,
Polska,Vasyl Ihnatenko,,,1,22,102,77530,6410,3,4,6,6,8,1,4,4,4,12,13,2,28-09-2022 08:39,,3725000,
Polska,Daniel Żurakowski,,,1,26,70,66790,18150,33,5,4,5,7,1,4,7,2,6,15,2,28-09-2022 08:43,,3861667,
Latvija,Ēriks Sēja,Imprevisible,,,25,90,130930,15590,36,6,1,7,8,1,3,3,6,12,15,6,28-09-2022 08:44,,6500000,
