Nacionalidad,Nombre,Especialidad,Lesiones ,Amonestaciones,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Límite,Máxima oferta,Ofrecer,
Bosna i Hercegovina,Bilal Džaka,Rápido,,,30,108,96650,17500,57,9,3,7,7,1,5,8,9,10,15,4,22-09-2022 02:13,,3950000,
Andorra,Hermenegild Artiga,Potente,,,28,69,144980,30420,8,6,2,6,7,1,4,9,3,11,16,1,22-09-2022 02:30,,5500000,
Bulgaria,Krasimir Domuschiev,,,1,34,111,6330,8610,92,12,6,4,5,1,5,6,2,10,14,2,22-09-2022 02:40,,800000,
España,Manuel Gimenez Adaní,Influyente,,1,27,21,31510,8530,121,6,4,8,7,1,5,6,4,2,13,1,22-09-2022 03:09,,4000000,
Eesti,Andreas Luts,Técnico,,,35,18,3960,3280,81,9,2,5,5,0,5,4,3,10,13,6,22-09-2022 03:20,,500000,
Deutschland,Arne Hertl,Cabeceador,,,33,103,11250,6210,43,8,4,3,6,1,3,4,10,10,13,4,22-09-2022 03:30,Dackarna Fotboll,625000,
Al Kuwayt,Rouein Eram,Cabeceador,,,35,55,19450,6730,108,14,3,4,6,1,3,9,7,15,13,11,22-09-2022 03:31,,1575000,
France,Xavier Furcy,Cabeceador,,,36,19,6670,3270,12,13,4,8,5,0,2,5,1,9,14,9,22-09-2022 03:32,,740000,
England,Alfie Stafford,,,,31,8,59810,11090,128,11,4,8,6,1,5,12,4,8,13,2,22-09-2022 03:37,,3852000,
Polska,Bogdan Wiśniowski,Técnico,,,28,41,56550,20750,167,6,4,8,7,1,3,6,5,2,15,3,22-09-2022 03:37,,3200000,
Brasil,Nelsinho Mendonça,Técnico,,,35,57,9850,5140,120,13,5,6,5,1,6,12,3,8,13,3,22-09-2022 03:42,,900000,
Norge,Olav Aspelund,Imprevisible,,,28,89,90090,15170,24,7,1,8,7,1,5,5,3,12,14,16,22-09-2022 03:52,FC Real Donduseni,4450000,
România,István Balázs,Rápido,,1,31,56,141540,29990,58,10,5,6,7,1,4,6,3,14,16,5,22-09-2022 03:53,,4750000,
Belgium,Divock Vanhoof,Cabeceador,,,31,81,146450,25740,69,11,7,6,7,1,4,3,5,16,15,3,22-09-2022 03:54,,4716650,
Suomi,Mauritz Kerman,Cabeceador,,2,31,55,48910,15570,104,9,3,6,6,1,6,8,4,10,14,11,22-09-2022 04:00,LANEROSSI LAMBRATE,2281000,
Sverige,Agaton Klinthall,,,,28,95,50850,14250,83,6,4,3,6,2,4,2,3,12,13,11,22-09-2022 04:02,,2715000,
España,Adrian Turtureanu,,,,34,50,9860,7160,23,12,5,7,6,1,4,5,5,12,14,13,22-09-2022 04:12,,1200000,
Israel,Itzik Goldmann,Imprevisible,,1,30,95,110510,35760,25,9,5,8,6,1,4,7,6,8,16,5,22-09-2022 04:16,,3000000,
France,Christopher Lepot,,,,33,5,9110,10050,218,7,3,4,6,1,4,4,5,4,14,12,22-09-2022 04:16,,754141,
France,Pierre Montane,Influyente,,,27,68,172610,15830,5,7,3,6,7,1,6,8,15,10,13,5,22-09-2022 04:17,,6975000,
France,Arnaud Fernandes,Rápido,,2,35,69,21600,8690,42,13,5,6,6,1,3,12,1,11,14,12,22-09-2022 04:21,,2110000,
Italia,Juri Cini,Cabeceador,,,31,37,170640,24880,22,9,4,8,6,1,4,6,6,16,15,2,22-09-2022 04:23,,5000000,
Bulgaria,Dobrin Nikolov,Potente,,1,30,96,116660,22970,19,7,4,6,6,1,3,4,4,14,15,10,22-09-2022 04:25,,3900000,
România,Cosmin Spilcă,,,,32,82,75730,20760,102,12,4,7,7,1,6,6,8,14,15,4,22-09-2022 04:28,,2880000,
Føroyar,Niels á Krákusteini,,,,32,100,16240,7170,57,9,4,8,6,1,5,4,7,6,13,4,22-09-2022 04:30,,900000,
