Nacionalidad,Nombre,Especialidad,Lesiones ,Amonestaciones,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Límite,Máxima oferta,Ofrecer,
Finlandia,Mika Leinonen,Rápido,,2,33,72,18910,9820,50,11,3,5,6,1,5,4,5,11,14,9,04-09-2022 08:32,Hybrid Predators FC,1000000,
Suiza,Adrien Desclaux,Técnico,,,31,86,130690,17970,2,9,3,7,6,1,3,11,5,14,14,5,04-09-2022 08:33,Trufas F.C,3858524,
Polonia,Szymon Marszalik,Rápido,,,35,100,3550,4650,118,12,3,7,5,1,6,2,1,6,13,1,04-09-2022 08:34,lu spinssateddu,252000,
Alemania,Nick Münchingen,,,,34,66,5380,6200,6,11,4,6,5,0,6,4,3,8,13,3,04-09-2022 08:43,,500000,
Bélgica,Sander de Meûter,Rápido,,1,33,22,45860,22100,151,12,3,6,7,1,3,6,2,11,16,5,04-09-2022 08:44,Quiñones F.C.,2167000,
Rumanía,Ion Băzdrăgan,Potente,,,33,78,42690,20440,6,12,2,3,6,1,4,7,3,15,16,13,04-09-2022 08:56,,3050000,
República Checa,Michal Opava,Potente,,,27,6,83740,30370,58,6,5,6,7,1,5,3,4,4,16,1,04-09-2022 08:59,,3000001,
Rumanía,Marian Biban,,,1,32,19,51070,24300,7,8,3,7,6,1,5,5,6,7,16,6,04-09-2022 09:01,losventidos,1249000,
Polonia,Marcin Mazuro,Cabeceador,,1,32,47,34020,15650,6,10,4,7,6,1,7,5,2,7,15,2,04-09-2022 09:06,Projet NUL Africain,1041000,
Rumanía,Iulian Morărean,,,1,30,103,57550,23220,52,7,1,6,6,1,9,5,4,6,15,1,04-09-2022 09:10,,2000000,
Francia,Arnaud Fernandes,Rápido,,2,35,51,20540,8690,39,13,5,6,7,1,3,12,1,11,15,12,04-09-2022 09:15,,2490000,
Portugal,Joel Manana,Imprevisible,,,36,62,7110,6820,1,10,4,8,4,0,5,1,1,2,15,5,04-09-2022 09:20,Raitin Pallo,350000,
Rusia,Miroslav Butkov,Imprevisible,,,33,55,30010,13100,13,10,6,7,7,1,4,4,2,11,15,9,04-09-2022 09:22,,1704500,
Francia,Gwenaël Landrein,Imprevisible,,,29,43,172980,38810,71,8,2,8,7,1,3,4,6,12,16,6,04-09-2022 09:28,forever72310,4162000,
España,Guillermo Torroba,Técnico,,,27,84,147680,22860,100,5,3,6,7,1,3,10,3,12,15,11,04-09-2022 09:32,Mendrugos_ del Caribe,5850000,
Suecia,Sven-Gösta Bengtsson,,,1,28,46,65180,23640,20,6,4,3,6,1,4,4,5,12,15,2,04-09-2022 09:43,,3800000,
Arabia Saudí,Imad Al Benali,,,,32,102,224670,33680,48,13,5,7,6,1,4,16,4,16,13,10,04-09-2022 09:44,,5300000,
Croacia,Rajko Tarokić,,,,30,34,57130,14830,1,6,4,4,6,1,8,6,9,10,14,3,04-09-2022 09:46,,3000000,
Chile,Ariel Mac Auliffe,,,1,31,104,103640,18940,1,9,6,8,6,1,5,5,14,9,15,3,04-09-2022 09:47,,4250000,
Chile,Basilio Depsch,Potente,,,31,109,84330,14780,128,9,2,6,7,1,5,4,5,15,14,7,04-09-2022 09:49,,3950000,
Suiza,Jonas Basiger,,,,35,103,6990,5030,80,11,4,5,5,0,4,4,5,13,13,9,04-09-2022 09:58,,1200000,
España,Jorge Trevijano,Técnico,,,33,95,149790,25610,1,15,4,7,6,0,5,14,9,15,16,12,04-09-2022 10:03,fc patate chaude,4399000,
España,Juan Enrique Gualba,Potente,,2,33,37,68870,12510,43,12,4,5,7,1,5,13,9,12,14,4,04-09-2022 10:04,Dss Biersteker 3,2122620,
Alemania,Dietmut Heckner,,,,34,88,24330,11350,39,12,5,6,6,0,3,11,4,13,14,16,04-09-2022 10:05,,2875000,
Portugal,Manuel Rodrigues Correia,,,,32,12,61850,12600,10,11,3,7,6,2,3,5,11,12,14,2,04-09-2022 10:05,,3641400,
