Nacionalidad,Nombre,Especialidad,Lesiones ,Amonestaciones,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Límite,Máxima oferta,Ofrecer,
Noruega,Hallvard Tveit,,,,21,96,31470,7070,30,2,3,5,7,1,3,2,4,9,13,6,26-09-2022 15:57,LE CASALINGHE DI RIMINI,2895000,
Dinamarca,Helmer Krøjgaard,,,2,24,73,66640,7170,63,4,3,4,8,1,4,2,5,12,13,2,26-09-2022 15:59,,3900000,
Alemania,Niels Preibisch,,,,23,8,36010,13470,10,4,7,4,8,1,3,7,5,3,14,8,26-09-2022 15:59,,3250000,
Polonia,Leopold Puławski,Rápido,,1,25,29,45630,6670,30,4,3,8,8,1,3,4,4,9,13,1,26-09-2022 16:02,FC pikkju,2699940,
Irlanda del Norte,Craig Coe,,,,23,31,54000,17530,23,4,4,5,8,1,4,3,4,3,15,1,26-09-2022 16:05,,4000000,
Portugal,Gaspar Maia,,,,25,18,68400,24400,99,5,4,6,8,1,3,2,3,4,15,3,26-09-2022 16:05,,2500000,
Turquía,Ozan Tutya,,,,22,76,60900,9050,26,5,5,5,8,1,4,4,11,8,13,2,26-09-2022 16:07,,5322000,
España,Rodrigo Parreño,,,,22,11,122070,20210,81,4,1,7,8,1,3,4,2,11,15,1,26-09-2022 16:07,,4500000,
Dinamarca,Palle Sønderby,Cabeceador,,2,21,17,42250,8190,19,3,6,8,9,1,2,4,4,8,13,2,26-09-2022 16:08,,3400000,
Argentina,Pierpaolo Gravina,Rápido,,,25,96,160290,14510,27,6,6,7,7,1,6,4,11,12,14,6,26-09-2022 16:09,FC SEBOL 1975,5746000,
Tanzania,Mrisho Chami,Potente,,2,23,8,146610,31720,4,5,3,7,7,1,3,9,7,7,16,2,26-09-2022 16:10,,11700000,
Holanda,Wienus van Velthuijsen,Potente,,,22,16,87570,28250,81,3,1,7,7,1,3,4,4,6,16,3,26-09-2022 16:12,,5000000,
Polonia,Jędrzej Krzesiński,Potente,,1,25,95,163300,16150,79,5,4,6,8,1,3,3,13,9,15,2,26-09-2022 16:20,,8000000,
Holanda,Hessel Herben,,,1,24,30,112110,28330,48,4,2,6,8,1,5,3,5,9,16,1,26-09-2022 16:20,,5000000,
Brasil,Líbero Noleto,Rápido,,2,24,64,125800,10690,23,4,2,7,8,1,3,5,11,11,14,3,26-09-2022 16:23,,7999999,
Francia,Hassen Triki,Imprevisible,,,26,20,189720,35260,7,6,4,4,7,1,4,3,5,14,16,2,26-09-2022 16:24,,7800000,
Italia,Fiorenzo Mannari,,,,23,13,58540,19970,78,3,3,7,8,1,3,3,3,2,15,3,26-09-2022 16:24,Detva team,3400000,
Irán,Amir Pouyan Haj Kazem,Imprevisible,,,21,107,23850,9150,5,4,3,3,7,1,4,6,5,6,13,4,26-09-2022 16:25,,2800000,
Finlandia,Bruuno Ajakainen,,,,26,29,69970,14290,135,6,4,7,7,1,8,4,5,7,14,2,26-09-2022 16:26,,4500000,
Estados Unidos,Koby Stuck,,,,25,83,62600,14790,135,8,4,7,8,1,6,4,6,7,14,2,26-09-2022 16:27,,3950000,
Canadá,Jonathan Englert,Imprevisible,,,22,42,54630,9070,5,3,3,6,8,1,2,11,3,6,13,1,26-09-2022 16:28,,5999999,
Polonia,Bohdan Bdzholenko,Imprevisible,,,21,75,83060,13470,22,4,4,7,7,1,5,4,2,11,14,3,26-09-2022 16:29,,5699000,
Francia,Jérémy Ferrand,Rápido,,2,23,105,53010,8390,21,3,4,8,8,1,8,3,3,8,13,5,26-09-2022 16:33,,3599999,
Turquía,Kaplan Savun,,,,21,98,36770,15810,72,3,4,2,7,1,3,2,5,7,15,4,26-09-2022 16:35,,5000000,
Vietnam,Nguyễn Thanh Thuận,Técnico,,1,22,39,77660,7010,15,5,1,7,8,1,4,9,3,9,13,2,26-09-2022 16:38,,5495000,
