Nacionalidad,Nombre,Especialidad,Lesiones ,Amonestaciones,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Límite,Máxima oferta,Ofrecer,
France,Noé Deyres,Técnico,,1,25,5,1780,570,20,4,1,4,8,1,6,8,2,4,3,5,27-08-2022 02:16,Majesticks,4000,
France,Éloi Gousset,,,,22,14,2710,610,34,2,6,5,9,1,5,8,6,2,4,2,27-08-2022 02:38,,149000,
Polska,Mieczysław Rembalski,,,1,23,25,1640,810,99,2,5,4,7,1,4,8,3,3,3,1,27-08-2022 02:54,FC VOLHOV,1001,
Schweiz,Gwendolin Gadient,Técnico,,,23,102,2420,810,36,3,1,2,7,1,5,10,5,5,1,5,27-08-2022 02:58,Team Blösöt,250000,
Cameroon,Graham Saliu,,,,23,10,2410,590,18,3,6,6,7,1,5,8,4,5,2,5,27-08-2022 02:59,Hallay Maldivas,2000,
Curaçao,Jesus Cijntje,Imprevisible,,1,24,90,9840,3510,13,4,4,4,8,1,4,11,5,3,4,10,27-08-2022 03:10,,385000,
Österreich,Vladimír Kvíčala,Potente,,,22,64,4840,910,36,2,6,7,8,1,2,9,4,4,6,2,27-08-2022 03:33,,300000,
Nederland,Klaas Hart Nibbrig,,,,25,6,3880,910,115,3,5,7,7,1,4,9,3,6,4,3,27-08-2022 03:43,Almerikazan,19000,
Argentina,Nicolás Otaño,,,,28,33,4700,750,167,3,4,8,6,1,4,8,4,5,8,3,27-08-2022 04:18,Green Cross FC,41000,
España,Marcos Campos,,,,23,101,8110,710,80,3,4,8,8,1,4,9,4,7,4,2,27-08-2022 04:21,giuli y bocha f.c.,236000,
España,Juan Ignacio Rubio Orduña,Técnico,,,24,45,7160,950,6,2,2,7,9,1,9,8,5,3,2,1,27-08-2022 04:27,Arnold Layne,203000,
Deutschland,Bodo Gomm,,,,23,44,2460,550,10,3,1,5,7,1,5,8,5,5,1,4,27-08-2022 04:27,,10000,
Polska,Mateusz Klimczuk,,,,23,17,1510,550,22,3,3,3,8,1,5,8,5,5,1,5,27-08-2022 04:36,,25000,
Deutschland,Paweł Włusek,Potente,,,27,0,5230,1930,134,4,5,3,6,1,3,10,7,3,3,4,27-08-2022 04:46,ÇALTI F.C,11000,
Nederland,Arjo van Grimbergen,Técnico,,,28,10,7350,1790,133,7,4,5,6,1,10,8,3,2,5,5,27-08-2022 04:47,aznakaevo.kazann,285000,
España,Zhivko Velinov,,,,22,11,3700,1790,24,2,2,3,7,1,4,10,6,4,3,3,27-08-2022 04:56,,220000,
Ireland,Gareth Henry,,,,22,13,1900,870,24,2,3,4,7,1,3,9,4,4,4,4,27-08-2022 04:57,kifferts_sportsclub90,1000,
Česká republika,Miloslav Folda,,,,28,18,1620,570,152,1,3,3,8,1,5,8,6,3,3,5,27-08-2022 05:08,,250000,
Suomi,Veli-Heikki Keravuori,Cabeceador,,,25,25,6200,1290,22,3,4,6,8,1,6,10,3,4,2,6,27-08-2022 05:11,FC ARGES_1953,105000,
Polska,Maciej Wierdak,Cabeceador,,,28,14,2180,550,23,2,5,6,7,1,5,8,5,4,5,4,27-08-2022 05:21,,45000,
Deutschland,Klemens Lothar Billwerder,,,,26,22,1600,750,22,4,5,4,6,1,4,8,3,5,3,4,27-08-2022 05:26,,1000,
Singapore,Ng Kang Long,Imprevisible,,,27,14,4420,910,47,4,5,6,7,1,4,9,4,6,4,5,27-08-2022 05:36,,50000,
Nederland,Nelis van Putten,,,,24,41,6760,1890,104,2,6,4,8,1,3,10,5,3,6,3,27-08-2022 05:39,Hondsrug FC,150000,
Italia,Giacomo De Dionigi,,,,23,64,3130,450,51,3,5,7,7,1,5,8,6,5,3,4,27-08-2022 05:40,,50000,
Deutschland,Tim Blasel,Técnico,,,22,35,2390,670,11,3,5,3,8,1,4,8,3,6,3,6,27-08-2022 05:45,,7500,
