Nacionalidad,Nombre,Especialidad,Lesiones ,Amonestaciones,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Límite,Máxima oferta,Ofrecer,
Pilipinas,Samson Dignadice,Imprevisible,,1,27,8,2310,550,22,4,5,7,7,2,5,8,3,5,3,6,27-08-2022 10:29,,25,
Chile,Pedro José Plaza,,,,23,0,1890,530,7,2,4,6,7,1,4,8,5,5,4,2,27-08-2022 10:41,,1000,
Deutschland,Bjoern Wetzig,Imprevisible,,,25,101,1760,530,17,4,3,6,6,1,4,8,3,4,5,5,27-08-2022 10:41,,5000,
Hrvatska,Javor Francetić,Cabeceador,,1,25,62,6860,2570,37,4,5,3,7,1,6,10,5,4,3,4,27-08-2022 10:49,,250000,
Deutschland,Eric Begen,,,1,26,70,2840,570,22,4,2,5,7,2,5,8,2,5,2,6,27-08-2022 10:56,,99000,
España,Francisco Manuel Romero Gálvez,Rápido,,,23,8,3090,1050,67,2,4,6,8,1,4,9,4,4,4,4,27-08-2022 11:02,,20000,
España,Víctor Nicolás,Técnico,,,23,31,1870,710,4,2,3,3,8,1,2,8,2,6,4,5,27-08-2022 11:12,,10000,
Chile,Rudy Schuchardt,,,1,22,33,2870,1010,2,3,6,3,7,1,5,9,4,5,2,5,27-08-2022 11:15,,50000,
Jamaica,Carlton Sealey,,,1,27,28,2160,610,7,4,5,6,7,2,5,8,2,5,3,6,27-08-2022 11:21,,2000,
Belgium,Stijn Mortier,,,,22,32,4090,770,22,3,6,5,8,1,5,9,6,5,2,5,27-08-2022 11:21,,111000,
Zambia,Mwilola Mwanahamuntu,Potente,,1,26,0,2590,910,26,4,1,1,9,1,5,9,6,5,4,5,27-08-2022 11:33,Barcelona. F.C.,20000,
Portugal,César Vilar,Potente,,,25,73,3880,730,18,4,4,7,8,1,4,9,2,5,4,4,27-08-2022 11:40,,45000,
Italia,Umberto Tenaglia,,,,26,90,4200,610,21,4,1,4,7,1,6,9,2,4,5,5,27-08-2022 11:41,,150000,
România,Petre Guşetu,,,,27,2,20770,2070,30,4,4,5,7,1,6,9,4,10,6,4,27-08-2022 11:44,Bikers F.C,316000,
España,David Blanco,Técnico,,,27,32,2990,670,15,5,2,3,7,1,6,8,3,6,3,4,27-08-2022 11:50,,2100,
Chile,Enrique Callejas,Imprevisible,,,28,78,8700,5010,57,6,5,4,7,1,5,11,5,5,4,9,27-08-2022 11:52,,300000,
Norge,Simon Gam,,,,23,6,2390,610,64,3,4,4,9,1,3,8,3,5,6,8,27-08-2022 11:57,Eintracht Cancriformis 22,1000,
China,冯 (Feng) 天勇 (Tianyong),,,,24,75,5510,1530,26,4,4,4,7,1,4,9,6,5,3,5,27-08-2022 11:59,,150000,
Magyarország,János Sükösd,,,,28,54,1880,1750,108,3,3,2,3,1,5,10,5,5,2,5,27-08-2022 12:02,,125000,
France,Thibault Petitjean,,,,23,16,2240,930,18,1,3,5,7,1,3,9,4,4,3,1,27-08-2022 12:02,,100000,
Bulgaria,Chavdar Kirilov,Potente,,,22,83,15480,1710,66,5,3,6,9,1,5,10,3,9,4,1,27-08-2022 12:10,les carxofes f.c,367200,
România,János Oborzil,,,,22,13,4840,1710,80,2,3,5,7,1,5,10,3,3,4,4,27-08-2022 12:32,,2000,
Argentina,Alejandro Voces,Técnico,,,26,38,2200,770,5,3,5,4,9,1,3,8,2,4,3,5,27-08-2022 12:32,,5000,
Cymru,Huw Kneath,Imprevisible,,1,26,100,3450,490,15,3,4,4,6,1,5,9,3,6,3,6,27-08-2022 12:35,AFC Wanderers City,127500,
Magyarország,Bulcsú Angster,,,,27,110,4370,790,2,3,3,5,6,1,3,9,6,6,3,1,27-08-2022 12:38,,25000,
