Nacionalidad,Nombre,Especialidad,Lesiones ,Amonestaciones,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Límite,Máxima oferta,Ofrecer,
Chile,Amato Pinar,,,,28,86,17580,3550,118,5,3,3,5,1,5,11,3,10,7,5,29-08-2022 04:31,,750000,
Italia,Eugenio Adrianopoli,Rápido,,,24,84,58000,3250,4,2,6,7,7,1,2,10,3,10,11,9,29-08-2022 04:31,,3500000,
Nederland,Matthieu Gerdez,Cabeceador,,1,25,52,4720,1150,23,4,5,4,7,1,6,10,2,3,2,5,29-08-2022 04:36,ACGinostra,2000,
Italia,Fausto Torru,,,,26,51,6390,1670,39,4,3,6,7,1,6,10,3,4,2,5,29-08-2022 04:36,,350000,
Österreich,Martin Mayer,Potente,,,25,6,5440,1070,26,5,5,5,7,1,8,9,4,3,3,1,29-08-2022 04:37,Tursiops Truncatus B,255000,
Argentina,Transito Vijod,Imprevisible,,,27,53,3260,550,4,4,4,4,6,1,5,8,5,6,4,3,29-08-2022 04:43,,22505,
France,Yohann Chabane,Potente,,,25,97,36000,2590,84,5,2,7,7,1,10,11,4,4,8,14,29-08-2022 04:47,,2850000,
Suomi,Tuomas Maunuksela,Técnico,,,22,20,12840,2450,31,2,5,6,8,1,6,11,2,6,5,2,29-08-2022 04:48,Liverpool Trzciamajka,850000,
England,Danny Wolak,,,,22,54,10510,810,8,2,5,6,8,1,3,8,3,9,6,4,29-08-2022 04:49,,250000,
España,Ermengol Goixart,Cabeceador,,,22,109,55680,3230,65,3,4,8,7,1,10,9,6,11,3,13,29-08-2022 04:50,,5150000,
Guatemala,Gilberto Elorriaga,Imprevisible,,,22,77,9380,2130,80,2,4,5,8,1,4,11,4,4,4,5,29-08-2022 04:54,,333333,
Nederland,Alje Brusselers,,,1,22,87,27020,2790,46,4,4,7,8,1,10,10,5,6,4,6,29-08-2022 04:55,,2000000,
Polska,Lech Bartosiewicz,,,,23,46,2840,1310,37,3,3,2,7,1,5,9,3,5,4,3,29-08-2022 04:55,FC Politehnica Timișoara,20000,
Schweiz,Till Donzel,Técnico,,1,26,97,8410,2030,151,3,4,4,7,1,6,11,4,3,3,6,29-08-2022 04:58,,300000,
România,Cătălin Buda,,,1,25,8,3870,890,22,5,5,6,9,1,6,8,3,3,2,9,29-08-2022 05:00,JK Lounaistuuli,2000,
Italia,Andrea Garrasi,Rápido,,,27,81,31270,2670,4,5,5,6,7,1,5,11,11,7,3,8,29-08-2022 05:01,,2000000,
España,David Osorio Bazan,Rápido,,1,25,33,7770,1030,41,5,3,6,7,1,5,9,7,6,3,4,29-08-2022 05:05,Piumazzese,128520,
Italia,Paolo Gallinari,,,,27,2,4620,950,22,5,6,7,7,2,5,9,2,6,2,6,29-08-2022 05:08,,110000,
Sverige,Mattias Sedlund,,,,23,102,16090,1770,60,4,2,7,8,1,4,10,10,5,3,5,29-08-2022 05:11,,2275000,
Portugal,Joaquim Faria,,,,27,89,20370,1730,8,5,3,7,7,1,6,8,6,10,3,5,29-08-2022 05:13,,422000,
Polska,Kleofas Rogowski,,,,25,10,1960,570,19,3,4,5,6,1,6,8,3,5,1,5,29-08-2022 05:14,,50000,
Deutschland,Eugen Piffrath,,,,25,80,3640,990,8,4,2,6,7,1,3,9,3,4,4,5,29-08-2022 05:16,,31000,
Italia,Gino Del Curto,,,1,23,76,14590,2730,106,3,4,7,7,1,5,11,4,3,6,3,29-08-2022 05:19,,699000,
Deutschland,Mirko Morckel,Imprevisible,,,26,106,1950,450,1,4,3,5,7,2,5,8,3,5,3,6,29-08-2022 05:23,SRS Łomna,11000,
Schweiz,Werner Zils,Cabeceador,,,24,102,12450,3970,1,2,5,5,7,1,5,11,3,5,5,3,29-08-2022 05:24,,570000,
