Nacionalidad,Nombre,Especialidad,Lesiones ,Amonestaciones,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Límite,Máxima oferta,Ofrecer,
Italia,Gigio Vallesi,,,,27,20,7090,1570,5,6,2,7,8,1,4,9,6,5,3,5,27-08-2022 05:49,,111000,
Hellas,Statharas Katsiouyiannis,,,,22,32,5470,870,22,3,1,6,7,1,5,9,6,5,3,5,27-08-2022 05:56,,300000,
Polska,Paweł Kozdraś,,,1,25,7,1580,590,7,4,3,5,7,1,4,8,3,5,3,5,27-08-2022 06:06,,4750,
Bulgaria,Stanislav Manolov,,,,28,67,9250,890,101,6,6,5,7,1,6,8,7,8,3,6,27-08-2022 06:11,Steaua Madarjac,125000,
Schweiz,Milaim Syed,,,,28,79,1790,730,172,2,5,2,6,1,4,8,3,3,7,4,27-08-2022 06:34,,1000,
Nederland,Eddy Patijn,Potente,,1,26,94,1460,570,84,3,4,2,7,1,6,8,5,4,1,5,27-08-2022 06:36,,0,
Deutschland,Ferdinand Carlin,,,,26,41,4890,2570,1,3,4,2,7,1,4,10,3,5,3,4,27-08-2022 06:47,,125000,
España,Gorri Axeritobehere,,,,24,59,5380,1030,8,3,3,6,8,1,6,9,2,7,3,6,27-08-2022 06:50,,300000,
Polska,Mariusz Klepczarek,Rápido,,,24,75,3460,970,22,4,2,5,8,1,6,9,3,4,2,4,27-08-2022 06:57,FC Lorenzana,4001,
Polska,Gabriel Nadolski,Rápido,,2,26,33,1500,490,22,4,1,4,7,1,3,8,3,5,4,4,27-08-2022 06:57,,0,
Italia,Sergiu Chirea,Cabeceador,,,25,16,7480,2550,21,4,2,6,7,1,6,11,3,4,2,5,27-08-2022 07:03,Gallardetta,154020,
Italia,Diego Presciutti,,,,25,108,5400,770,21,4,3,7,7,1,3,10,2,5,4,5,27-08-2022 07:04,přerov,9000,
Italia,Mario Zappacosta,Imprevisible,,1,26,92,5880,710,21,4,6,6,6,2,5,10,3,5,3,7,27-08-2022 07:04,Kwatsboys2,125000,
Italia,Candido Cornici,,,,22,56,1140,550,21,3,6,3,6,1,5,8,4,5,2,5,27-08-2022 07:06,,0,
Italia,Antonio Tagliapietra,,,,24,9,4990,750,21,5,6,6,7,1,4,8,7,6,2,6,27-08-2022 07:07,L-USER F.C.,16000,
Italia,Cristian Moscato,,,,22,19,6590,2310,1,2,6,6,8,1,3,10,3,3,3,2,27-08-2022 07:08,,199500,
Myanmar,关 (Guan)  仲堂 (Zhongtang),Rápido,,,24,80,5120,650,16,4,5,7,7,1,8,8,2,4,1,5,27-08-2022 07:21,El Faro Restobar,35000,
Myanmar,Zaw Zaw,,,1,22,6,2740,530,16,3,2,6,6,1,7,8,4,4,1,5,27-08-2022 07:23,Ss Silana,2000,
Myanmar,Pyae Tan,,,,25,84,1450,470,16,3,3,7,6,1,4,8,3,4,3,4,27-08-2022 07:25,,0,
Türkiye,Necdet Çelik,,,,22,80,2500,470,0,3,3,4,7,1,5,8,4,6,2,5,27-08-2022 07:43,,7000,
Deutschland,Thor Boitin-Resdorf,,,,24,48,1570,490,10,3,1,3,7,1,6,8,3,4,2,5,27-08-2022 07:45,,10000,
Comoros,Rafidine Abdou,Potente,,,25,49,2210,550,21,4,1,5,7,1,3,8,2,6,3,5,27-08-2022 07:48,,20000,
Latvija,Aliaksej Matvienka,Técnico,,,25,91,1000,570,40,3,3,2,6,1,6,8,2,4,2,4,27-08-2022 07:48,,1,
Polska,Szymon Opasiński,,,1,25,37,3750,810,13,3,4,7,7,1,4,9,3,5,3,4,27-08-2022 07:52,,37500,
Polska,Wszemir Wojtalik,Cabeceador,,,24,47,4690,750,13,3,5,7,7,1,6,9,2,4,1,4,27-08-2022 07:52,,47500,
