Nacionalidad,Nombre,Especialidad,Lesiones ,Amonestaciones,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Límite,Máxima oferta,Ofrecer,
Polska,Piotr Pyzia,,,,23,19,4410,490,21,4,5,6,7,1,5,8,6,7,1,4,29-08-2022 01:49,Diego Alberto,100000,
Polska,Dawid Gołąb,,,,25,4,4800,870,21,4,1,5,7,1,6,9,3,6,2,4,29-08-2022 01:51,,125000,
Colombia,Wilson Ostos,,,1,24,36,6150,990,110,3,5,7,9,1,7,9,3,5,3,2,29-08-2022 01:51,,100000,
Liechtenstein,Samuel Mielke,Estoico,,1,23,61,16590,2310,69,4,4,7,8,2,4,8,11,4,5,6,29-08-2022 02:01,,1950000,
Italia,Gualtiero Catalanotto,,,1,22,47,64570,4310,31,4,5,6,8,1,3,11,3,11,11,1,29-08-2022 02:03,,5000000,
Portugal,Jorge 'Josiu' Simões Fonseca,Cabeceador,,1,26,1,15310,2670,99,5,4,7,8,1,4,10,9,3,2,3,29-08-2022 02:03,,750000,
Norge,Simeon Banks,Cabeceador,,,25,88,1840,530,7,3,6,7,6,1,3,8,2,4,4,5,29-08-2022 02:03,,2000,
Deutschland,Marcus Goeldel,Potente,,,23,94,6410,650,100,3,5,7,8,1,2,8,7,7,4,1,29-08-2022 02:11,wwe_maccbi_15,97000,
España,Basilli Galtzagorri,,,,24,65,12480,2310,33,4,6,6,9,1,5,11,5,3,4,3,29-08-2022 02:15,,280000,
Hellas,Argiris Skalidis,,,,25,59,19820,2690,52,4,4,6,8,1,11,9,3,5,5,2,29-08-2022 02:29,,1700000,
Suomi,Sami Jukonen,,,,27,13,21840,2930,101,5,6,6,7,1,4,10,9,7,4,7,29-08-2022 02:32,gisbernau it,571000,
Österreich,Moritz Schmid,Rápido,,1,26,103,58750,3370,87,5,5,7,9,1,2,11,10,11,3,18,29-08-2022 02:33,,3995000,
Argentina,Justo Sánchez,,,,28,69,8270,2030,159,6,2,3,7,1,7,10,5,7,5,6,29-08-2022 02:36,,365000,
Deutschland,Manolo Beranek,Cabeceador,,,22,1,7110,1190,3,4,3,5,8,1,4,9,3,6,7,4,29-08-2022 02:40,,750000,
USA,Carl Brancker,,,,26,53,23740,3150,49,5,3,8,7,1,11,8,6,8,7,1,29-08-2022 02:43,De Felle Sjotters,1528500,
Nederland,Jorg van der Steen,,,1,28,57,2750,410,22,4,4,8,7,1,5,8,6,4,4,4,29-08-2022 02:49,,0,
Crna Gora,Mirko Jeretin,Potente,,1,24,19,65450,4450,41,4,5,6,8,1,10,10,4,8,11,2,29-08-2022 02:51,,3500000,
Colombia,Diego Javier Usuriaga,Potente,,1,26,93,34210,1630,109,5,5,7,8,1,8,9,8,10,4,8,29-08-2022 03:00,R. Leuven F.C.,1479000,
Italia,Franco Avanzo,Potente,,2,25,103,4640,650,22,4,3,5,7,1,4,10,2,5,3,4,29-08-2022 03:04,,100000,
Italia,Mario Lorusso,,,,23,0,7070,1970,91,3,2,5,7,1,5,10,7,3,2,2,29-08-2022 03:11,,190000,
France,Simon Paris,,,,22,74,27340,1310,1,3,4,7,7,1,9,8,7,9,3,2,29-08-2022 03:13,,2463886,
México,Jaime Echeondo,Potente,,1,24,76,9630,3270,38,4,4,5,7,1,4,11,2,6,4,5,29-08-2022 03:13,,375000,
Polska,Jan Toczko,Rápido,,2,27,23,45270,2810,19,4,1,8,7,1,3,10,9,10,6,3,29-08-2022 03:15,,1688886,
Indonesia,Nasir Wardana,,,1,25,24,12890,3150,32,4,2,7,7,1,6,11,3,3,2,5,29-08-2022 03:17,Painho 2022,105000,
España,Ricardo Castilleja,Rápido,,,24,91,16030,1770,21,3,5,6,8,1,10,8,6,6,4,1,29-08-2022 03:20,lajax,700000,
