,Nacionalidad,Nombre,Especialidad,Lesiones ,Amonestaciones,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Límite,Máxima oferta,Ofrecer,Unnamed: 24,link
0,Nigeria,Peter Osadolor,Imprevisible,,,33,26,33770,20020,93,10,4,6,6,1,6,3,3,9,16,2,16-09-2022 14:29,F.C. Pol-boys,1600000,,https://www82.hattrick.org/Club/Players/Player.aspx?playerId=432097046
1,Polonia,Aleksander Gmiterek,Influyente,,1.0,30,31,50250,9100,24,7,4,4,7,1,5,4,9,12,13,3,16-09-2022 14:34,,2500000,,https://www82.hattrick.org/Club/Players/Player.aspx?playerId=439394627
2,Rusia,Viktor Bodyagin,Potente,,1.0,28,11,76670,14170,72,8,3,5,7,1,3,10,7,10,14,1,16-09-2022 14:39,,6400000,,https://www82.hattrick.org/Club/Players/Player.aspx?playerId=443384657
3,Andorra,Ramon Brià,Estoico,,1.0,29,37,167180,19620,32,8,1,5,7,1,4,14,4,13,13,1,16-09-2022 14:42,,6000000,,https://www82.hattrick.org/Club/Players/Player.aspx?playerId=440401343
4,Italia,Yuri Mutti,Técnico,,,35,94,12870,6240,7,12,4,5,4,1,3,12,4,12,13,4,16-09-2022 14:44,,1600000,,https://www82.hattrick.org/Club/Players/Player.aspx?playerId=424023135
5,Irlanda,Ed McKeown,,,1.0,27,44,67800,22370,55,5,4,6,7,1,4,4,5,7,15,3,16-09-2022 14:46,,3500000,,https://www82.hattrick.org/Club/Players/Player.aspx?playerId=444658174
6,Lituania,Viltys Gležeris,,,1.0,29,11,205110,19030,46,7,5,7,8,1,6,12,3,14,14,3,16-09-2022 14:47,,5400000,,https://www82.hattrick.org/Club/Players/Player.aspx?playerId=442453965
7,Rumanía,Adrian Guşu,Cabeceador,,2.0,28,27,95740,34270,17,7,3,8,7,1,3,4,5,7,16,9,16-09-2022 14:47,forever_young,3264000,,https://www82.hattrick.org/Club/Players/Player.aspx?playerId=442745840
8,Francia,Cédric Communal,,,1.0,29,77,186150,37640,8,7,4,8,7,1,6,5,5,12,16,3,16-09-2022 14:48,SC Kruisband,3750000,,https://www82.hattrick.org/Club/Players/Player.aspx?playerId=438968089
9,Polonia,Michał Ambryszewski,,,,30,23,69560,17170,8,10,1,8,7,1,3,6,9,9,15,6,16-09-2022 14:48,Sarano United,3315000,,https://www82.hattrick.org/Club/Players/Player.aspx?playerId=441480419
10,Holanda,Bas Isenia,Rápido,,1.0,29,8,53320,28430,8,7,5,6,6,1,3,6,3,8,16,5,16-09-2022 14:48,,3600000,,https://www82.hattrick.org/Club/Players/Player.aspx?playerId=441726249
11,Alemania,Justin Dürckheim,,,,36,45,5390,5000,100,11,5,3,4,0,3,7,1,9,14,8,16-09-2022 14:51,,550000,,https://www82.hattrick.org/Club/Players/Player.aspx?playerId=422333659
