,Nacionalidad,Nombre,Especialidad,Lesiones ,Amonestaciones,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Límite,Máxima oferta,Ofrecer,Unnamed: 24,link
0,Puerto Rico,Fernando Arroyo,,,1.0,21,92,72570,13370,29,3,5,5,7,1,4,5,3,11,14,2,26-09-2022 15:17,,5499000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=459575734
1,Bélgica,Juul Landrain,,,1.0,22,24,68790,18610,26,4,5,4,7,1,3,3,5,11,14,2,26-09-2022 15:17,,4990000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=458581004
2,Polonia,Konrad Malaga,,,,21,61,43020,10550,1,3,6,7,8,1,4,2,4,6,14,2,26-09-2022 15:18,,3000000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=461965907
3,Eslovaquia,Radovan Kereň,,,,25,26,195490,25930,58,6,5,5,7,1,4,3,4,15,15,3,26-09-2022 15:22,,5995000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=450182177
4,Italia,Osvaldo Ciccillo,,,1.0,23,34,129470,29910,78,3,3,6,7,1,3,5,3,10,16,3,26-09-2022 15:22,,6750000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=455905087
5,China,刘 (Liu)  文鹏 (Wenpeng),Rápido,,,25,32,237070,23670,7,6,5,5,7,1,2,11,4,16,13,3,26-09-2022 15:23,,9300000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=450076085
6,Irán,Parham Nikzamir,Potente,,,24,97,170440,14810,43,4,5,7,8,1,3,10,5,13,14,3,26-09-2022 15:23,,7600000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=451234932
7,Senegal,Ifra M'pamy,Técnico,,2.0,23,25,94660,12690,47,3,4,8,7,1,2,13,3,2,13,1,26-09-2022 15:24,Seven Lives,5500000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=456673621
8,Costa Rica,Dennis Alvarado,Imprevisible,,,24,58,93640,30000,24,6,6,6,7,1,5,5,6,5,16,4,26-09-2022 15:31,,5300000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=453349607
9,Suiza,Ludwig Stram,Cabeceador,,1.0,24,21,104570,20190,66,5,3,5,8,1,4,11,3,8,15,2,26-09-2022 15:31,,7900000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=453360791
