,Nacionalidad,Nombre,Especialidad,Lesiones ,Amonestaciones,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Límite,Máxima oferta,Ofrecer,Unnamed: 24,link
0,Suomi,Viktor Ryzhankov,,,1.0,31,56,48690,20030,106,8,5,7,6,1,6,9,3,2,15,3,22-09-2022 06:31,,1999000,,https://www87.hattrick.org/Club/Players/Player.aspx?playerId=436931688
1,Italia,Riccardo Maria Cammisa,Potente,,,27,59,194240,22190,127,5,3,4,7,1,2,11,3,14,15,3,22-09-2022 06:34,Return Of Darkness,8290000,,https://www87.hattrick.org/Club/Players/Player.aspx?playerId=445454303
2,Hellas,Erotas Andriopoulos,,,1.0,33,33,33990,12590,9,12,1,6,6,0,2,10,6,10,15,1,22-09-2022 06:35,,2500000,,https://www87.hattrick.org/Club/Players/Player.aspx?playerId=430983082
3,Deutschland,Klement Blachnitzky,,,1.0,28,63,194270,23280,9,8,3,7,7,2,15,2,10,8,13,9,22-09-2022 06:39,,4500000,,https://www87.hattrick.org/Club/Players/Player.aspx?playerId=442318990
4,Eesti,Karl Laanjärv,,,,28,10,40640,14950,7,6,1,3,7,1,6,6,6,8,14,7,22-09-2022 06:47,Fraction Team,1137000,,https://www87.hattrick.org/Club/Players/Player.aspx?playerId=445669686
5,El Salvador,Patricio Gonzales,,,1.0,29,70,275900,26770,40,12,2,6,7,1,3,13,14,11,14,3,22-09-2022 06:50,,9750000,,https://www87.hattrick.org/Club/Players/Player.aspx?playerId=440197688
6,Polska,Włodzimierz Synówka,,,1.0,30,26,188660,36680,63,9,4,5,6,1,7,4,6,16,16,4,22-09-2022 06:51,,5247167,,https://www87.hattrick.org/Club/Players/Player.aspx?playerId=437954708
7,Lietuva,Galius Krošilovas,,,,27,95,173680,29350,102,7,2,5,7,1,3,8,11,10,16,4,22-09-2022 06:58,,5750000,,https://www87.hattrick.org/Club/Players/Player.aspx?playerId=443644110
8,Slovensko,Sebastian Karaś,,,,28,15,87480,30620,67,6,2,6,7,1,7,6,2,6,16,3,22-09-2022 06:58,,3200000,,https://www87.hattrick.org/Club/Players/Player.aspx?playerId=443582682
9,Italia,Alessandro Jabrane,,,,34,53,2570,8020,271,7,4,4,5,1,3,5,6,1,14,3,22-09-2022 06:58,TCTravel,30000,,https://www87.hattrick.org/Club/Players/Player.aspx?playerId=428833324
10,Italia,Giampaolo Rada,,,,27,92,51240,20540,169,5,4,4,7,1,1,3,4,3,15,1,22-09-2022 06:58,Gardolo,503000,,https://www87.hattrick.org/Club/Players/Player.aspx?playerId=444130261
11,Sverige,Thilo Walpen,,,1.0,30,7,134500,25180,60,7,3,5,6,1,3,12,3,12,15,6,22-09-2022 07:00,,4000000,,https://www87.hattrick.org/Club/Players/Player.aspx?playerId=438674205
12,Bulgaria,Valeri Mihaylov,Imprevisible,,,36,44,14630,5570,14,13,2,5,4,1,4,8,2,13,14,3,22-09-2022 07:01,RC SAN ANTONIO,266000,,https://www87.hattrick.org/Club/Players/Player.aspx?playerId=422383057
13,USA,Guadalupe Loyola,Imprevisible,,,36,87,5590,5940,235,12,4,5,4,0,5,2,3,5,15,2,22-09-2022 07:04,Gonusso C.F,350000,,https://www87.hattrick.org/Club/Players/Player.aspx?playerId=420542124
14,România,Mircea Gugoaşă,,,,32,3,64290,10210,42,10,4,8,6,1,3,3,12,12,13,9,22-09-2022 07:13,,1500000,,https://www87.hattrick.org/Club/Players/Player.aspx?playerId=434449856
15,Deutschland,Gabriel Bastian,,,,29,47,161070,29060,24,8,4,2,7,1,5,11,5,16,15,13,22-09-2022 07:15,,7500000,,https://www87.hattrick.org/Club/Players/Player.aspx?playerId=440319110
