,Nacionalidad,Nombre,Especialidad,Lesiones ,Amonestaciones,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Límite,Máxima oferta,Ofrecer,Unnamed: 24,link
0,Polska,Ryszard Tomasiak,,,1.0,28,45,38910,10190,3,6,1,5,7,2,6,5,8,6,13,5,28-09-2022 20:47,,2700000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=442686153
1,Türkiye,İzzet Tozan,,,,27,48,163950,34280,58,8,6,6,7,1,3,4,7,11,16,6,28-09-2022 20:49,,5175000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=444576334
2,Deutschland,Tassilo Nienberge,,,,35,21,9780,10680,119,11,3,6,5,1,3,3,5,6,16,10,28-09-2022 20:58,,800000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=426081256
3,Italia,Gaudenzio Zara,,,,28,67,108730,42780,5,7,5,5,7,1,4,4,5,8,16,1,28-09-2022 21:45,,4750000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=442361072
4,Italia,Filippo Mandosio,,,,28,39,34890,13370,7,6,2,5,7,1,4,6,5,5,14,6,28-09-2022 21:45,,3500000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=446656691
5,Rossiya,Dmitriy Danilov,,,,27,29,57730,20760,104,7,3,5,7,1,7,4,3,5,15,3,28-09-2022 21:50,A. C. VERDELLO 2017,2375000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=444825818
6,Nederland,Waldemar Gardeniers,,,,28,107,120950,25830,105,9,2,5,6,1,4,15,2,5,13,3,28-09-2022 22:06,,3800000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=441558852
7,Chile,Qisu Galilea,Imprevisible,,,27,43,231690,37060,166,7,5,5,7,1,4,8,7,13,16,16,28-09-2022 22:09,Linksfuß 1,8160000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=444646383
8,France,Abdelghafour Benarbia,,,1.0,27,23,106780,16950,1,6,2,4,7,1,4,12,6,9,14,8,28-09-2022 22:29,,4999500,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=449392875
9,Ireland,Michael Kane,Técnico,,,35,29,9460,3410,94,10,3,7,6,1,5,3,4,12,13,4,28-09-2022 22:29,F.C. Dragon-Ball,612000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=426107666
