,Nacionalidad,Nombre,Especialidad,Lesiones ,Amonestaciones,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Límite,Máxima oferta,Ofrecer,Unnamed: 24,link
0,Italia,Giorgio Dal Pont,Técnico,,,32,99,112760,20560,39,13,3,6,6,1,3,15,5,13,13,11,22-09-2022 04:34,,3000000,,https://www87.hattrick.org/Club/Players/Player.aspx?playerId=431978416
1,Belgium,Joran Teugels,,,,30,1,169360,21090,72,9,2,6,7,1,4,9,3,15,15,3,22-09-2022 04:36,,4394895,,https://www87.hattrick.org/Club/Players/Player.aspx?playerId=438606997
2,España,Francisco Tello,,,1.0,33,104,24710,24840,264,9,5,7,5,1,4,5,2,4,16,5,22-09-2022 04:38,dragone rosso3,500820,,https://www87.hattrick.org/Club/Players/Player.aspx?playerId=429496608
3,Deutschland,Curd Kay,,,,33,95,18830,21940,263,7,5,5,5,0,4,3,2,2,16,2,22-09-2022 04:39,Sötaupayérs,360000,,https://www87.hattrick.org/Club/Players/Player.aspx?playerId=429128209
4,España,Fernando Cirelluelo,Rápido,,,34,37,9310,6030,64,9,4,4,7,1,4,5,3,12,13,17,22-09-2022 04:44,P.K. Team,549000,,https://www87.hattrick.org/Club/Players/Player.aspx?playerId=428351890
5,Deutschland,Otto Grohar,,,1.0,27,9,91580,30290,131,4,4,6,7,1,4,5,3,6,16,9,22-09-2022 04:45,Vigorexicos,2500000,,https://www87.hattrick.org/Club/Players/Player.aspx?playerId=450018930
6,Colombia,Caitan Cayas,Rápido,,1.0,27,5,248430,21760,91,7,6,8,7,1,4,14,3,13,13,1,22-09-2022 04:47,,7999999,,https://www87.hattrick.org/Club/Players/Player.aspx?playerId=446231360
7,Deutschland,Wolfgang Bottrop,Potente,,,33,8,33730,11600,171,8,6,8,6,1,6,10,6,9,15,4,22-09-2022 04:50,Stella Capriasca 1979,2341000,,https://www87.hattrick.org/Club/Players/Player.aspx?playerId=434674871
8,Türkiye,Samim Harika,Técnico,,,29,38,38830,10760,135,8,7,5,6,1,6,6,4,10,13,8,22-09-2022 04:53,,2500000,,https://www87.hattrick.org/Club/Players/Player.aspx?playerId=440450777
9,Suomi,Eevertti Torkell,Imprevisible,,,29,13,122860,22810,11,8,4,7,6,1,3,4,8,12,15,5,22-09-2022 04:54,,5896000,,https://www87.hattrick.org/Club/Players/Player.aspx?playerId=441475816
