,Nacionalidad,Nombre,Especialidad,Lesiones ,Amonestaciones,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Límite,Máxima oferta,Ofrecer,Unnamed: 24,link
0,Polonia,Kazimierz Skobeyko,,,,33,4,8020,9140,165,9,5,3,5,1,5,3,1,8,14,5,11-09-2022 07:16,,950000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=433152072
1,Polonia,Robert Grabicki,,,,31,90,121400,20980,19,10,4,6,6,1,3,14,8,10,14,4,11-09-2022 07:17,,3900000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=434821046
2,Eslovaquia,Tibor Matejčík,Rápido,,,35,38,12330,8650,228,13,7,2,6,0,4,14,9,11,13,9,11-09-2022 07:24,,4500000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=425564754
3,Argentina,Oded Abuhatzera,Técnico,,1.0,32,16,53290,9860,9,11,2,5,6,1,4,5,11,14,13,2,11-09-2022 07:25,,3000000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=433832829
4,Azerbaiyán,Nail Məhərrəmov,Cabeceador,,,34,44,40190,18870,3,13,6,5,7,1,5,16,3,10,15,3,11-09-2022 07:25,,3900000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=427796673
5,Liechtenstein,Rafael Andreoli,Técnico,,,34,41,44670,16830,60,11,4,7,5,1,4,15,5,13,14,5,11-09-2022 07:28,,5500000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=428109867
6,Bulgaria,Atanas Nedelchev,,,,30,61,28520,10250,156,8,5,6,7,1,4,7,3,8,13,5,11-09-2022 07:30,,1800000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=437582049
7,Lituania,Algis Vaitulevičius,,,1.0,27,73,203800,18530,45,7,3,7,6,1,4,7,10,14,14,5,11-09-2022 07:34,,6500000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=443786663
8,Polonia,Oskar Drągal,,,,31,96,54820,20800,0,8,1,7,6,1,5,6,4,9,15,1,11-09-2022 07:34,,2750000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=434617141
9,Bélgica,Jean-Thomas Dewaelheyns,,,,34,11,32890,14720,3,13,5,7,7,1,3,12,3,12,16,15,11-09-2022 07:35,,3850000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=428313031
10,Holanda,Wesley Brauwers,Cabeceador,,,34,81,20850,11480,3,13,3,4,6,0,4,14,4,13,13,4,11-09-2022 07:36,,2400000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=426882142
11,Croacia,Vlaho Ninčević,,,,36,101,22350,6470,3,17,5,5,5,0,1,14,0,14,13,3,11-09-2022 07:43,,1950000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=420133929
12,Grecia,Vaggelis Grillakis,Cabeceador,,,32,45,59270,14670,52,9,2,7,5,1,3,11,2,12,15,3,11-09-2022 07:44,,2850000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=435328953
13,Irlanda,Tobian Sheehan,,,,32,18,69440,19250,230,7,2,6,6,1,3,3,11,12,16,2,11-09-2022 07:51,,5222222,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=435462638
