,Nacionalidad,Nombre,Especialidad,Lesiones ,Amonestaciones,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Límite,Máxima oferta,Ofrecer,Unnamed: 24,link
0,Eesti,Vitaliy Sarin,,,1.0,27,48,168290,21230,16,7,7,6,7,1,3,14,8,14,4,1,30-08-2022 20:56,Geosignal F.C.,3522000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=445569047
1,Schweiz,Marlon Otzenberger,,,,27,55,17920,7330,37,4,2,3,6,1,7,12,3,3,6,2,30-08-2022 23:51,,500000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=448320857
2,România,Horaţiu Lucuţă,,,,28,50,176050,14790,6,7,5,5,7,1,9,13,13,13,3,5,31-08-2022 00:52,Malayos São Tomé,4300000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=442184137
3,Oceania,Ant Brunt,Técnico,,,27,46,152110,26890,160,6,4,7,7,1,8,15,2,11,4,4,31-08-2022 01:51,The hungry werewolves,4000000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=444701418
4,Bangladesh,Ashraf Haque,,,,28,104,140010,22510,52,7,4,7,9,1,15,12,4,6,4,3,31-08-2022 02:20,,3400000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=442676389
5,Côte d’Ivoire,Ange Zebro,,,,27,67,171540,28780,34,8,3,6,6,1,14,15,3,4,3,1,31-08-2022 03:32,,5210000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=443698482
6,Sverige,Tomas Vinterlund,,,,28,73,158120,18030,176,8,4,5,8,1,4,13,15,10,7,4,31-08-2022 04:07,,5000000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=441559531
7,Suomi,Jerkko Kneckt,,,,28,96,175270,13990,173,8,4,7,8,1,3,13,14,10,9,3,31-08-2022 04:08,,5000000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=441227800
8,Österreich,Peter Berthold,,,1.0,28,10,55880,21100,40,5,3,8,7,1,5,14,7,4,5,8,31-08-2022 04:37,Mison Pallo,993000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=442845929
9,Deutschland,Volker Heimann,,,,27,102,73850,23310,37,6,6,7,7,1,5,15,3,8,3,6,31-08-2022 04:52,,2400000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=449968609
10,Nederland,Gyde Zaalberg,Potente,,,28,81,103770,11430,120,8,3,6,6,1,4,12,8,10,12,9,31-08-2022 04:59,,4750000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=443384840
11,Italia,Eddo Lanza,,,1.0,28,51,46700,20780,50,4,2,5,8,1,4,15,3,5,5,4,31-08-2022 05:01,,1700000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=443320322
12,Österreich,Thomas Sedlmayr,Cabeceador,,1.0,28,19,56910,17630,24,6,5,6,8,1,6,14,5,4,8,9,31-08-2022 05:03,,2200000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=443064623
13,Norge,Dag Andresen,,,,27,64,185850,17690,113,7,4,6,7,1,10,14,8,13,6,3,31-08-2022 05:11,,6500000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=444821526
14,Italia,Massimiliano Cataldo,,,,27,26,31320,19290,21,3,3,4,6,1,4,14,3,2,3,5,31-08-2022 05:23,,1100000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=448705027
15,España,Diego Tortolero,,,,28,103,74240,15350,1,7,5,6,7,1,4,14,6,9,9,1,31-08-2022 05:26,,1500000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=442557347
16,Nederland,Aron Friperson,,,,27,60,191290,34060,164,8,4,5,7,1,3,13,5,7,15,17,31-08-2022 05:30,,5700000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=443791243
17,Suomi,Jesse Pesonen,,,,27,111,144130,9610,36,7,5,7,9,1,12,12,9,9,8,11,31-08-2022 05:34,,9300250,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=443835398
18,Chile,Julius Ursprunger,,,,27,110,221150,18930,67,6,5,5,7,1,14,14,12,9,3,1,31-08-2022 05:41,,8450000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=442934003
