,Nacionalidad,Nombre,Especialidad,Lesiones ,Amonestaciones,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Límite,Máxima oferta,Ofrecer,Unnamed: 24,link
0,England,Declan Stone,Rápido,,,34,77,13750,10330,28,11,4,5,7,1,3,3,7,13,14,17,09-10-2022 06:22,,1698000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=432080307
1,Belgium,Caspar Coppejans,Imprevisible,,1.0,27,73,71630,17230,166,8,4,7,7,1,3,7,5,8,14,1,09-10-2022 06:24,,3200000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=444652283
2,Venezuela,Nicola Mele,Rápido,,1.0,27,75,62370,17010,166,7,5,6,7,1,3,7,2,8,14,5,09-10-2022 06:24,Mirador C.F.,2601000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=444694516
3,Italia,Manolo Ruffert,,,1.0,27,7,118930,39330,160,5,3,5,8,1,2,2,3,8,16,1,09-10-2022 06:36,,3000000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=445532303
4,England,Alfie Stafford,,,,31,25,57980,11090,130,12,4,7,6,1,5,12,4,8,13,2,09-10-2022 06:44,,3852000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=436422246
5,Cabo Verde,Valdemar Pinto,Potente,,1.0,28,77,240290,34430,62,9,2,8,8,1,4,5,4,14,16,4,09-10-2022 06:47,bronsgroene boys,5000000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=442365660
6,France,Gehrd Wallgraben,Cabeceador,,,34,85,17570,8310,9,13,3,8,5,1,4,11,5,13,13,17,09-10-2022 06:52,,1699999,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=427493564
7,România,Cătălin Balaci,,,,29,58,62640,13610,7,7,4,5,6,1,5,4,3,12,13,3,09-10-2022 06:54,,2500000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=440408736
8,Oceania,Jeff Stanley,Cabeceador,,1.0,31,81,202710,23620,11,11,5,8,6,1,3,14,12,12,14,6,09-10-2022 07:03,,8200000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=435447625
9,Srbija,Aleksandar Vojnović,,,,31,37,33530,11720,36,4,7,6,6,1,5,7,1,10,14,6,09-10-2022 07:04,,2250000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=436795409
