,Nacionalidad,Nombre,Especialidad,Lesiones ,Amonestaciones,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Límite,Máxima oferta,Ofrecer,Unnamed: 24,link
0,Italia,Gabriele Vaudagna,Técnico,,,28,77,252450,31740,48,6,3,8,8,1,2,10,4,13,15,3,16-09-2022 15:16,,6666999,,https://www82.hattrick.org/Club/Players/Player.aspx?playerId=441672068
1,Alemania,Mathias Cornelius Dirksen,,,1.0,30,59,103940,21200,5,8,3,6,6,1,4,6,7,13,15,6,16-09-2022 15:18,,3250000,,https://www82.hattrick.org/Club/Players/Player.aspx?playerId=437493199
2,España,Rupert Fuster,Técnico,,2.0,35,71,17530,7480,21,13,4,5,4,0,4,13,2,11,13,19,16-09-2022 15:19,,1000000,,https://www82.hattrick.org/Club/Players/Player.aspx?playerId=425399246
3,Rumanía,Onoriu Viezure,Imprevisible,,,30,52,78150,26290,80,10,7,6,7,1,6,4,5,10,16,19,16-09-2022 15:24,,6950000,,https://www82.hattrick.org/Club/Players/Player.aspx?playerId=437581872
4,Polonia,Albert Roszyk,Imprevisible,,,30,22,98050,12470,7,8,5,7,6,1,3,12,3,12,13,5,16-09-2022 15:29,,3600000,,https://www82.hattrick.org/Club/Players/Player.aspx?playerId=438671102
5,Rumanía,Sorin Ridiche,Técnico,,1.0,35,111,8910,9300,8,13,3,8,4,1,1,6,8,5,15,2,16-09-2022 15:30,,580000,,https://www82.hattrick.org/Club/Players/Player.aspx?playerId=425795570
6,Rumanía,Tibor Mező,Potente,,3.0,31,62,19940,9340,40,9,3,8,7,1,2,6,5,8,13,10,16-09-2022 15:31,Saturday Evening Casual Hiking Club,1379040,,https://www82.hattrick.org/Club/Players/Player.aspx?playerId=435295570
7,Italia,Giorgio Mattia,Potente,,1.0,27,41,133290,31150,51,6,3,8,7,1,3,4,3,10,16,15,16-09-2022 15:35,Dukati,5750000,,https://www82.hattrick.org/Club/Players/Player.aspx?playerId=445295253
8,Rumanía,Traian-Radu Aparaschivei,Rápido,,,29,89,178920,17820,41,8,3,6,7,1,3,12,5,14,13,9,16-09-2022 15:35,,6500000,,https://www82.hattrick.org/Club/Players/Player.aspx?playerId=438836802
9,Montenegro,Branko Donković,,,1.0,27,82,245890,35520,5,10,4,7,7,1,5,12,4,10,16,11,16-09-2022 15:36,,8500000,,https://www82.hattrick.org/Club/Players/Player.aspx?playerId=443715977
