,Nacionalidad,Nombre,Especialidad,Lesiones ,Amonestaciones,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Límite,Máxima oferta,Ofrecer,Unnamed: 24,link
0,Portugal,Jerónimo José Félix,,,,30,100,44110,15190,214,9,6,6,6,14,13,1,1,0,0,5,08-09-2022 11:28,,4250000,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=436637999
1,Hungría,László Jakab,,,,29,105,24820,8730,148,5,3,4,5,13,5,2,2,1,2,4,08-09-2022 11:41,,3755500,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=438903993
2,Hungría,Alex Kovács,Imprevisible,,,29,15,52420,22690,183,6,5,6,7,15,14,6,2,5,5,14,08-09-2022 12:39,FC Fatigue,8123000,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=440604231
3,Alemania,Freddi Leyser,,,,32,45,26300,6600,151,9,4,7,6,13,9,4,2,3,0,3,08-09-2022 12:41,KaSıRGa GüCü SK,1800000,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=435843384
4,Holanda,Elroy van der Paar,,,,30,59,46650,32660,211,11,1,6,6,16,16,1,2,3,0,19,08-09-2022 13:04,,10295000,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=437035625
5,Bélgica,Hendrik Devarwaere,,,,27,107,34020,11990,145,8,3,8,7,13,12,5,2,1,1,2,08-09-2022 13:30,,4204240,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=443318163
6,Eslovaquia,Rudolf Šepela,,,,33,100,28290,6610,124,8,4,7,6,13,1,5,0,2,0,7,08-09-2022 13:41,AS Campi Flegrei,469000,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=428769223
7,Islas Feroe,Poul Heinesen,,,,36,107,13330,3410,89,12,1,5,4,13,9,1,0,4,1,14,08-09-2022 13:49,,1000000,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=420505259
8,Portugal,João Vidal David,,,,29,13,70030,25000,19,7,4,7,6,16,11,2,1,2,1,19,08-09-2022 14:09,Calduteros,5675000,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=441237106
9,Holanda,Youp Lustig,,,,31,46,39600,11460,140,10,6,8,6,14,12,4,1,3,0,8,08-09-2022 14:13,FC Mönchweg,3700000,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=436887740
10,Alemania,Wilfried Freusburg,,,,28,85,80140,32480,91,8,4,8,7,16,15,1,1,1,1,18,08-09-2022 14:14,FC Makanina,11111111,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=442612063
11,Hungría,András Szappanos,,,,33,37,40020,10290,22,9,4,7,5,15,4,4,1,2,3,14,08-09-2022 14:33,,3499999,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=430738685
