,Nacionalidad,Nombre,Especialidad,Lesiones ,Amonestaciones,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Límite,Máxima oferta,Ofrecer,Unnamed: 24,link
0,Bulgaria,Petar Yordanov,Cabeceador,,,31,63,65090,15810,71,8,5,7,8,1,4,6,10,8,15,4,16-09-2022 16:01,,2999999,,https://www82.hattrick.org/Club/Players/Player.aspx?playerId=437326210
1,Italia,Graziano Tommei,Técnico,,,28,33,242680,14750,72,8,3,8,7,1,11,12,8,12,13,2,16-09-2022 16:03,,5000000,,https://www82.hattrick.org/Club/Players/Player.aspx?playerId=442684799
2,Portugal,Renato Regedor,Imprevisible,,,29,29,258130,24720,41,7,3,8,6,1,4,12,2,15,15,6,16-09-2022 16:04,kk2019,5493001,,https://www82.hattrick.org/Club/Players/Player.aspx?playerId=440591886
3,Italia,Salvatore Garlassi,Cabeceador,,,28,22,253770,38120,5,6,4,6,7,1,3,15,4,13,13,4,16-09-2022 16:08,,7700000,,https://www82.hattrick.org/Club/Players/Player.aspx?playerId=442821445
4,Estonia,Joonas Kangilaski,,,,29,67,116270,21750,38,8,6,6,6,1,4,12,5,9,15,2,16-09-2022 16:09,,4650000,,https://www82.hattrick.org/Club/Players/Player.aspx?playerId=439385850
5,Italia,Romano Lolini,,,,29,22,183600,31690,12,9,4,7,7,1,4,15,5,3,14,8,16-09-2022 16:10,,3595000,,https://www82.hattrick.org/Club/Players/Player.aspx?playerId=443533073
6,España,Jaime Galán,,,1.0,31,62,116890,18040,8,11,6,6,6,1,3,11,3,13,14,13,16-09-2022 16:16,,3600000,,https://www82.hattrick.org/Club/Players/Player.aspx?playerId=435296659
7,Alemania,Uwe Fromhage,Rápido,,1.0,28,91,27620,8050,126,6,3,6,7,1,5,5,5,8,13,4,16-09-2022 16:16,,2500000,,https://www82.hattrick.org/Club/Players/Player.aspx?playerId=442465930
8,Suecia,Antoni Sojakka,,,,28,72,203340,35010,85,7,6,7,7,1,4,6,13,9,16,2,16-09-2022 16:17,,6000000,,https://www82.hattrick.org/Club/Players/Player.aspx?playerId=441742254
9,Alemania,Albert Neroberg,Cabeceador,,1.0,27,20,173870,23510,160,6,5,6,7,1,5,4,4,14,15,15,16-09-2022 16:18,RÂD NAN GALAD,5307000,,https://www82.hattrick.org/Club/Players/Player.aspx?playerId=445000725
10,Polonia,Przemysław Chomko,Rápido,,1.0,33,49,19980,15870,87,11,5,7,5,1,6,3,5,5,15,6,16-09-2022 16:20,Real Zabełcze,1275000,,https://www82.hattrick.org/Club/Players/Player.aspx?playerId=433944575
11,Bélgica,Gé Lavrijsen,,,,31,3,25640,12430,25,8,6,5,6,1,4,6,3,8,14,7,16-09-2022 16:21,,1499500,,https://www82.hattrick.org/Club/Players/Player.aspx?playerId=436373460
12,España,José María Sala O'Shea,,,1.0,29,54,85190,31320,92,6,6,5,7,1,6,6,9,9,16,4,16-09-2022 16:23,,4000000,,https://www82.hattrick.org/Club/Players/Player.aspx?playerId=440665299
13,Argentina,Pau Fierro,Potente,,,33,86,41550,15230,89,13,6,6,5,1,3,8,6,11,16,1,16-09-2022 16:28,Armin Kickers,1836000,,https://www82.hattrick.org/Club/Players/Player.aspx?playerId=432303701
14,Rumanía,Cristian Smău,,,,31,65,80450,22400,0,9,2,7,6,1,4,7,6,12,15,3,16-09-2022 16:30,,2999000,,https://www82.hattrick.org/Club/Players/Player.aspx?playerId=435351704
15,Suecia,Thord Magnusson,Técnico,,,31,93,337590,31960,7,11,3,7,8,1,5,15,3,15,15,3,16-09-2022 16:31,,5800000,,https://www82.hattrick.org/Club/Players/Player.aspx?playerId=434700402
16,Alemania,Mustafa Yeter,Técnico,,,33,91,32950,7980,85,10,4,8,7,1,4,10,6,11,13,3,16-09-2022 16:34,,1900000,,https://www82.hattrick.org/Club/Players/Player.aspx?playerId=428964246
17,Alemania,Malwin Wambsganß,,,1.0,34,48,16860,11000,203,13,2,7,5,1,2,11,1,9,15,10,16-09-2022 16:35,,2375050,,https://www82.hattrick.org/Club/Players/Player.aspx?playerId=427753750
18,Italia,Norberto Furgone,Rápido,,,34,27,54190,19280,54,12,6,7,7,1,3,12,10,12,16,12,16-09-2022 16:41,,6389000,,https://www82.hattrick.org/Club/Players/Player.aspx?playerId=428212983
19,Dinamarca,Casper Flejsborg,Potente,,2.0,32,53,140810,31460,194,8,2,7,6,1,5,15,5,9,16,3,16-09-2022 16:41,,7000000,,https://www82.hattrick.org/Club/Players/Player.aspx?playerId=435769315
