,Nacionalidad,Nombre,Especialidad,Lesiones ,Amonestaciones,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Límite,Máxima oferta,Ofrecer,Unnamed: 24,link
0,Andorra,Raphaël Faron,Técnico,,,29,73,77300,8580,110,6,5,5,7,1,6,11,3,11,13,7,11-09-2022 03:53,,4200000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=438984574
1,Polonia,Szymon Gorzkowski,Técnico,,1.0,27,76,258500,30260,94,8,3,6,7,1,6,14,3,9,16,7,11-09-2022 04:02,,8500000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=444754545
2,Polonia,Edward Rosół,Imprevisible,,,27,104,228320,22420,5,10,7,7,7,1,3,14,9,10,13,5,11-09-2022 04:03,Guia F.C.,5610000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=443380047
3,Eslovaquia,Albert Šimoňák,Técnico,,,31,14,139220,19440,35,9,4,5,7,1,6,12,4,15,13,17,11-09-2022 04:11,M10 FC,3018000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=435968113
4,Tailandia,Jakapan Tuntitanasup,Potente,,,27,54,94180,21710,9,7,6,6,8,1,3,8,4,8,15,12,11-09-2022 04:13,ST Albuquerque,3722000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=444308164
5,Inglaterra,Anton Rylance,Técnico,,2.0,32,53,245950,36970,30,13,4,7,8,1,3,16,5,16,13,11,11-09-2022 04:15,Kickers Arnum,5800000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=433203018
6,Suiza,Julien Simonneau,,,1.0,34,8,10020,11190,2,11,1,5,5,1,4,11,5,7,15,6,11-09-2022 04:15,,1500000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=432053734
7,Alemania,Curt Pröhl,,,,32,24,52830,18380,1,8,2,3,6,1,4,6,10,11,15,4,11-09-2022 04:16,,2500000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=434658116
8,Bolivia,Rodrigo Campuzano,,,,27,95,239240,21860,18,10,5,8,7,1,5,14,9,9,14,1,11-09-2022 04:22,,7000000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=443574826
9,Escocia,Malcolm Pemberton,Potente,,,30,52,67210,10830,20,7,4,7,8,1,3,9,5,11,13,3,11-09-2022 04:37,,3906000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=441674410
10,Irán,Amin Farnoush,Técnico,,1.0,32,8,178820,25670,4,8,7,7,6,1,5,14,3,16,15,4,11-09-2022 04:45,,6497500,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=434470324
11,Italia,Demetrio Salieri,,,1.0,27,55,23420,7670,7,4,3,7,7,1,3,3,3,4,13,2,11-09-2022 04:52,Club Tonser,1197480,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=457651894
12,Colombia,Carlos Hernán Dimaté,Cabeceador,,1.0,32,83,48070,10140,6,10,5,5,7,1,3,12,5,11,13,9,11-09-2022 04:57,,2999000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=432050343
13,República Checa,Vincent Sivok,,,1.0,27,62,269590,26100,4,8,4,7,7,1,4,3,15,10,15,3,11-09-2022 05:00,,10350000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=444496265
14,España,Alfonso Cruzado,,,,27,84,93060,23200,57,6,4,8,7,1,4,7,8,4,15,2,11-09-2022 05:06,,9500000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=444734177
15,Bélgica,Luigi Maria Merlini,,,,29,92,70380,27010,3,7,4,7,7,1,5,4,8,4,15,9,11-09-2022 05:09,,2999000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=442763729
16,Polonia,Rafał Szost,,,,27,32,88640,9650,29,6,4,6,7,1,6,3,11,11,13,3,11-09-2022 05:12,,4475000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=449299480
17,España,Èric Adzet,,,,31,14,49780,9480,3,9,3,7,7,1,5,7,3,11,13,7,11-09-2022 05:14,,2740000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=435950047
18,Trinidad y Tobago,Ryan Myrie,,,1.0,31,102,96090,22500,113,10,1,6,6,1,2,5,5,13,15,2,11-09-2022 05:20,,2875000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=434527996
19,Bosnia y Herzegovina,Mehmed Pobrklić,Rápido,,,30,2,81710,24850,40,8,2,5,7,1,3,5,7,11,16,2,11-09-2022 05:22,,4125000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=438904509
20,Holanda,Mike Aikema,Potente,,,30,67,192320,28530,171,8,4,8,7,1,5,16,3,8,14,15,11-09-2022 05:32,Shadow of Cat,7000000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=436956751
21,Holanda,Dominicus Dieleman,Técnico,,,29,62,256080,19670,147,11,7,6,6,1,7,13,13,13,13,4,11-09-2022 05:33,,9995000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=439103028
22,Macedonia del Norte,Shpresor Rapushi,Potente,,,28,110,230030,34050,90,15,3,6,6,1,8,8,13,8,16,7,11-09-2022 05:33,,9995000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=441211461
23,Italia,Gian Maria Goina,,,,36,40,11300,7070,6,13,6,6,4,1,5,4,2,10,16,9,11-09-2022 05:33,Lokomotive Baden,692580,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=422261255
24,Dinamarca,Erik Therkelsen,,,2.0,30,16,59550,25950,40,8,2,5,6,1,6,7,10,10,16,7,11-09-2022 05:41,,3800000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=437939546
