,Nacionalidad,Nombre,Especialidad,Lesiones ,Amonestaciones,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Límite,Máxima oferta,Ofrecer,Unnamed: 24,link
0,Srbija,Strahinja Ikodinović,Rápido,,,35,79,21140,8450,75,16,7,4,6,1,3,9,14,9,14,12,05-10-2022 20:03,,6999900,,https://www85.hattrick.org/Club/Players/Player.aspx?playerId=425432325
1,France,Gehrd Wallgraben,Cabeceador,,,34,82,16970,8310,8,13,3,8,5,1,4,11,5,13,13,17,05-10-2022 20:10,,1800000,,https://www85.hattrick.org/Club/Players/Player.aspx?playerId=427493564
2,Bosna i Hercegovina,Ognjen Bajić,,,1.0,31,109,49580,27270,11,9,1,7,6,1,4,3,5,2,16,1,05-10-2022 20:19,Kapan za marsianci,1020000,,https://www85.hattrick.org/Club/Players/Player.aspx?playerId=436647325
3,República Dominicana,Néstor Barradas,Rápido,,,29,82,328380,27400,98,14,6,7,7,1,4,14,7,15,15,9,05-10-2022 20:27,,10000000,,https://www85.hattrick.org/Club/Players/Player.aspx?playerId=439372966
4,Schweiz,Bernd Bachtold,,,1.0,30,61,45870,9510,47,8,1,7,7,1,5,6,4,10,13,10,05-10-2022 20:39,,2500000,,https://www85.hattrick.org/Club/Players/Player.aspx?playerId=438721753
5,Ireland,Brian Johnson,Rápido,,,36,33,19260,5720,17,21,7,7,4,1,3,11,8,11,15,19,05-10-2022 20:52,,10950000,,https://www85.hattrick.org/Club/Players/Player.aspx?playerId=422904309
6,Venezuela,Juan Moncayo,Técnico,,,36,85,2750,3570,12,11,3,5,4,1,4,4,3,9,13,9,05-10-2022 20:57,Siesingutejungs,115000,,https://www85.hattrick.org/Club/Players/Player.aspx?playerId=422274815
7,Malaysia,Ramesh Karthikeyan,,,,35,9,11560,7650,11,12,6,7,5,1,4,4,5,10,15,7,05-10-2022 21:09,Camilla e Numa,900000,,https://www85.hattrick.org/Club/Players/Player.aspx?playerId=429514588
8,Portugal,António Bento Verónica,,,2.0,30,58,55890,34250,75,9,4,2,7,1,6,4,7,10,16,11,05-10-2022 21:33,,5000000,,https://www85.hattrick.org/Club/Players/Player.aspx?playerId=437726252
9,Al Yaman,Yunis Al-Abyadh,Rápido,,,27,85,500550,30500,171,11,4,7,7,1,3,13,15,9,15,1,05-10-2022 22:00,SweFin FF,9491000,,https://www85.hattrick.org/Club/Players/Player.aspx?playerId=444115662
10,Panamá,Andy Domador,Cabeceador,,,27,70,394050,30160,168,12,4,6,7,1,4,13,15,9,15,3,05-10-2022 22:00,Royal Lions Grimbergen,13586000,,https://www85.hattrick.org/Club/Players/Player.aspx?playerId=444454842
11,Panamá,Gerardo Martínez,Potente,,2.0,27,46,373680,29290,166,9,2,7,7,1,2,12,15,8,15,4,05-10-2022 22:00,Dinges FC,8083000,,https://www85.hattrick.org/Club/Players/Player.aspx?playerId=444694278
12,Liechtenstein,Rafael Andreoli,Técnico,,,34,66,37880,16830,64,11,4,5,5,1,4,15,5,13,14,5,05-10-2022 22:33,,5500000,,https://www85.hattrick.org/Club/Players/Player.aspx?playerId=428109867
13,Argentina,Francisco Ángel Franco,Rápido,,,36,82,2290,2570,6,12,4,5,5,1,3,1,6,1,13,3,05-10-2022 22:45,Rafe United,46000,,https://www85.hattrick.org/Club/Players/Player.aspx?playerId=427778154
14,España,Ricardo Ardisana,Potente,,,33,44,8830,9870,0,6,2,5,5,1,5,4,4,4,14,11,05-10-2022 23:12,,1200000,,https://www85.hattrick.org/Club/Players/Player.aspx?playerId=435444401
15,Rossiya,Valentin Ekaterinchev,,,1.0,27,13,250070,34880,59,6,6,5,7,1,3,3,12,14,16,4,05-10-2022 23:23,,9375000,,https://www85.hattrick.org/Club/Players/Player.aspx?playerId=445567484
16,USA,Tanak Nikam,Rápido,,,32,35,89470,9850,5,12,2,7,7,1,7,11,10,13,13,8,05-10-2022 23:27,Mulosanto F.C.,2654000,,https://www85.hattrick.org/Club/Players/Player.aspx?playerId=433890876
17,Kampuchea,Sarey Meas,Cabeceador,,,34,70,22920,7120,13,12,4,8,7,1,5,5,11,13,13,9,05-10-2022 23:30,,1500000,,https://www85.hattrick.org/Club/Players/Player.aspx?playerId=428027168
18,România,Vincenţiu Birceanu,Imprevisible,,,27,16,37570,9710,10,8,3,6,7,1,6,4,3,7,13,1,05-10-2022 23:54,PABIR,2100000,,https://www85.hattrick.org/Club/Players/Player.aspx?playerId=445494845
19,Israel,Ezra Berditchev,Imprevisible,,1.0,28,65,90520,17850,10,7,4,7,7,1,2,6,10,9,14,1,05-10-2022 23:56,,4300000,,https://www85.hattrick.org/Club/Players/Player.aspx?playerId=442534865
20,România,Cristian Pelmuş,Rápido,,,33,65,65170,20750,78,12,2,6,6,1,3,14,8,8,16,9,05-10-2022 23:56,,4599000,,https://www85.hattrick.org/Club/Players/Player.aspx?playerId=431245483
21,Nederland,Rendert de Zwart,Técnico,,,31,71,139890,21720,11,10,6,5,6,1,3,11,6,16,14,2,06-10-2022 00:08,,6500000,,https://www85.hattrick.org/Club/Players/Player.aspx?playerId=435661124
22,Italia,Girolamo Grilli,Imprevisible,,,27,99,105240,28350,156,7,5,7,7,1,4,5,5,8,15,6,06-10-2022 01:00,Thousand Sentries,2536000,,https://www85.hattrick.org/Club/Players/Player.aspx?playerId=446127134
23,Deutschland,Hakon Gehlhaar,,,2.0,27,88,146570,13570,25,5,4,8,7,1,5,9,8,12,13,21,06-10-2022 01:00,,6600000,,https://www85.hattrick.org/Club/Players/Player.aspx?playerId=443886446
24,Deutschland,Berti Reden-Lütcken,Cabeceador,,1.0,34,75,11160,8840,14,10,3,5,6,1,3,5,3,12,14,19,06-10-2022 01:05,,1600000,,https://www85.hattrick.org/Club/Players/Player.aspx?playerId=427894958
