,Nacionalidad,Nombre,Especialidad,Lesiones ,Amonestaciones,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Límite,Máxima oferta,Ofrecer,Unnamed: 24,link
0,Pilipinas,Baltazar de Guzman,,,,26,40,205810,35010,68,7,4,6,7,1,5,12,5,8,16,5,28-09-2022 05:55,,9300000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=447336901
1,Italia,Ermes Sottocornola,,,,25,35,53870,21200,8,4,4,6,7,1,4,4,4,3,15,3,28-09-2022 05:56,,3350000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=450335134
2,Norge,Rune Strømmen,,,1.0,21,96,78900,15390,23,2,5,7,7,1,2,5,6,8,15,5,28-09-2022 06:11,,6000000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=460473161
3,Hayastan,Aren Ohanyants,Imprevisible,,,22,11,76340,20900,77,4,3,7,8,1,4,4,5,8,15,5,28-09-2022 06:13,,5200000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=459189382
4,Lietuva,Igorius Avižinis,Imprevisible,,2.0,24,57,92910,10610,47,4,4,6,8,1,3,3,11,9,14,2,28-09-2022 06:14,,7500000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=454291774
5,China,孔 (Kong)  信隆 (Xinlong),Técnico,,2.0,25,4,113710,21380,62,5,7,5,8,1,5,10,8,8,15,1,28-09-2022 06:17,,8000000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=451278901
6,Indonesia,Doyok Anwar,Potente,,2.0,21,71,70860,13630,18,3,6,7,7,1,4,10,2,6,14,1,28-09-2022 06:19,,6681000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=460168793
7,Argentina,Sebastián Martín Nahuelpan,,,,22,85,143360,30510,88,5,3,7,8,2,3,5,5,7,16,1,28-09-2022 06:27,,6950000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=457059075
8,Danmark,Sebastian Alsted,,,1.0,24,81,321090,33490,43,6,3,7,8,1,7,6,3,14,16,2,28-09-2022 06:27,,8450000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=452022286
9,Brasil,Ronaldo Romeiro,,,1.0,22,107,68250,9310,88,5,4,5,7,1,3,11,3,6,14,4,28-09-2022 06:34,,6000000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=456905886
10,Danmark,Pelle Stenak,Potente,,1.0,22,36,81380,21050,83,5,6,7,7,2,2,7,5,3,15,1,28-09-2022 06:34,,4500000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=458630687
11,Türkiye,Teslim Usak,,,1.0,25,47,81640,15930,6,4,4,5,7,1,3,4,2,12,14,3,28-09-2022 06:37,,4600000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=450923348
12,Chile,Paulino Abarca,,,,24,31,102680,26780,113,4,2,7,7,1,4,4,7,6,15,3,28-09-2022 06:39,AC ASYSTOLE,2750000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=453450999
13,Chile,Carlos José Villablanca ,Cabeceador,,,23,31,109280,19410,71,5,3,5,8,1,4,2,5,12,15,4,28-09-2022 06:41,Juventus Kriens,4271760,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=456130963
14,Italia,Davide Luigi Stefanini,,,3.0,23,30,80450,21560,83,4,5,7,8,1,2,3,3,7,15,3,28-09-2022 07:00,,4300000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=458267741
