,Nacionalidad,Nombre,Especialidad,Lesiones ,Amonestaciones,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Límite,Máxima oferta,Ofrecer,Unnamed: 24,link
0,República Checa,Edward Galicki,,,,21,69,29300,5430,61,2,3,6,6,1,6,3,4,6,13,5,02-10-2022 12:39,,2500000,,https://www82.hattrick.org/Club/Players/Player.aspx?playerId=461642483
1,Letonia,Alexey Shigorin,,,,24,65,98880,25010,41,3,5,8,7,1,4,3,5,6,16,3,02-10-2022 12:40,FC bonda mwen,3900000,,https://www82.hattrick.org/Club/Players/Player.aspx?playerId=456167998
2,Francia,Mouss Keny,Técnico,,,21,77,60530,5210,8,4,5,7,7,1,3,8,5,10,13,3,02-10-2022 12:45,,5850000,,https://www82.hattrick.org/Club/Players/Player.aspx?playerId=460501967
3,China,邰 (Tai) 秉山 (Bingshan),Imprevisible,,,26,41,242810,30620,56,7,6,7,7,1,5,9,5,13,15,2,02-10-2022 12:52,,9500000,,https://www82.hattrick.org/Club/Players/Player.aspx?playerId=447451021
4,Rumanía,Flavian Safta,Imprevisible,,,26,49,171070,26230,113,5,3,6,7,1,4,6,4,13,15,5,02-10-2022 12:54,,5750000,,https://www82.hattrick.org/Club/Players/Player.aspx?playerId=447625729
5,Turquía,Güven Babayiğit,Cabeceador,,1.0,25,28,225840,33460,90,6,3,7,7,1,6,15,6,8,13,1,02-10-2022 12:57,Uçan Kafacılar FC,8600000,,https://www82.hattrick.org/Club/Players/Player.aspx?playerId=450302483
6,Eslovenia,Rok Mastnak,Técnico,,,21,63,78890,14790,69,3,4,8,8,1,3,7,4,6,15,4,02-10-2022 12:58,,5800000,,https://www82.hattrick.org/Club/Players/Player.aspx?playerId=460621128
7,Holanda,Dex de Buijzer,Imprevisible,,3.0,23,57,129840,21360,103,5,5,6,8,1,3,11,3,8,15,4,02-10-2022 13:04,De Glijers,8125000,,https://www82.hattrick.org/Club/Players/Player.aspx?playerId=455661932
8,Polonia,Paweł Misiorowski,Rápido,,,21,24,94260,10850,28,4,3,8,7,1,4,4,14,2,13,3,02-10-2022 13:04,F.C. PAPUS ALEGRUS,7242000,,https://www82.hattrick.org/Club/Players/Player.aspx?playerId=460859881
9,Hungría,István Angyal,Rápido,,1.0,25,83,249040,24660,99,5,5,7,7,1,2,9,14,7,15,1,02-10-2022 13:06,Boerendrecht,9574000,,https://www82.hattrick.org/Club/Players/Player.aspx?playerId=448962226
10,Hungría,Vince Balázs,,,,24,6,129890,22200,32,4,5,7,8,1,5,3,4,12,15,4,02-10-2022 13:07,,5490000,,https://www82.hattrick.org/Club/Players/Player.aspx?playerId=454466383
11,Holanda,Tom Noomen,Potente,,1.0,22,98,145090,23860,14,5,4,5,8,1,3,10,8,8,15,1,02-10-2022 13:09,,11990000,,https://www82.hattrick.org/Club/Players/Player.aspx?playerId=456944030
12,Surinam,Alfred Amirudin,Rápido,,,25,13,64380,16930,44,5,5,6,9,1,3,4,3,8,14,2,02-10-2022 13:14,FC Lokomotíva Zvolen,3588360,,https://www82.hattrick.org/Club/Players/Player.aspx?playerId=451173339
13,Uzbekistán,Mohammad Saeid Hedayati,Rápido,,,26,33,251870,19830,16,14,3,8,7,1,5,13,9,11,14,5,02-10-2022 13:16,,12000000,,https://www82.hattrick.org/Club/Players/Player.aspx?playerId=447523352
14,Rumanía,Mihai Vâlcu,Cabeceador,,1.0,25,17,199200,27230,49,7,5,5,7,1,7,6,4,14,15,2,02-10-2022 13:17,,6750000,,https://www82.hattrick.org/Club/Players/Player.aspx?playerId=450767174
15,Francia,Pierre Mouraud,Técnico,,2.0,24,83,105210,27630,7,4,6,7,8,1,4,4,4,8,16,4,02-10-2022 13:18,,5175000,,https://www82.hattrick.org/Club/Players/Player.aspx?playerId=452655726
16,Austria,August Trinkl,Imprevisible,,,26,100,73650,15170,28,6,4,3,7,1,5,11,7,8,14,8,02-10-2022 13:21,,6654321,,https://www82.hattrick.org/Club/Players/Player.aspx?playerId=445864610
17,Bélgica,Alexis Keraudren,Imprevisible,,1.0,22,34,25630,7930,9,3,1,5,8,1,3,3,3,7,13,5,02-10-2022 13:22,,3000000,,https://www82.hattrick.org/Club/Players/Player.aspx?playerId=460860429
18,Francia,Adam Bouaziz,,,1.0,24,14,164590,16870,30,5,3,8,8,1,4,4,5,14,14,1,02-10-2022 13:25,Zorja Luhansk,5000000,,https://www82.hattrick.org/Club/Players/Player.aspx?playerId=454195816
19,Alemania,Ingo Queck,Rápido,,,22,72,51140,12370,39,3,4,6,7,1,5,5,3,9,13,3,02-10-2022 13:26,FNM FC,3700000,,https://www82.hattrick.org/Club/Players/Player.aspx?playerId=458476160
20,Italia,Tiziano Di Brandimarte,Potente,,1.0,21,26,94070,24960,64,3,5,7,8,1,2,5,8,5,15,2,02-10-2022 13:26,Mengvoeders United,6630000,,https://www82.hattrick.org/Club/Players/Player.aspx?playerId=460861971
21,Holanda,Serge Bosgoed,Cabeceador,,1.0,24,83,116550,21960,9,4,4,5,8,1,3,2,4,12,15,2,02-10-2022 13:26,,6000000,,https://www82.hattrick.org/Club/Players/Player.aspx?playerId=452294428
22,Finlandia,Antti Timosaari,,,1.0,25,109,108700,21810,37,5,2,4,8,1,5,5,3,12,15,3,02-10-2022 13:28,,5750000,,https://www82.hattrick.org/Club/Players/Player.aspx?playerId=448563778
23,España,Mauro Nájera,,,,21,52,37900,8930,28,4,5,7,8,1,8,4,3,5,13,1,02-10-2022 13:29,,3750000,,https://www82.hattrick.org/Club/Players/Player.aspx?playerId=460835533
24,España,Carles Maria Prunes,,,1.0,21,110,35690,7990,31,4,2,6,8,1,3,6,6,7,13,5,02-10-2022 13:30,,4250000,,https://www82.hattrick.org/Club/Players/Player.aspx?playerId=459439337
