,Nacionalidad,Nombre,Especialidad,Lesiones ,Amonestaciones,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Límite,Máxima oferta,Ofrecer,Unnamed: 24,link
0,República Checa,Dušan Sochůrek,Cabeceador,,1.0,26,104,164790,15570,68,7,4,8,7,1,5,3,3,14,14,4,30-09-2022 15:03,Gondvanos,4715460,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=433692503
1,Suiza,Edi Gramm,Rápido,,,26,80,228430,33480,68,6,4,5,7,1,5,4,3,15,16,6,30-09-2022 15:04,,7725000,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=438069388
2,Alemania,Jeremy Segl,Potente,,1.0,22,2,102290,26630,78,4,4,7,7,1,3,5,7,8,15,2,30-09-2022 15:06,CSD Unioport,6607000,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=438117503
3,Uruguay,Jhonnix Brachi,,,1.0,21,52,54220,5850,36,3,1,8,8,1,5,2,5,10,13,1,30-09-2022 15:07,,3650000,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=425971792
4,Brasil,Ulisses Abel Fontes,Influyente,,,26,64,200800,24540,26,7,4,5,7,1,4,4,2,15,15,6,30-09-2022 15:08,,5000000,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=433359155
5,Brasil,Eduardo José Lobo Gama,Cabeceador,,2.0,23,47,105080,29750,47,4,4,7,7,1,4,3,6,4,16,3,30-09-2022 15:09,AutoWay,4950000,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=420180150
6,Alemania,Gebbo Stimmer,,,,24,59,78680,10550,13,5,5,6,7,1,4,3,3,12,13,15,30-09-2022 15:12,,4400000,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=440810087
7,Polonia,Achacy Krogulec,,,,25,22,106640,21970,43,4,3,7,8,1,4,3,3,11,15,3,30-09-2022 15:14,,4380500,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=442212244
8,Argentina,Axel Leyendeker,,,,26,53,210870,28950,74,6,3,6,7,2,6,4,13,6,16,5,30-09-2022 15:15,,7100000,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=444932524
9,Austria,Marijan Braun,Cabeceador,,1.0,24,48,218680,25040,69,7,4,7,8,1,5,15,6,6,14,3,30-09-2022 15:18,,10000000,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=441559531
10,República Dominicana,Leandro Colina,Imprevisible,,,25,54,145220,23120,23,5,1,8,8,1,4,4,3,12,15,2,30-09-2022 15:19,,5200000,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=433881039
11,Irlanda,James Mac Aodhagáin,,,1.0,23,66,46720,8910,88,4,6,6,7,1,3,5,5,7,14,6,30-09-2022 15:27,Cliftonville,3121001,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=443650676
12,Bélgica,Lars Brijs,,,,23,111,89200,32860,21,4,5,5,8,1,3,5,4,6,16,2,30-09-2022 15:30,Nune fc,4190000,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=426413367
13,Finlandia,Bengt Ekqvist,Potente,,,26,85,208080,17790,76,4,5,6,7,1,4,11,4,15,13,3,30-09-2022 15:33,,7000000,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=441538078
14,España,Iñaki Bizkaitxipi,,,,25,106,27980,8850,6,4,5,7,7,1,4,3,3,5,13,5,30-09-2022 15:36,,2000000,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=434741642
15,Serbia,Máté Bujtor,Técnico,,1.0,23,22,119340,12810,99,5,3,8,7,1,5,13,4,7,13,6,30-09-2022 15:37,,7800000,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=427991122
16,Alemania,Christian Freyberger,,,1.0,24,104,131350,23000,7,4,2,4,7,2,2,5,2,13,15,3,30-09-2022 15:37,,5999950,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=433478889
17,Portugal,Tiago Freire,Potente,,1.0,23,96,119640,14470,22,3,5,6,8,1,4,4,4,11,15,2,30-09-2022 15:37,,5350000,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=430899331
18,España,Lamberto Brei,,,,22,96,43570,8590,11,4,4,6,8,1,5,2,4,6,14,6,30-09-2022 15:38,,3233000,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=444515640
19,Brasil,Gérson Machado Oliveira,Técnico,,,23,110,109230,21280,45,4,2,6,8,1,3,4,2,9,16,3,30-09-2022 15:44,blocman,5500000,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=433109640
20,Canadá,Kim Bjørnstad,,,1.0,23,30,45720,13890,25,4,5,7,8,1,4,5,2,4,14,4,30-09-2022 15:45,,2650000,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=444483919
21,Alemania,Thorsten Mackenbach,,,,23,43,91790,21870,16,4,4,5,7,1,6,3,4,10,15,3,30-09-2022 15:49,,4800000,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=422927423
22,Turquía,Oğuz Aleda,,,,25,22,28950,7650,10,5,3,5,7,1,3,5,7,3,13,4,30-09-2022 15:52,,2340000,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=430813320
23,Portugal,Valdemar Fernandes,Imprevisible,,,23,15,112350,22900,25,5,4,6,7,1,3,5,3,11,15,1,30-09-2022 16:03,,9182745,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=438758581
24,Italia,Massimiliano Rosolino,,,2.0,24,66,126900,16290,81,4,3,4,8,1,5,14,3,7,13,1,30-09-2022 16:03,,6750000,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=436032596
