,Nacionalidad,Nombre,Especialidad,Lesiones ,Amonestaciones,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Límite,Máxima oferta,Ofrecer,Unnamed: 24,link
0,Italia,Corrado Caggiula,Cabeceador,,1.0,24,4,11080,3250,43,4,2,6,8,1,5,11,4,4,1,10,30-08-2022 04:32,AFC Tash Back,255000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=463539068
1,Italia,Bruno Memonti,Rápido,,1.0,22,29,13500,2690,43,3,6,7,8,1,4,11,3,6,2,10,30-08-2022 04:33,Ikurin Vire FC,703800,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=463539069
2,Ukraina,Vasiliy Ruchyev,,,,25,29,3410,730,22,4,5,5,8,1,6,8,2,6,2,5,30-08-2022 04:37,White Star Schoten Legacy,30000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=467664735
3,Ecuador,Javier Alvarado,,,,23,99,24920,3870,6,3,6,7,7,1,5,11,7,6,7,8,30-08-2022 04:38,,1000000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=457692701
4,Magyarország,János Moka,Técnico,,,26,25,3160,710,51,3,7,6,7,1,5,8,3,3,5,3,30-08-2022 04:41,pingu,80000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=452893130
5,Sverige,Patrik Tryggvesson,,,,25,48,17870,2270,121,6,1,5,7,1,3,10,5,9,5,2,30-08-2022 04:41,,1800000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=449216256
6,Italia,Fiorindo Della Giovanna,,,,26,6,6790,1970,22,4,3,6,8,1,3,10,3,4,4,5,30-08-2022 04:45,,45000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=467684139
7,Polska,Andrzej Joniec,,,,25,14,12580,1670,67,5,4,5,9,2,5,9,5,3,9,3,30-08-2022 04:54,,700000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=454757043
8,Portugal,José Lúcio Marques,,,,23,71,33870,3450,20,3,4,7,7,1,11,9,4,6,6,5,30-08-2022 05:09,Heinink United,1900000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=455860365
9,Danmark,Jonny Freksen,,,,23,42,28770,2370,17,4,6,7,7,1,10,10,3,8,3,1,30-08-2022 05:09,,2499999,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=455263046
10,Sverige,Lennart Zetterner,Rápido,,,22,59,48090,4130,88,3,3,5,7,1,11,10,6,10,3,1,30-08-2022 05:13,Fortuna Spaubeek,4590000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=457004995
11,Ukraina,Hlib Lazhayko,Rápido,,,22,28,26770,2790,36,3,7,7,8,1,3,10,3,4,11,2,30-08-2022 05:17,,4000000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=459759345
12,Portugal,Moisés Moreira,Técnico,,,24,82,5040,910,22,4,3,4,8,1,6,10,2,4,2,4,30-08-2022 05:19,,200000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=468024207
13,Slovenija,Žan Gril,Rápido,,,22,91,3500,830,76,1,5,2,8,1,2,9,4,8,3,6,30-08-2022 05:20,,299000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=459222442
14,España,Alfredo Pinos,Cabeceador,,1.0,22,100,20660,1690,29,2,4,6,7,1,5,8,7,8,10,1,30-08-2022 05:23,FCBarakuda,2185000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=458184493
15,Schweiz,Paolino Eler,,,,26,86,122240,6090,6,6,4,8,7,2,6,11,10,11,11,6,30-08-2022 05:28,,4725000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=445470629
16,Polska,Lech Jaś,Imprevisible,,,22,88,1670,490,66,1,4,6,6,1,5,8,4,3,1,4,30-08-2022 05:30,,2000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=460507241
17,England,Isaac Mainwaring,,,,23,37,5070,1270,22,3,5,4,8,1,5,10,5,5,2,5,30-08-2022 05:40,,124998,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=467759377
18,Hellas,Makis Iatridis,Cabeceador,,,27,9,1880,670,34,3,1,6,5,1,3,8,3,5,4,5,30-08-2022 05:43,,10000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=464990327
19,Suomi,Niklas Vehmaskangas,,,,25,62,5690,890,22,4,1,7,7,1,4,10,3,5,4,4,30-08-2022 05:49,,130000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=468141727
20,Deutschland,Tobias Dircks,,,,24,22,4290,1390,22,2,3,5,7,1,3,9,5,5,3,2,30-08-2022 05:51,,80000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=457022815
21,Nederland,Dinand Farenhout,Potente,,,27,49,46170,5390,15,7,5,6,8,1,4,11,9,10,3,7,30-08-2022 05:51,MAGICDIDI,2000000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=447098533
22,Suomi,Aatu Pihlajakangas,,,,27,1,2130,590,22,5,4,6,7,2,5,8,3,5,3,6,30-08-2022 05:51,,1000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=468141726
23,Danmark,Martin Riis,,,,27,64,2870,610,20,4,2,7,7,1,4,9,2,5,3,7,30-08-2022 05:53,,12000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=463333016
24,Slovensko,Alexander Voleník,,,,22,84,48010,2450,3,4,3,8,8,1,11,10,9,6,4,9,30-08-2022 05:59,,3700000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=456714504
