,Nacionalidad,Nombre,Especialidad,Lesiones ,Amonestaciones,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Límite,Máxima oferta,Ofrecer,Unnamed: 24,link
0,Suiza,Valentin Heimlicher,Técnico,,,34,19,29840,13290,15,11,3,7,5,1,5,15,4,10,14,5,04-09-2022 07:09,,2999000,,https://www83.hattrick.org/Club/Players/Player.aspx?playerId=429670168
1,Polonia,Krzysztof Szeja,Técnico,,1.0,29,27,265730,25120,48,9,5,6,6,1,3,12,14,12,15,1,04-09-2022 07:10,,10500000,,https://www83.hattrick.org/Club/Players/Player.aspx?playerId=440361543
2,Alemania,Hakan Orakçıoğlu,Cabeceador,,,35,31,15540,11450,8,8,4,6,5,1,2,3,2,13,16,9,04-09-2022 07:12,,1350000,,https://www83.hattrick.org/Club/Players/Player.aspx?playerId=428852771
3,Lituania,Klausutis Putris,,,1.0,34,40,13510,14810,70,13,3,7,6,1,6,3,3,12,16,8,04-09-2022 07:14,,1400000,,https://www83.hattrick.org/Club/Players/Player.aspx?playerId=428158056
4,Bélgica,Jean-Thomas Dewaelheyns,,,,34,4,33400,14720,2,13,5,6,7,1,3,12,3,12,16,15,04-09-2022 07:22,,4000000,,https://www83.hattrick.org/Club/Players/Player.aspx?playerId=428313031
5,Holanda,Wesley Brauwers,Cabeceador,,,34,74,23960,11480,2,13,3,3,6,1,4,14,4,13,13,4,04-09-2022 07:23,,2750000,,https://www83.hattrick.org/Club/Players/Player.aspx?playerId=426882142
6,Italia,Valerio Guarnaschelli,Técnico,,,29,94,153660,30570,21,8,2,6,6,1,3,4,5,13,16,6,04-09-2022 07:24,,5500000,,https://www83.hattrick.org/Club/Players/Player.aspx?playerId=442626635
7,Serbia,Nikola Micović,,,,30,66,69090,18330,4,11,3,8,6,1,3,7,9,8,15,5,04-09-2022 07:24,Willy Wonka J.K.,2999000,,https://www83.hattrick.org/Club/Players/Player.aspx?playerId=436947206
8,Croacia,Vlaho Ninčević,,,,36,94,22400,6470,2,17,5,4,5,0,1,14,0,14,13,3,04-09-2022 07:27,,2000000,,https://www83.hattrick.org/Club/Players/Player.aspx?playerId=420133929
9,Bielorrusia,Viktor Dmitriev,,,,27,76,258180,36750,56,9,3,6,8,1,4,12,5,11,16,1,04-09-2022 07:28,,6900000,,https://www83.hattrick.org/Club/Players/Player.aspx?playerId=443641932
10,Italia,Enrico Snider,Técnico,,3.0,33,100,69540,19240,2,14,3,3,6,0,2,15,6,14,13,5,04-09-2022 07:31,,4000000,,https://www83.hattrick.org/Club/Players/Player.aspx?playerId=428684332
11,Azerbaiyán,Nail Məhərrəmov,Cabeceador,,,34,37,40770,18870,2,13,6,6,7,1,5,16,3,10,15,3,04-09-2022 07:36,,4500000,,https://www83.hattrick.org/Club/Players/Player.aspx?playerId=427796673
12,Inglaterra,Evan Goodlad,,,,30,111,29960,10270,21,7,4,7,6,1,5,5,4,9,13,15,04-09-2022 07:39,,1500000,,https://www83.hattrick.org/Club/Players/Player.aspx?playerId=438995019
13,Eslovaquia,Tibor Matejčík,Rápido,,,35,31,11680,8650,227,13,7,2,6,0,4,14,9,11,13,9,04-09-2022 07:43,,4500000,,https://www83.hattrick.org/Club/Players/Player.aspx?playerId=425564754
14,Inglaterra,Charles Burgess,Rápido,,,27,82,242180,28150,14,10,7,6,7,1,3,14,7,11,15,3,04-09-2022 07:51,,11500000,,https://www83.hattrick.org/Club/Players/Player.aspx?playerId=444616557
15,Emiratos Árabes Unidos,Mohammad Naghmoosh,Potente,,,31,13,76060,23400,53,6,6,7,6,1,7,4,4,11,16,11,04-09-2022 07:54,,3375000,,https://www83.hattrick.org/Club/Players/Player.aspx?playerId=436583813
16,Suiza,Primo Weinberger,,,,33,102,12580,13220,143,11,4,4,6,1,6,7,3,3,15,10,04-09-2022 07:54,I Furetti,1100000,,https://www83.hattrick.org/Club/Players/Player.aspx?playerId=428740229
17,Portugal,Mário Garrido,,,,37,56,9040,2360,0,12,1,7,4,0,4,3,5,12,14,6,04-09-2022 07:57,,850000,,https://www83.hattrick.org/Club/Players/Player.aspx?playerId=419412415
18,Vietnam,Phan Thiện Viên,,,,31,29,14280,6170,164,8,4,5,6,1,3,6,6,8,13,6,04-09-2022 08:02,,1750000,,https://www83.hattrick.org/Club/Players/Player.aspx?playerId=439052762
19,Rumanía,Victor Mihalca,Cabeceador,,,28,57,184180,31510,33,7,4,6,7,1,4,4,10,12,16,6,04-09-2022 08:18,,8000000,,https://www83.hattrick.org/Club/Players/Player.aspx?playerId=441799803
20,Dinamarca,Walther Svendsen,Rápido,,1.0,28,63,117100,17990,32,7,3,5,7,1,4,6,7,12,14,3,04-09-2022 08:19,,4000000,,https://www83.hattrick.org/Club/Players/Player.aspx?playerId=441713067
21,Hungría,Viktor Kende,,,1.0,30,13,63140,12590,22,8,2,7,6,1,4,4,4,12,14,4,04-09-2022 08:22,,2400000,,https://www83.hattrick.org/Club/Players/Player.aspx?playerId=437963575
22,Israel,Meni Cohen,Técnico,,,29,69,251830,23070,50,7,6,7,7,1,3,14,5,15,13,2,04-09-2022 08:25,,7000000,,https://www83.hattrick.org/Club/Players/Player.aspx?playerId=438931387
23,Finlandia,Miikka Lehtoaho,Rápido,,,30,81,249900,28610,122,10,4,6,7,1,5,15,9,12,14,1,04-09-2022 08:28,,7000000,,https://www83.hattrick.org/Club/Players/Player.aspx?playerId=437029965
24,Italia,Vitaliano Rongo,Potente,,,29,73,197870,24900,14,6,3,5,7,1,4,10,4,15,15,4,04-09-2022 08:28,,6000000,,https://www83.hattrick.org/Club/Players/Player.aspx?playerId=441509589
