,Nacionalidad,Nombre,Especialidad,Lesiones ,Amonestaciones,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Límite,Máxima oferta,Ofrecer,Unnamed: 24,link
0,Alemania,Kurt Büser,,,,26,64,44080,12110,37,3,1,6,7,1,4,3,2,9,13,4,30-09-2022 16:56,,2800000,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=418733143
1,Hungría,Árpád Tripon,Rápido,,1.0,24,12,70440,12710,91,4,4,8,8,1,3,7,9,5,14,2,30-09-2022 16:59,,6000000,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=425839440
2,Italia,Piersandro Di Buono,,,,24,14,123170,11250,18,4,2,7,8,2,3,8,4,13,13,6,30-09-2022 17:00,,5550000,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=423708059
3,Bélgica,Ouweis  Rabah Friki,,,,24,78,107320,30180,42,5,2,6,8,1,2,2,5,8,16,2,30-09-2022 17:06,,5599000,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=427621019
4,Brasil,Théo de Jesus,,,,24,52,110340,38310,26,4,3,6,8,1,3,4,3,5,16,3,30-09-2022 17:07,,5399000,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=441569159
5,España,Luis Carralón,Técnico,,,23,61,107330,31960,103,5,4,7,7,1,3,3,6,7,16,2,30-09-2022 17:08,,6000000,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=426176142
6,España,Ghali Amrani,,,,22,84,68520,20560,9,3,1,7,8,1,3,6,4,3,15,1,30-09-2022 17:09,,4399000,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=427753424
7,Rumanía,István Papp,Potente,,2.0,23,52,97410,15630,40,5,5,6,7,1,4,12,6,8,14,1,30-09-2022 17:18,,8500000,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=431104822
8,Nicaragua,Santiago Montiel,Técnico,,2.0,24,78,140200,17870,72,7,4,6,8,1,3,4,15,5,14,1,30-09-2022 17:19,DTJ R-n-B Star,7278000,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=436057628
9,España,Iván Rollán,,,,23,33,160600,29370,53,4,4,6,8,1,4,12,5,4,16,4,30-09-2022 17:22,,9999999,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=427973254
10,Rumanía,Marius Moiceanu,,,,24,74,41410,7890,100,3,5,8,8,1,3,4,6,4,13,6,30-09-2022 17:22,Vialinos,1750000,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=440147689
11,Polonia,Leopold Ornowski,,,,23,43,122690,26960,57,4,3,7,8,1,4,3,5,9,16,3,30-09-2022 17:22,,6299999,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=424387607
12,Alemania,Linus Benedikt Wesser,,,2.0,23,110,173770,22190,53,5,6,7,8,1,4,3,4,12,16,3,30-09-2022 17:23,,6999999,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=433964470
13,Sri Lanka,Supun Gunasekera,,,,23,13,196460,38640,30,6,5,8,8,1,4,5,4,11,16,3,30-09-2022 17:23,,9000000,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=431242494
14,Alemania,Conner Groote,,,,25,76,79510,13690,6,5,4,5,7,1,5,4,11,9,14,5,30-09-2022 17:23,,6000000,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=428976068
15,Polonia,Kuba Tutaj,,,2.0,22,83,71950,10930,0,4,7,7,8,1,5,3,5,11,13,1,30-09-2022 17:24,FC Sunnebräu,2654000,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=435066207
16,Chile,Kraig Orr,,,1.0,22,32,30740,10750,71,1,4,5,8,1,4,3,3,3,13,2,30-09-2022 17:24,,1750000,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=419435100
17,Polonia,Mariusz Kościelna,,,,21,23,38170,12070,2,4,2,6,7,1,3,6,4,3,14,3,30-09-2022 17:26,,3300000,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=423764620
18,Polonia,Norbert Bryczkowski,,,,26,3,167330,12970,33,5,5,6,7,1,2,6,12,13,13,2,30-09-2022 17:33,,7190000,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=441282011
19,Rusia,Boris Bogatyrev,,,2.0,22,99,108460,24330,92,4,4,7,8,1,5,2,5,3,16,2,30-09-2022 17:36,,4500000,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=423960749
20,Israel,Yossef Carmel,Potente,,3.0,23,47,128310,10650,53,5,2,6,7,1,4,2,13,11,13,1,30-09-2022 17:39,,8250000,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=437298845
21,Bielorrusia,Piatrok Pavinich,Cabeceador,,1.0,26,78,151760,21110,35,7,4,6,7,1,3,12,5,9,15,8,30-09-2022 17:42,,6999000,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=427951138
22,Argentina,Jonatán Tauber,Imprevisible,,,26,13,138870,18030,27,5,5,6,7,1,4,5,3,13,14,2,30-09-2022 17:42,,4500000,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=422203735
23,Polonia,Antoni Węgierek,Rápido,,,22,92,136020,13390,90,4,7,6,8,1,4,3,5,12,15,3,30-09-2022 17:43,górnik zabrze 112,6361000,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=447441990
24,Irlanda,Reggie Cassidy,,,2.0,24,46,131860,29340,20,5,4,7,8,2,5,9,5,5,16,4,30-09-2022 17:53,,5750000,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=437664240
