,Nacionalidad,Nombre,Especialidad,Lesiones ,Amonestaciones,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Límite,Máxima oferta,Ofrecer,Unnamed: 24,link
0,Slovensko,Daniel Záhalka,,,,27,47,7050,1050,23,5,3,7,7,2,5,10,2,5,2,5,30-08-2022 02:59,,320000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=467469746
1,Suomi,Juha Pitkänen,Imprevisible,,,26,22,7580,2550,23,4,2,5,7,1,3,11,3,5,4,5,30-08-2022 03:07,Lokomotiv - Ruse,190000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=467232429
2,România,Vlad-Andrei Pasăre,,,2.0,24,40,6470,1130,89,5,6,3,9,2,4,9,6,6,6,1,30-08-2022 03:08,,400000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=453418829
3,Polska,Tomasz Dulowski,,,,26,18,6480,1690,2,4,1,8,7,1,4,10,3,4,4,5,30-08-2022 03:12,,300000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=468040246
4,Norge,Helge Hansen,,,3.0,24,58,33820,4850,68,5,5,7,8,1,3,11,5,9,5,5,30-08-2022 03:24,,2000000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=451831065
5,Israel,Assi Ulano,Imprevisible,,,27,62,540,430,136,3,2,2,7,1,1,8,3,4,4,1,30-08-2022 03:33,,10000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=448801848
6,India,Ayush Narang,Cabeceador,,,25,36,1790,810,66,3,4,3,5,1,6,8,5,4,2,4,30-08-2022 03:34,AC Rathsarak,15000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=460568741
7,Polska,Witold Niedziela,,,,26,38,2720,990,12,3,2,5,5,1,4,9,3,5,3,5,30-08-2022 03:35,,100000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=467838089
8,Schweiz,Mirko Medici,Rápido,,,22,16,2050,610,75,2,5,7,7,1,3,8,3,3,4,2,30-08-2022 03:44,Baad MB 2022,1001,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=459376740
9,Slovensko,Jozef Ričovský,,,,24,14,9130,990,2,5,6,5,8,1,9,8,7,4,4,6,30-08-2022 03:45,,900000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=454210557
10,Schweiz,Claudio Filosa,,,,25,75,14120,1430,134,6,4,6,7,1,9,9,4,6,4,5,30-08-2022 03:45,mikeunited,375000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=448929072
11,España,Jordi Cirera,,,,25,44,2330,790,25,4,6,4,7,1,6,8,3,4,2,4,30-08-2022 03:47,,0,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=466093275
12,Bénin,Mouftaou Talon,Técnico,,,25,102,1990,550,142,2,2,4,7,2,6,8,3,4,4,2,30-08-2022 03:51,,0,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=447659413
13,Nederland,Jacob van der Weijde,,,,22,5,10910,1130,10,1,1,6,8,1,1,9,5,9,3,3,30-08-2022 03:56,,399000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=460555805
14,USA,Nate Pomraning,,,1.0,24,37,10700,1090,19,3,3,7,8,1,3,9,7,8,5,1,30-08-2022 03:56,Patriks,390000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=454340353
15,Italia,Giuseppe Cavaglioni,,,1.0,23,43,11870,3070,7,2,4,6,7,1,4,11,3,5,6,2,30-08-2022 03:59,,750000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=455239160
16,Deutschland,Kay Raida,Imprevisible,,,22,13,2690,710,58,2,4,7,7,1,5,8,4,4,3,4,30-08-2022 04:09,Baad MB 2022,1001,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=461506871
17,România,Sorin-Claudiu Damir,Técnico,,,27,93,20030,1150,52,3,4,4,7,1,8,8,8,9,5,5,30-08-2022 04:10,MotherFuster F.C. ,612000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=443373557
18,Srbija,Vuk Janić,Rápido,,1.0,27,35,34080,5110,85,6,2,5,9,1,5,11,3,10,3,4,30-08-2022 04:11,,1700000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=448711791
19,France,Charlie Hubert,,,,26,110,4790,570,55,4,2,4,8,1,7,8,7,6,4,10,30-08-2022 04:11,Olympique 2 Marseille,57000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=448587579
20,China,苏 (Su)  亚平 (Yaping),,,,26,36,7980,1630,22,4,3,8,7,1,4,10,3,5,4,5,30-08-2022 04:19,SFK FrankMG,100000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=467843966
21,España,Xesco Cornadó,Cabeceador,,,27,24,28760,3430,158,7,6,4,7,1,11,10,3,7,6,2,30-08-2022 04:21,FC Afganistanas,588000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=444627186
22,France,Charles Barraud,Cabeceador,,2.0,27,40,38510,4670,158,8,4,6,7,1,10,11,3,7,5,4,30-08-2022 04:21,Aalborg Bold Klub 1885,1144440,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=444909913
23,France,Jean Deharbe,,,,26,89,2570,430,22,4,1,6,8,2,5,8,3,5,2,9,30-08-2022 04:24,,1000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=467929117
24,España,Jordi Figueras,,,,24,8,2450,590,44,3,4,6,7,1,5,8,4,5,2,4,30-08-2022 04:25,,25000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=463425398
