,Nacionalidad,Nombre,Especialidad,Lesiones ,Amonestaciones,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Límite,Máxima oferta,Ofrecer,Unnamed: 24,link
0,Suiza,Curdin Raschle,,,,24,103,61120,13730,36,3,4,8,7,1,4,5,3,9,14,4,02-10-2022 07:34,,4500000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=447233623
1,Jamaica,Tevin Sutherland,Cabeceador,,1.0,22,111,74530,21330,16,3,6,7,8,1,4,5,3,7,15,4,02-10-2022 07:36,,4500000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=451138086
2,Suecia,Pars Name,Potente,,2.0,25,7,126230,21820,30,5,4,7,8,2,3,5,4,11,15,2,02-10-2022 07:36,,4799000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=449336456
3,Chipre,Polykarpos Papafilipou,,,,24,95,137270,15710,1,5,2,5,7,1,3,3,12,10,15,5,02-10-2022 07:45,Mennyms FC,7169000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=453425556
4,España,Melquíades Cadilla,,,,22,3,122720,18290,36,4,6,7,9,2,4,2,11,8,14,5,02-10-2022 07:51,,8850000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=456129736
5,Alemania,Laurence Flache,,,,24,7,35210,9810,84,3,6,6,8,1,3,6,4,5,13,3,02-10-2022 07:53,,3100000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=458077249
6,Indonesia,Sudarmaji Azhari,Cabeceador,,,24,2,86900,11470,36,4,2,7,8,1,3,4,4,12,13,2,02-10-2022 08:07,,4250000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=460354790
7,Georgia,Elizbar Tsirghieli,Técnico,,1.0,21,95,43650,10710,5,2,4,8,8,2,4,5,2,5,14,2,02-10-2022 08:12,,3750000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=456181654
8,Italia,Giovanbattista Roso,Técnico,,3.0,23,5,113130,16370,95,5,4,7,8,1,5,10,6,9,14,4,02-10-2022 08:13,,6000000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=445717707
9,Italia,Marino Musone,Cabeceador,,,23,52,200360,24910,5,5,3,8,7,1,4,14,5,6,14,2,02-10-2022 08:14,SubsTeam,9000000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=455296931
10,Turquía,Utku Hakan Atlığ,,,,23,54,80210,12370,47,4,2,6,8,1,4,3,12,4,14,1,02-10-2022 08:20,,6500000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=455233787
11,Italia,Gino Zamperoni,Potente,,,22,105,58830,10810,25,3,4,7,7,1,3,4,7,9,13,3,02-10-2022 08:20,,4800000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=455660241
12,Turquía,Tanju Mebus,Cabeceador,,,24,14,127770,22050,38,4,5,7,7,2,3,2,4,12,15,2,02-10-2022 08:23,,6100000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=451769658
13,España,Federico Segovia,Imprevisible,,1.0,21,76,61280,9010,59,3,2,7,7,1,2,4,6,9,14,2,02-10-2022 08:25,,4890000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=447712898
14,Irán,Saleh Haji Ashrafi,Rápido,,1.0,26,48,109300,15770,8,7,6,8,7,1,3,10,7,9,14,3,02-10-2022 08:30,,6943600,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=448801713
15,Italia,Marcello Facchetti,Técnico,,,23,77,115340,15890,36,4,5,7,8,2,4,4,3,11,15,3,02-10-2022 08:36,,5600000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=454283099
16,Hong Kong,董 (Tung) 天貴 (Tiangui),Técnico,,,21,100,84730,15550,25,4,6,7,7,1,4,3,2,11,14,1,02-10-2022 08:40,,5250000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=458113520
17,Polonia,Sławomir Oszczepalski,Potente,,,25,6,66000,13610,43,4,6,6,7,1,4,7,5,9,14,3,02-10-2022 08:48,Depeche Vogelsang,5250000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=460438457
18,Francia,Jean-Michel Saunier,Imprevisible,,,24,34,39900,11310,47,4,2,6,7,1,3,5,6,6,13,2,02-10-2022 08:49,,2625000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=455903341
19,Italia,Gianpaolo Iannotta,Imprevisible,,,21,61,75420,13670,14,3,4,6,7,2,5,8,6,9,14,3,02-10-2022 08:53,,8700000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=458481966
20,Italia,Fabio Verzè,Potente,,,26,52,243830,24030,2,6,3,8,7,1,4,13,4,11,14,1,02-10-2022 08:57,,7400000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=447534195
21,Azerbaiyán,Yaşar Səmədov,,,1.0,24,58,87410,22370,38,5,3,8,7,1,4,4,6,8,15,1,02-10-2022 09:10,,4750000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=454227141
22,Suiza,Yannick Jäger,,,,21,106,80730,13950,3,4,1,8,8,1,2,7,6,6,15,6,02-10-2022 09:17,,6750000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=456883676
23,Argentina,Oreste Omar Fojo,Cabeceador,,,25,38,83360,11190,72,6,2,5,7,1,4,11,4,10,13,6,02-10-2022 09:19,,5990000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=449572097
24,Bielorrusia,Piatrok Saldatsenka,,,,26,5,211880,43110,7,6,5,7,7,1,3,9,3,10,16,3,02-10-2022 09:32,,6500000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=457006238
