,Nacionalidad,Nombre,Especialidad,Lesiones ,Amonestaciones,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Límite,Máxima oferta,Ofrecer,Unnamed: 24,link
0,Italia,Gian Maria Bedarida,,,,27,0,21740,5090,86,4,5,7,7,1,6,12,5,6,2,1,31-08-2022 13:18,,649000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=444851339
1,Prathet Thai,莫 (Mo)  宽达 (Kuanda) ,,,1.0,27,54,190520,26840,40,6,5,7,8,1,15,12,2,6,5,10,31-08-2022 13:25,,5250000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=443860311
2,Eesti,Ranno Lilles,,,,28,7,98640,30770,33,7,4,6,7,1,10,15,2,2,3,11,31-08-2022 13:28,,1875000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=443766301
3,France,Léo Dubois,Cabeceador,,,28,61,190940,33840,60,5,2,6,8,1,12,15,4,10,2,6,31-08-2022 13:28,,5700000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=442851787
4,France,Lê Văn Sỹ,Rápido,,,27,59,105770,12810,13,6,4,6,7,1,7,13,14,5,3,2,31-08-2022 13:29,Avalanchados,3642000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=445259373
5,Italia,Marco Agosti,Técnico,,,27,24,223040,26750,38,7,4,8,7,1,4,15,5,12,12,3,31-08-2022 13:34,,7000000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=444530242
6,France,Nathanaël Jumel,,,,28,45,53150,6550,121,6,3,5,6,1,11,12,3,11,3,13,31-08-2022 13:41,,2500000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=445000368
7,Srbija,Andrej Baletić,,,,27,100,127620,12030,9,8,5,6,7,1,3,12,4,13,10,8,31-08-2022 13:42,,4497000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=443335422
8,Slovenija,Matej Šimundža,Imprevisible,,,28,81,155780,25140,3,8,4,6,7,1,6,15,12,11,2,8,31-08-2022 13:55,,5000000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=441415586
9,Uruguay,Alejandro Flores,Rápido,,,28,10,260960,24070,53,7,6,7,7,1,2,14,15,13,4,4,31-08-2022 13:58,,7300000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=442779136
10,Italia,Ettore Orefice,Técnico,,,27,73,234890,15950,31,7,6,7,7,1,4,13,8,14,12,3,31-08-2022 14:08,,8500000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=443629832
11,Dawlat Qatar,Salem Al-Buzwair,,,1.0,28,89,127910,27390,32,7,6,4,6,1,6,15,4,14,2,4,31-08-2022 14:11,,3500000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=441324877
12,Schweiz,Yoann Bonard,Rápido,,1.0,27,47,261780,21890,69,7,4,6,7,1,13,13,15,7,2,4,31-08-2022 14:12,,9925000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=444166907
13,Schweiz,Paul Grieder,Cabeceador,,2.0,27,2,172290,25200,29,6,3,6,7,1,15,14,5,5,3,5,31-08-2022 14:16,,6000000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=446129456
14,Indonesia,Lukman Adrianto,Técnico,,,28,50,148840,26390,64,8,2,6,6,1,3,15,5,13,6,2,31-08-2022 14:18,S.k.O.,1041000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=442375634
15,España,Ignacio Banjac,Cabeceador,,,28,81,183180,33220,15,8,4,7,7,1,7,15,11,11,4,4,31-08-2022 14:22,,6800000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=441557307
16,Venezuela,Christian Gomes,,,,28,76,111810,23850,13,9,5,6,7,1,10,15,2,9,6,6,31-08-2022 14:23,,2800000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=441768101
17,Italia,Teo Calcagno,Imprevisible,,1.0,27,14,79260,13810,21,7,6,7,7,1,8,14,7,9,4,3,31-08-2022 14:28,,3000000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=444778698
18,Schweiz,Rodrigue Léon,Rápido,,,28,14,55070,12230,33,5,4,8,7,1,4,13,10,6,4,8,31-08-2022 14:32,,1920000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=447345289
19,Slovensko,Richárd Sajtár,Técnico,,,27,87,184740,23040,92,6,4,5,7,1,3,14,7,15,4,3,31-08-2022 14:45,Scunthorpe FC,2699000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=443460028
20,Argentina,Raúl Veniani,Técnico,,,28,72,194790,32430,32,8,5,5,7,1,4,14,2,9,15,1,31-08-2022 14:55,,6895000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=442558777
21,Suomi,Jarmo Laitala,,,2.0,28,101,45010,12450,18,5,5,7,7,1,3,13,5,9,5,4,31-08-2022 14:58,,1200000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=440795820
22,Belgium,Nobre Alberto Coelho,Cabeceador,,,28,2,91710,11230,4,5,2,7,7,1,3,13,11,11,3,2,31-08-2022 15:03,,5900000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=444872451
23,Srbija,Filip Novaković,,,2.0,28,110,22260,7690,18,6,3,6,9,1,6,12,3,4,2,4,31-08-2022 15:07,,600999,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=444839553
24,France,Mèmel Akalé,Potente,,1.0,28,109,123160,21730,20,8,4,3,7,1,3,14,5,13,12,2,31-08-2022 15:09,,5999000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=440674740
