,Nacionalidad,Nombre,Especialidad,Lesiones ,Amonestaciones,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Límite,Máxima oferta,Ofrecer,Unnamed: 24,link
0,USA,Dedrick Livingston,,,2.0,28,54,64760,9710,91,7,1,7,7,1,5,11,3,8,13,6,06-10-2022 05:59,,3900000,,https://www85.hattrick.org/Club/Players/Player.aspx?playerId=442682002
1,Bahrain,Sahib Al Joder,,,,32,103,45230,12860,155,10,4,7,6,1,3,12,4,9,14,3,06-10-2022 06:00,,3000000,,https://www85.hattrick.org/Club/Players/Player.aspx?playerId=432099035
2,Nederland,Fikri Külük,Técnico,,1.0,33,53,46320,18180,49,12,2,5,6,1,5,15,3,12,13,8,06-10-2022 06:08,,3192000,,https://www85.hattrick.org/Club/Players/Player.aspx?playerId=430897703
3,Slovenija,Jalen Valjavec,,,3.0,28,0,159230,32420,56,6,5,6,7,1,3,4,9,10,16,7,06-10-2022 06:08,,6250000,,https://www85.hattrick.org/Club/Players/Player.aspx?playerId=443590132
4,Italia,Luigi Gherzi,,,1.0,31,16,49400,27620,1,8,3,6,6,1,3,3,2,5,16,4,06-10-2022 06:09,,2478250,,https://www85.hattrick.org/Club/Players/Player.aspx?playerId=441280093
5,Italia,Manolo Ruffert,,,1.0,27,4,118930,39330,160,5,3,5,8,1,2,2,3,8,16,1,06-10-2022 06:09,,3500000,,https://www85.hattrick.org/Club/Players/Player.aspx?playerId=445532303
6,Polska,Stanisław Pałka,Técnico,,,34,85,18090,9490,5,13,4,5,6,1,3,10,7,13,14,6,06-10-2022 06:12,,1850000,,https://www85.hattrick.org/Club/Players/Player.aspx?playerId=427402161
7,Magyarország,Gál Mundrucó,,,,30,58,87200,19230,125,7,2,6,7,1,4,8,5,12,15,5,06-10-2022 06:12,,3290000,,https://www85.hattrick.org/Club/Players/Player.aspx?playerId=438626034
8,Danmark,Nicolas Lieberkind,,,,29,31,83520,12850,72,6,4,7,7,1,3,3,5,13,13,8,06-10-2022 06:14,,2700000,,https://www85.hattrick.org/Club/Players/Player.aspx?playerId=440739343
9,Venezuela,Nicola Mele,Rápido,,1.0,27,72,62370,17010,166,7,5,6,7,1,3,7,2,8,14,5,06-10-2022 06:19,,3700000,,https://www85.hattrick.org/Club/Players/Player.aspx?playerId=444694516
