,Nacionalidad,Nombre,Especialidad,Lesiones ,Amonestaciones,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Límite,Máxima oferta,Ofrecer,Unnamed: 24,link
0,Austria,Stefan Bruckner,,,,30,100,40200,20420,173,11,7,2,6,16,9,5,2,1,1,12,08-09-2022 15:21,,5999999,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=436498442
1,Macedonia del Norte,Dalibor Dačić,,,,35,20,23210,5630,8,15,1,6,5,14,11,3,2,3,0,11,08-09-2022 15:23,,2360000,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=425910187
2,Rumanía,Ovidiu Pârjoleanu,,,,38,98,7010,1850,53,16,7,6,5,13,10,0,0,0,1,17,08-09-2022 15:27,,3888888,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=416558698
3,Eslovaquia,Roland Vezér,,,,28,46,67510,28630,31,6,3,7,7,16,14,3,1,1,1,16,08-09-2022 15:37,,11000000,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=444136638
4,Rumanía,Alexandru Pestriţa,,,,35,62,27670,9110,141,12,6,4,4,16,10,2,4,0,1,19,08-09-2022 15:46,Hjalmars Hjältar,3250000,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=424893524
5,Portugal,Bruno Alexandre Freitas,,,,33,89,57880,16150,11,10,4,7,6,16,10,1,1,3,1,8,08-09-2022 15:46,Fc.London-9,2522000,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=433602089
6,Rumanía,Sebastian Găzdoiu,,,,31,22,62840,17410,63,10,6,7,6,15,5,4,2,2,4,13,08-09-2022 15:46,kwlopedia,3000000,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=436894693
7,Polonia,Kazimierz Waga,,,,31,96,30810,7990,5,10,3,6,6,13,2,3,3,1,5,2,08-09-2022 16:10,,2499995,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=435679527
8,Rumanía,Sorin Perde,,,,34,43,52470,13380,8,14,4,8,5,16,1,4,0,3,2,18,08-09-2022 16:26,,3799000,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=427858163
9,Turquía,Deniz Telvin,,,,30,56,35580,9980,22,9,5,6,6,13,10,3,1,3,3,20,08-09-2022 16:29,,5500000,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=437317163
10,España,Francisco Javier Marqués,,,,33,95,32680,11920,5,13,4,6,6,14,13,6,0,0,0,19,08-09-2022 16:43,Projet NUL,3600000,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=428836351
11,Chipre,Petros Pouroutis,Imprevisible,,,30,97,58210,18660,94,8,5,7,6,15,12,5,5,11,5,17,08-09-2022 16:51,,7500000,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=436998722
12,Bélgica,Thibo De Wilde,,,,32,22,42560,15390,64,9,4,4,6,16,6,5,2,5,0,9,08-09-2022 16:52,,3050000,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=434465831
13,Polonia,Artek Ziemniak,,,,36,27,8010,4580,5,13,5,2,4,14,13,0,1,0,1,7,08-09-2022 17:05,,1500000,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=422433075
14,Rumanía,Emil-Ioan Peia,,,,35,97,16090,3990,4,8,4,5,5,13,9,0,0,2,1,14,08-09-2022 17:17,,1600000,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=423839955
15,China,张 (Zhang)  弘海 (Honghai) ,,,,36,33,17900,4140,6,15,4,5,4,14,9,2,5,5,3,20,08-09-2022 17:23,,1500000,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=422396918
16,Holanda,Zacharias Timmer,Imprevisible,,,28,111,69090,32800,3,6,4,7,7,16,15,4,3,8,4,13,08-09-2022 17:35,,11379655,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=441439897
17,Brasil,Sidnei Arnaud,,,,29,21,27930,13640,86,7,5,3,6,14,8,4,1,1,1,17,08-09-2022 17:36,,5390000,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=442759877
18,Bélgica,Lionel Wynant,,,,34,35,38290,10310,8,11,5,6,5,15,10,2,2,3,2,14,08-09-2022 17:45,,2890000,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=429777347
19,Suiza,Shani Sandmayer,,,,34,11,22810,7390,39,11,3,4,6,15,3,6,0,3,1,9,08-09-2022 18:08,,1875000,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=428204481
20,Suecia,Marko Leveelahti,,,,39,50,2820,1690,103,18,4,5,3,13,10,1,0,2,0,15,08-09-2022 19:11,,800000,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=413302342
21,Turquía,Pamir Kartal,,,,39,60,3720,1640,3,18,4,8,3,13,9,0,0,0,0,19,08-09-2022 19:23,,1000000,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=412776497
22,Suiza,Alban Penven,,,,36,8,17990,3790,30,15,3,7,5,14,12,0,1,1,0,22,08-09-2022 19:24,,2500000,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=422880024
23,Alemania,Mirko Schliep,,,,28,26,46810,18730,3,6,4,5,7,15,4,2,2,1,6,2,09-09-2022 01:14,,4990000,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=447233481
24,Georgia,Otia Khmaladze,,,,29,41,51540,20050,6,7,5,5,8,15,11,1,1,7,1,14,09-09-2022 01:47,FC GR,4376820,,https://www84.hattrick.org/Club/Players/Player.aspx?playerId=440218528
