,Nacionalidad,Nombre,Especialidad,Lesiones ,Amonestaciones,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Límite,Máxima oferta,Ofrecer,Unnamed: 24,link
0,Brasil,Dedé Pinheiros,,,,24,93,224580,25140,39,5,6,6,8,1,5,6,4,13,16,3,24-09-2022 22:37,,8000000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=451852709
1,Suecia,Bengt Almbeck,Técnico,,,23,50,63420,22170,15,4,3,6,8,1,3,5,3,4,15,2,25-09-2022 00:51,,3999999,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=455901012
2,Hungría,Lyuben Zlatkov,,,,22,77,86920,21460,34,5,3,7,8,1,3,5,4,10,15,5,25-09-2022 01:21,,6000001,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=457098913
3,Chile,Osvaldo Del Transito Flores,Imprevisible,,1.0,21,22,72090,18890,49,3,3,7,8,1,3,3,2,8,15,4,25-09-2022 01:22,Swiss Predators,4490000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=460774992
4,Irán,Arshia Rouianian,,,,21,77,67700,9630,74,3,3,7,8,1,4,3,3,9,14,2,25-09-2022 01:42,,4545000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=459811068
5,Bulgaria,Ivaylo Kotarov,Técnico,,2.0,24,98,189670,26010,32,6,4,7,7,1,4,4,2,12,16,6,25-09-2022 01:53,,7000000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=451432556
6,Polonia,Adam Bardzik,,,2.0,25,10,112450,13530,128,5,4,7,9,1,6,10,6,9,14,4,25-09-2022 02:06,,7000000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=450873229
7,Bulgaria,Atanas Angelov,,,,23,64,83130,16550,20,5,4,6,8,1,4,4,3,10,15,5,25-09-2022 02:17,,5000000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=455402779
8,Portugal,Adriano Figueiredo,Potente,,,21,1,40820,13450,45,2,3,7,8,1,3,5,4,6,14,2,25-09-2022 02:19,,3750000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=461342386
9,Rumanía,Dacian Paleacu,Cabeceador,,,22,48,72690,12490,4,5,2,8,7,1,4,4,3,10,14,1,25-09-2022 02:20,,5500000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=459327312
